"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","FSM","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","England","Country","E92000001","All","All","75","%","664979","501485"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","England","Country","E92000001","All","FSM","60","%","91174","54787"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","78","%","573805","446698"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","England","Country","E92000001","Boys","All","71","%","340912","242875"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","55","%","46833","25601"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","74","%","294079","217274"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","England","Country","E92000001","Girls","All","80","%","324067","258610"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","66","%","44341","29186"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","82","%","279726","229424"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","All","78","%","70705","54865"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","69","%","7593","5246"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","79","%","63112","49619"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","73","%","36135","26477"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","63","%","3857","2447"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","74","%","32278","24030"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","82","%","34570","28388"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","75","%","3736","2799"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","83","%","30834","25589"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","79","%","11786","9265"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","68","%","1278","864"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","80","%","10508","8401"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","75","%","6073","4557"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","63","%","661","415"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","77","%","5412","4142"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","82","%","5713","4708"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","73","%","617","449"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","84","%","5096","4259"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","77","%","10629","8146"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","73","%","1666","1221"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","77","%","8963","6925"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","72","%","5385","3889"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","67","%","826","556"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","73","%","4559","3333"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","81","%","5244","4257"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","79","%","840","665"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","82","%","4404","3592"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","All","77","%","35585","27290"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","71","%","7577","5395"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","78","%","28008","21895"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","72","%","17924","12958"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","67","%","3743","2511"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","74","%","14181","10447"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","81","%","17661","14332"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","75","%","3834","2884"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Black","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","83","%","13827","11448"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","78","%","24153","18835"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","73","%","4950","3622"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","79","%","19203","15213"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","74","%","12179","8983"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Black African","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","69","%","2471","1708"
