"Source","Ethnicity","%"
"Wages/salaries","All","64"
"Wages/salaries","Asian","70"
"Wages/salaries","Bangladeshi","60"
"Wages/salaries","Chinese","57"
"Wages/salaries","Indian","78"
"Wages/salaries","Pakistani","59"
"Wages/salaries","Asian other","70"
"Wages/salaries","Black","68"
"Wages/salaries","Mixed","73"
"Wages/salaries","White","63"
"Wages/salaries","White British","62"
"Wages/salaries","White other","74"
"Wages/salaries","Other","71"
"Self-employment","All","9"
"Self-employment","Asian","10"
"Self-employment","Bangladeshi","6"
"Self-employment","Chinese","11"
"Self-employment","Indian","8"
"Self-employment","Pakistani","14"
"Self-employment","Asian other","10"
"Self-employment","Black","8"
"Self-employment","Mixed","6"
"Self-employment","White","9"
"Self-employment","White British","8"
"Self-employment","White other","14"
"Self-employment","Other","9"
"State pension","All","7"
"State pension","Asian","3"
"State pension","Bangladeshi","3"
"State pension","Chinese","2"
"State pension","Indian","3"
"State pension","Pakistani","3"
"State pension","Asian other","2"
"State pension","Black","3"
"State pension","Mixed","2"
"State pension","White","8"
"State pension","White British","8"
"State pension","White other","2"
"State pension","Other","2"
"Private pensions","All","8"
"Private pensions","Asian","2"
"Private pensions","Bangladeshi","1"
"Private pensions","Chinese","1"
"Private pensions","Indian","2"
"Private pensions","Pakistani","1"
"Private pensions","Asian other","2"
"Private pensions","Black","2"
"Private pensions","Mixed","3"
"Private pensions","White","9"
"Private pensions","White British","10"
"Private pensions","White other","2"
"Private pensions","Other","2"
"Disability benefits","All","1"
"Disability benefits","Asian","1"
"Disability benefits","Bangladeshi","2"
"Disability benefits","Chinese","~0"
"Disability benefits","Indian","1"
"Disability benefits","Pakistani","2"
"Disability benefits","Asian other","~0"
"Disability benefits","Black","1"
"Disability benefits","Mixed","1"
"Disability benefits","White","2"
"Disability benefits","White British","2"
"Disability benefits","White other","~0"
"Disability benefits","Other","1"
"Other benefits","All","4"
"Other benefits","Asian","5"
"Other benefits","Bangladeshi","13"
"Other benefits","Chinese","3"
"Other benefits","Indian","2"
"Other benefits","Pakistani","8"
"Other benefits","Asian other","5"
"Other benefits","Black","7"
"Other benefits","Mixed","5"
"Other benefits","White","4"
"Other benefits","White British","4"
"Other benefits","White other","3"
"Other benefits","Other","6"
"Tax credits","All","1"
"Tax credits","Asian","3"
"Tax credits","Bangladeshi","9"
"Tax credits","Chinese","1"
"Tax credits","Indian","1"
"Tax credits","Pakistani","7"
"Tax credits","Asian other","2"
"Tax credits","Black","4"
"Tax credits","Mixed","2"
"Tax credits","White","1"
"Tax credits","White British","1"
"Tax credits","White other","1"
"Tax credits","Other","3"
"Investments","All","1"
"Investments","Asian","1"
"Investments","Bangladeshi","~0"
"Investments","Chinese","1"
"Investments","Indian","1"
"Investments","Pakistani","~0"
"Investments","Asian other","1"
"Investments","Black","~0"
"Investments","Mixed","2"
"Investments","White","2"
"Investments","White British","2"
"Investments","White other","1"
"Investments","Other","1"
"Other","All","3"
"Other","Asian","7"
"Other","Bangladeshi","5"
"Other","Chinese","24"
"Other","Indian","4"
"Other","Pakistani","5"
"Other","Asian other","7"
"Other","Black","6"
"Other","Mixed","7"
"Other","White","3"
"Other","White British","3"
"Other","White other","4"
"Other","Other","5"
