"Measure","Source","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Denominator"
"Gross household income by ethnic group of the head of the household","Disability benefits","2009/10-2011/12","All","ONS 5+2","K02000001","1","71,324"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","All","ONS 5+2","K02000001","2","71,324"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","All","ONS 5+2","K02000001","3","71,324"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","All","ONS 5+2","K02000001","6","71,324"
"Gross household income by ethnic group of the head of the household","Private pensions","2009/10-2011/12","All","ONS 5+2","K02000001","7","71,324"
"Gross household income by ethnic group of the head of the household","Self-employed income","2009/10-2011/12","All","ONS 5+2","K02000001","8","71,324"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2009/10-2011/12","All","ONS 5+2","K02000001","7","71,324"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","All","ONS 5+2","K02000001","2","71,324"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2009/10-2011/12","All","ONS 5+2","K02000001","64","71,324"
"Gross household income by ethnic group of the head of the household","Disability benefits","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","~","420"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","1","420"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","9","420"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","8","420"
"Gross household income by ethnic group of the head of the household","Private pensions","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","2","420"
"Gross household income by ethnic group of the head of the household","Self-employed income","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","5","420"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","2","420"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","3","420"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2009/10-2011/12","Any other Asian background","ONS 5+2","K02000001","70","420"
"Gross household income by ethnic group of the head of the household","Disability benefits","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","1","2,622"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","1","2,622"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","7","2,622"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","7","2,622"
"Gross household income by ethnic group of the head of the household","Private pensions","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","2","2,622"
"Gross household income by ethnic group of the head of the household","Self-employed income","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","6","2,622"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","3","2,622"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","4","2,622"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2009/10-2011/12","Asian/ Asian British","ONS 5+2","K02000001","69","2,622"
"Gross household income by ethnic group of the head of the household","Disability benefits","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","2","221"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","~","221"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","7","221"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","16","221"
"Gross household income by ethnic group of the head of the household","Private pensions","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","2","221"
"Gross household income by ethnic group of the head of the household","Self-employed income","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","5","221"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","4","221"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","9","221"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2009/10-2011/12","Bangladeshi","ONS 5+2","K02000001","55","221"
"Gross household income by ethnic group of the head of the household","Disability benefits","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,457"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","~","1,457"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,457"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","12","1,457"
"Gross household income by ethnic group of the head of the household","Private pensions","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","2","1,457"
"Gross household income by ethnic group of the head of the household","Self-employed income","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,457"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","3","1,457"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","4","1,457"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2009/10-2011/12","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","67","1,457"
"Gross household income by ethnic group of the head of the household","Disability benefits","2009/10-2011/12","Chinese","ONS 5+2","K02000001","~","236"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","Chinese","ONS 5+2","K02000001","2","236"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","Chinese","ONS 5+2","K02000001","23","236"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","Chinese","ONS 5+2","K02000001","3","236"
"Gross household income by ethnic group of the head of the household","Private pensions","2009/10-2011/12","Chinese","ONS 5+2","K02000001","2","236"
"Gross household income by ethnic group of the head of the household","Self-employed income","2009/10-2011/12","Chinese","ONS 5+2","K02000001","5","236"
"Gross household income by ethnic group of the head of the household","State pension plus any IS/PC","2009/10-2011/12","Chinese","ONS 5+2","K02000001","1","236"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","Chinese","ONS 5+2","K02000001","1","236"
"Gross household income by ethnic group of the head of the household","Wages and salaries","2009/10-2011/12","Chinese","ONS 5+2","K02000001","63","236"
