"Type","Ethnicity","%","Number"
"On-call ('retained') firefighters","Asian","0.2","21"
"On-call ('retained') firefighters","Black","0.3","30"
"On-call ('retained') firefighters","Mixed","0.6","64"
"On-call ('retained') firefighters","White","98.7","10,368"
"On-call ('retained') firefighters","Other inc Chinese","0.2","17"
"On-call ('retained') firefighters","Unknown","N/A","1,713"
"Full-time ('Wholetime') firefighters","Asian","0.9","182"
"Full-time ('Wholetime') firefighters","Black","1.8","390"
"Full-time ('Wholetime') firefighters","Mixed","2.2","467"
"Full-time ('Wholetime') firefighters","White","94.5","19,978"
"Full-time ('Wholetime') firefighters","Other inc Chinese","0.6","122"
"Full-time ('Wholetime') firefighters","Unknown","N/A","1,610"
