"Ethnicity","Fire and Rescue Services","% of firefighters","Number of firefighters"
"Asian","Avon","0.0","0"
"Asian","Bedfordshire","0.3","1"
"Asian","Berkshire","0.4","2"
"Asian","Buckinghamshire","0.3","1"
"Asian","Cambridgeshire","0.4","2"
"Asian","Cheshire","0.5","3"
"Asian","Cleveland","0.7","2"
"Asian","Cornwall","0.0","0"
"Asian","Cumbria","0.4","2"
"Asian","Derbyshire","0.8","5"
"Asian","Devon and Somerset","0.0","0"
"Asian","Dorset and Wiltshire","0.0","0"
"Asian","Durham","0.4","2"
"Asian","East Sussex","0.2","1"
"Asian","Essex","0.0","0"
"Asian","Gloucestershire","0.6","2"
"Asian","Greater London","1.8","81"
"Asian","Greater Manchester","0.9","11"
"Asian","Hampshire","0.2","3"
"Asian","Hereford and Worcester","0.5","3"
"Asian","Hertfordshire","0.2","1"
"Asian","Humberside","0.3","2"
"Asian","Isle Of Wight","0.0","0"
"Asian","Isles of Scilly","0.0","0"
"Asian","Kent","0.0","0"
"Asian","Lancashire","0.9","9"
"Asian","Leicestershire","0.9","5"
"Asian","Lincolnshire","0.2","1"
"Asian","Merseyside","0.0","0"
"Asian","Norfolk","0.0","0"
"Asian","North Yorkshire","0.3","2"
"Asian","Northamptonshire","0.0","0"
"Asian","Northumberland","0.0","0"
"Asian","Nottinghamshire","0.7","5"
"Asian","Oxfordshire","0.0","0"
"Asian","Shropshire","0.0","0"
"Asian","South Yorkshire","0.2","1"
"Asian","Staffordshire","0.7","5"
"Asian","Suffolk","0.0","0"
"Asian","Surrey","0.9","5"
"Asian","Tyne and Wear","1.1","7"
"Asian","Warwickshire","1.0","3"
"Asian","West Midlands","1.4","19"
"Asian","West Sussex","0.0","0"
"Asian","West Yorkshire","1.6","17"
"Black","Avon","0.8","5"
"Black","Bedfordshire","1.0","4"
"Black","Berkshire","0.7","3"
"Black","Buckinghamshire","0.6","2"
"Black","Cambridgeshire","0.2","1"
"Black","Cheshire","0.5","3"
"Black","Cleveland","0.4","1"
"Black","Cornwall","0.4","2"
"Black","Cumbria","0.2","1"
"Black","Derbyshire","0.0","0"
"Black","Devon and Somerset","0.0","0"
"Black","Dorset and Wiltshire","0.4","4"
"Black","Durham","0.9","4"
"Black","East Sussex","0.4","2"
"Black","Essex","0.2","1"
"Black","Gloucestershire","0.6","2"
"Black","Greater London","5.5","247"
"Black","Greater Manchester","1.1","13"
"Black","Hampshire","0.0","0"
"Black","Hereford and Worcester","0.9","5"
"Black","Hertfordshire","0.8","5"
"Black","Humberside","0.6","5"
"Black","Isle Of Wight","0.0","0"
"Black","Isles of Scilly","0.0","0"
"Black","Kent","0.2","2"
"Black","Lancashire","0.4","4"
"Black","Leicestershire","0.6","3"
"Black","Lincolnshire","0.5","3"
"Black","Merseyside","1.2","9"
"Black","Norfolk","0.2","1"
"Black","North Yorkshire","0.0","0"
"Black","Northamptonshire","0.0","0"
"Black","Northumberland","0.0","0"
"Black","Nottinghamshire","0.9","6"
"Black","Oxfordshire","0.6","3"
"Black","Shropshire","0.5","2"
"Black","South Yorkshire","1.0","6"
"Black","Staffordshire","0.6","4"
"Black","Suffolk","0.2","1"
"Black","Surrey","0.4","2"
"Black","Tyne and Wear","0.5","3"
"Black","Warwickshire","1.3","4"
"Black","West Midlands","3.8","53"
"Black","West Sussex","0.0","0"
"Black","West Yorkshire","0.4","4"
"Mixed","Avon","0.9","6"
"Mixed","Bedfordshire","2.6","10"
"Mixed","Berkshire","1.1","5"
"Mixed","Buckinghamshire","1.5","5"
"Mixed","Cambridgeshire","1.7","8"
"Mixed","Cheshire","0.5","3"
"Mixed","Cleveland","0.0","0"
"Mixed","Cornwall","1.2","6"
"Mixed","Cumbria","0.0","0"
"Mixed","Derbyshire","0.8","5"
"Mixed","Devon and Somerset","0.5","8"
"Mixed","Dorset and Wiltshire","1.0","9"
"Mixed","Durham","1.1","5"
"Mixed","East Sussex","2.5","14"
"Mixed","Essex","1.4","7"
"Mixed","Gloucestershire","1.2","4"
"Mixed","Greater London","4.7","213"
"Mixed","Greater Manchester","2.4","29"
"Mixed","Hampshire","0.6","7"
"Mixed","Hereford and Worcester","1.4","8"
"Mixed","Hertfordshire","1.2","8"
"Mixed","Humberside","0.6","5"
"Mixed","Isle Of Wight","0.0","0"
"Mixed","Isles of Scilly","0.0","0"
"Mixed","Kent","0.5","4"
"Mixed","Lancashire","1.0","10"
"Mixed","Leicestershire","1.3","7"
"Mixed","Lincolnshire","0.8","5"
"Mixed","Merseyside","2.8","22"
"Mixed","Norfolk","0.5","3"
"Mixed","North Yorkshire","0.2","1"
"Mixed","Northamptonshire","1.5","5"
"Mixed","Northumberland","0.7","2"
"Mixed","Nottinghamshire","1.6","11"
"Mixed","Oxfordshire","0.2","1"
"Mixed","Shropshire","0.3","1"
"Mixed","South Yorkshire","1.4","9"
"Mixed","Staffordshire","0.3","2"
"Mixed","Suffolk","1.1","5"
"Mixed","Surrey","0.0","0"
"Mixed","Tyne and Wear","0.2","1"
"Mixed","Warwickshire","1.6","5"
"Mixed","West Midlands","3.5","48"
"Mixed","West Sussex","0.6","3"
"Mixed","West Yorkshire","1.9","21"
"White","Avon","98.0","632"
"White","Bedfordshire","95.9","374"
"White","Berkshire","97.6","444"
"White","Buckinghamshire","97.6","329"
"White","Cambridgeshire","97.6","449"
"White","Cheshire","98.3","652"
"White","Cleveland","98.5","269"
"White","Cornwall","98.0","483"
"White","Cumbria","99.3","450"
"White","Derbyshire","98.4","623"
"White","Devon and Somerset","99.4","1,566"
"White","Dorset and Wiltshire","98.4","926"
"White","Durham","97.6","447"
"White","East Sussex","96.7","551"
