"Title","Use of force on young offenders by ethnicity of offender","","","","",""
"Location","UK","","","","",""
"Time period","2018/19","","","","",""
"Data source","Youth justice statistics","","","","",""
"Data source link","https://www.gov.uk/government/collections/youth-justice-statistics","","","","",""
"Source","https://www.ethnicity-facts-figures.service.gov.uk/","","","","",""
"Last updated","","","","","",""
"","","","","","",""
"","All","","White","","Other",""
"Establishment","Number of incidents per 100 young people","Number of incidents","Number of incidents per 100 young people","Number of incidents","Number of incidents per 100 young people","Number of incidents"
"Cookham Wood YOI","25.5","47.8","26.1","18.6","24.8","28.8"
"Feltham YOI","56","92.8","51.6","28.4","59.2","63.9"
"Medway STC","104.3","48.8","118.1","21.2","95.7","27.6"
"Oakhill STC","154.8","101.8","146.7","42.2","161","59.6"
"Parc YOI","83.6","38.6","81.3","25.4","88.3","13.2"
"Rainsbrook STC","129","97.4","126.7","66.5","134.4","30.9"
"Werrington YOI","35.5","45.8","39.7","22.8","32.1","22.9"
"Wetherby YOI","44.1","131.1","41.3","78.9","49.3","50.8"
"All","59.6","604.1","60.2","304.0","59.3","297.8"
