"type of school","Ethnicity","Rate","Number"
"Special","Asian","1.67","206"
"Special","Bangladeshi","1.89","40"
"Special","Indian","0.49","11"
"Special","Pakistani","2.22","127"
"Special","Asian other","1.26","28"
"Special","Black","9.95","850"
"Special","Black African","4.15","225"
"Special","Black Caribbean","27.70","484"
"Special","Black other","10.28","141"
"Special","Chinese","0.00","0"
"Special","Mixed","17.92","1,331"
"Special","Mixed White/Asian","12.03","160"
"Special","Mixed White/Black African","12.02","120"
"Special","Mixed White/Black Caribbean","29.07","660"
"Special","Mixed other","13.83","391"
"Special","White","12.45","11,415"
"Special","White British","12.86","11,044"
"Special","White Irish","10.98","36"
"Special","Gypsy/Roma","15.14","71"
"Special","Irish Traveller","38.06","59"
"Special","White other","4.20","205"
"Special","Other","4.22","89"
"Special","Unknown","10.19","196"
"State-funded primary","Asian","0.26","1,353"
"State-funded primary","Bangladeshi","0.20","157"
"State-funded primary","Indian","0.13","190"
"State-funded primary","Pakistani","0.39","812"
"State-funded primary","Asian other","0.22","194"
"State-funded primary","Black","1.45","3,750"
"State-funded primary","Black African","1.06","1,875"
"State-funded primary","Black Caribbean","3.05","1,361"
"State-funded primary","Black other","1.41","514"
"State-funded primary","Chinese","0.15","35"
"State-funded primary","Mixed","1.82","5,439"
"State-funded primary","Mixed White/Asian","0.91","651"
"State-funded primary","Mixed White/Black African","2.17","905"
"State-funded primary","Mixed White/Black Caribbean","3.12","2,320"
"State-funded primary","Mixed other","1.40","1,563"
"State-funded primary","White","1.58","54,742"
"State-funded primary","White British","1.66","51,313"
"State-funded primary","White Irish","1.46","173"
"State-funded primary","Gypsy/Roma","4.58","849"
"State-funded primary","Irish Traveller","6.33","314"
"State-funded primary","White other","0.61","2,093"
"State-funded primary","Other","0.54","513"
"State-funded primary","Unknown","1.29","631"
"State-funded secondary","Asian","4.53","17,098"
"State-funded secondary","Bangladeshi","4.27","2,650"
"State-funded secondary","Indian","1.98","2,062"
"State-funded secondary","Pakistani","6.96","10,300"
"State-funded secondary","Asian other","3.30","2,086"
"State-funded secondary","Black","10.70","21,200"
"State-funded secondary","Black African","8.25","10,915"
"State-funded secondary","Black Caribbean","17.50","7,267"
"State-funded secondary","Black other","12.46","3,018"
"State-funded secondary","Chinese","1.28","170"
"State-funded secondary","Mixed","13.12","23,978"
"State-funded secondary","Mixed White/Asian","8.24","3,603"
"State-funded secondary","Mixed White/Black African","13.10","3,096"
"State-funded secondary","Mixed White/Black Caribbean","21.51","10,357"
"State-funded secondary","Mixed other","10.30","6,922"
"State-funded secondary","White","11.58","282,181"
"State-funded secondary","White British","11.78","262,572"
"State-funded secondary","White Irish","8.66","907"
"State-funded secondary","Gypsy/Roma","58.79","4,893"
"State-funded secondary","Irish Traveller","45.62","552"
"State-funded secondary","White other","7.06","13,257"
"State-funded secondary","Other","7.57","4,741"
"State-funded secondary","Unknown","14.48","8,347"
"Total","Asian","2.03","18,657"
"Total","Bangladeshi","1.97","2,847"
"Total","Indian","0.88","2,263"
"Total","Pakistani","3.10","11,239"
"Total","Asian other","1.50","2,308"
"Total","Black","5.54","25,800"
"Total","Black African","4.13","13,015"
"Total","Black Caribbean","10.37","9,112"
"Total","Black other","5.91","3,673"
"Total","Chinese","0.56","205"
"Total","Mixed","6.29","30,748"
"Total","Mixed White/Asian","3.79","4,414"
"Total","Mixed White/Black African","6.22","4,121"
"Total","Mixed White/Black Caribbean","10.69","13,337"
"Total","Mixed other","4.89","8,876"
"Total","White","5.80","348,338"
"Total","White British","6.01","324,929"
"Total","White Irish","4.93","1,116"
"Total","Gypsy/Roma","21.26","5,813"
"Total","Irish Traveller","14.63","925"
"Total","White other","2.89","15,555"
"Total","Other","3.34","5,343"
"Total","Unknown","8.47","9,174"
