"Ethnicity","Reason","%","Number"
"Asian","Bullying","1.6","306"
"Asian","Damage","2.3","425"
"Asian","Drug and alcohol related","3.8","702"
"Asian","Persistent disruptive behaviour","14.9","2,783"
"Asian","Physical assault against a pupil","28.1","5,244"
"Asian","Physical assault against an adult","3.8","708"
"Asian","Racist abuse","1.6","299"
"Asian","Sexual Misconduct","0.9","163"
"Asian","Theft","1.9","363"
"Asian","Verbal abuse/ threatening behaviour against a pupil","5.6","1,039"
"Asian","Verbal abuse/ threatening behaviour against an adult","12.2","2,282"
"Asian","Other","23.3","4,343"
"Black","Bullying","1.5","384"
"Black","Damage","1.6","415"
"Black","Drug and alcohol related","1.9","500"
"Black","Persistent disruptive behaviour","19.0","4,899"
"Black","Physical assault against a pupil","26.6","6,868"
"Black","Physical assault against an adult","7.7","1,990"
"Black","Racist abuse","0.9","223"
"Black","Sexual Misconduct","1.2","299"
"Black","Theft","2.4","624"
"Black","Verbal abuse/ threatening behaviour against a pupil","5.7","1,470"
"Black","Verbal abuse/ threatening behaviour against an adult","10.8","2,797"
"Black","Other","20.7","5,331"
"Chinese","Bullying","2.0","4"
"Chinese","Damage","2.0","4"
"Chinese","Drug and alcohol related","5.9","12"
"Chinese","Persistent disruptive behaviour","11.2","23"
"Chinese","Physical assault against a pupil","24.4","50"
"Chinese","Physical assault against an adult","7.3","15"
"Chinese","Racist abuse","4.4","9"
"Chinese","Sexual Misconduct","1.0","2"
"Chinese","Theft","1.5","3"
"Chinese","Verbal abuse/ threatening behaviour against a pupil","4.4","9"
"Chinese","Verbal abuse/ threatening behaviour against an adult","9.3","19"
"Chinese","Other","26.8","55"
"Mixed","Bullying","1.0","314"
"Mixed","Damage","1.9","592"
"Mixed","Drug and alcohol related","2.9","893"
"Mixed","Persistent disruptive behaviour","26.7","8,207"
"Mixed","Physical assault against a pupil","19.1","5,860"
"Mixed","Physical assault against an adult","7.9","2,436"
"Mixed","Racist abuse","0.8","241"
"Mixed","Sexual Misconduct","0.5","154"
"Mixed","Theft","1.0","296"
"Mixed","Verbal abuse/ threatening behaviour against a pupil","4.5","1,372"
"Mixed","Verbal abuse/ threatening behaviour against an adult","14.7","4,515"
"Mixed","Other","19.1","5,868"
"White","Bullying","0.7","2,350"
"White","Damage","1.9","6,724"
"White","Drug and alcohol related","2.6","8,986"
"White","Persistent disruptive behaviour","33.9","118,077"
"White","Physical assault against a pupil","14.5","50,587"
"White","Physical assault against an adult","6.7","23,207"
"White","Racist abuse","1.1","3,949"
"White","Sexual Misconduct","0.3","1,161"
"White","Theft","0.7","2,475"
"White","Verbal abuse/ threatening behaviour against a pupil","3.4","11,919"
"White","Verbal abuse/ threatening behaviour against an adult","15.9","55,559"
"White","Other","18.2","63,344"
"Other","Bullying","1.7","92"
"Other","Damage","1.8","97"
"Other","Drug and alcohol related","2.5","131"
"Other","Persistent disruptive behaviour","18.8","1,003"
"Other","Physical assault against a pupil","24.4","1,306"
"Other","Physical assault against an adult","4.4","237"
"Other","Racist abuse","1.6","85"
"Other","Sexual Misconduct","1.0","54"
"Other","Theft","1.5","78"
"Other","Verbal abuse/ threatening behaviour against a pupil","5.0","266"
"Other","Verbal abuse/ threatening behaviour against an adult","11.0","586"
"Other","Other","26.4","1,408"
