"Ethnicity","Region","%","Number of people economically inactive"
"All","All","21","8,468,400"
"All","East Midlands","20","588,900"
"All","East of England","19","731,500"
"All","London","22","1,329,800"
"All","North East","25","409,900"
"All","North West","22","1,001,000"
"All","Scotland","23","772,800"
"All","South East","18","1,003,000"
"All","South West","18","606,100"
"All","Wales","24","450,800"
"All","West Midlands","22","804,500"
"All","Yorkshire and The Humber","23","770,100"
"White","All","20","6,699,800"
"White","East Midlands","19","480,200"
"White","East of England","19","635,900"
"White","London","18","659,300"
"White","North East","24","375,300"
"White","North West","21","816,900"
"White","Scotland","22","701,400"
"White","South East","18","869,900"
"White","South West","18","563,600"
"White","Wales","23","410,500"
"White","West Midlands","20","559,000"
"White","Yorkshire and The Humber","21","627,800"
"Other than White","All","29","1,759,900"
"Other than White","East Midlands","28","108,000"
"Other than White","East of England","24","94,200"
"Other than White","London","28","667,900"
"Other than White","North East","38","34,500"
"Other than White","North West","34","183,400"
"Other than White","Scotland","36","70,400"
"Other than White","South East","22","132,900"
"Other than White","South West","22","41,900"
"Other than White","Wales","34","40,200"
"Other than White","West Midlands","32","244,600"
"Other than White","Yorkshire and The Humber","36","141,800"
