"Measure","Academic_Year","Time","Time_type","Ethnicity","Ethnicity_Type","Geography","Geography_type","ONS_Geography_code","Gender","FSM","Value","Value_Type","Denominator"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","England","Country","E92000001","All Pupils","All Pupils","43.5","%","521202"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","England","Country","E92000001","Boys","All Pupils","40.2","%","265434"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","England","Country","E92000001","Girls","All Pupils","46.9","%","255768"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","50.7","%","55183"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","48.6","%","28172"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All Pupils","52.8","%","27011"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","39.2","%","28609"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","35","%","14129"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All Pupils","43.3","%","14480"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","75.9","%","1856"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","72.5","%","890"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All Pupils","79","%","966"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","43.9","%","24531"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","41","%","12377"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All Pupils","46.9","%","12154"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","All Pupils","All Pupils","42.7","%","395716"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Boys","All Pupils","39.3","%","201945"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","England","Country","E92000001","Girls","All Pupils","46.3","%","193771"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","North East","Region","E12000001","All Pupils","All Pupils","40.8","%","24838"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","North East","Region","E12000001","Boys","All Pupils","37.9","%","12700"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","North East","Region","E12000001","Girls","All Pupils","43.8","%","12138"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","All Pupils","All Pupils","50.1","%","950"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","Boys","All Pupils","46.9","%","488"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","Girls","All Pupils","53.5","%","462"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","All Pupils","All Pupils","43.8","%","203"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","Boys","All Pupils","37.3","%","102"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Black","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","Girls","All Pupils","50.5","%","101"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","All Pupils","All Pupils","63.6","%","55"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","Boys","All Pupils","53.6","%","28"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Chinese","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","Girls","All Pupils","74.1","%","27"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","All Pupils","All Pupils","49.4","%","423"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","Boys","All Pupils","43.3","%","203"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Mixed","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","Girls","All Pupils","55","%","220"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","All Pupils","All Pupils","40.4","%","22747"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","Boys","All Pupils","37.7","%","11619"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","White","White/Asian/Black/Mixed/Chinese","North East","Region","E12000001","Girls","All Pupils","43.3","%","11128"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Hartlepool","Local authority","E06000001","All Pupils","All Pupils","37.8","%","1016"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Hartlepool","Local authority","E06000001","Boys","All Pupils","32.2","%","509"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","All Pupils","All pupils","Hartlepool","Local authority","E06000001","Girls","All Pupils","43.4","%","507"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","All Pupils","All Pupils","64","%","25"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","2017/18","2018","Academic Year","Asian","White/Asian/Black/Mixed/Chinese","Hartlepool","Local authority","E06000001","Boys","All Pupils","61.5","%","13"
