"Ethnicity","Admission Basis","All","Boys","Girls"
"All","All state-funded mainstream schools","44.1","41.1","47.2"
"All","Selective schools","92.9","92.1","93.8"
"All","Non-selective schools in highly selective areas","32.0","28.7","35.4"
"All","Non-selective schools in other areas","42.6","39.6","45.8"
"Asian","All state-funded mainstream schools","50.9","48.9","53.0"
"Asian","Selective schools","96.1","96.2","96.0"
"Asian","Non-selective schools in highly selective areas","43.0","40.3","45.7"
"Asian","Non-selective schools in other areas","47.3","45.0","49.7"
"Black","All state-funded mainstream schools","39.6","35.6","43.4"
"Black","Selective schools","95.3","92.9","97.3"
"Black","Non-selective schools in highly selective areas","40.8","35.0","46.6"
"Black","Non-selective schools in other areas","37.6","33.9","41.2"
"Chinese","All state-funded mainstream schools","76.1","73.1","79.0"
"Chinese","Selective schools","96.3","94.7","97.8"
"Chinese","Non-selective schools in highly selective areas","61.4","57.5","64.6"
"Chinese","Non-selective schools in other areas","71.7","67.8","75.1"
"Mixed","All state-funded mainstream schools","44.6","42.0","47.2"
"Mixed","Selective schools","94.1","94.1","94.1"
"Mixed","Non-selective schools in highly selective areas","33.3","30.2","36.4"
"Mixed","Non-selective schools in other areas","42.3","39.5","45.1"
"White","All state-funded mainstream schools","43.5","40.4","46.7"
"White","Selective schools","91.8","90.6","92.9"
"White","Non-selective schools in highly selective areas","30.6","27.4","33.9"
"White","Non-selective schools in other areas","42.3","39.2","45.6"
