"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Type of School","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils"
"All state-funded schools","43.3","523,626","50.2","55,737","38.8","28,949","75.3","1,875","43.7","24,646","42.6","396,680"
"All state-funded mainstream schools","44.1","513,356","50.9","55,026","39.6","28,333","76.1","1,853","44.6","24,142","43.5","388,496"
"Academies and free schools","45.1","360,345","53.6","36,343","41.2","18,236","78.7","1,391","45.8","17,034","44.1","277,452"
"Converter academies","49.7","258,093","58.6","25,479","44.8","10,735","81.7","1,105","50.7","11,828","48.7","202,901"
"Free schools","47.9","6,037","61.3","1,291","45.1","588","73.1","26","47.4","428","43.9","3,400"
"Sponsored academies","32.9","92,197","39.8","9,231","35.5","6,670","67.2","256","34.3","4,549","31.5","68,219"
"Further education colleges with provision for 14- to 16-year-olds","8.4","1,209","0.0","5","0.0","4","N/A","0","0.0","8","0.0","29"
"Local authority maintained mainstream schools","42.1","151,242","45.6","18,640","36.7","10,056","68.4","459","41.7","7,051","41.9","110,587"
"State-funded special schools","0.3","10,270","0.4","711","0.0","616","0.0","22","0.4","504","0.4","8,184"
"Studio schools","18.9","1,061","22.4","76","29.4","34","0.0","1","19.6","51","18.3","818"
"University technical colleges","27.5","2,957","30.5","266","24.4","209","33.3","3","21.3","178","27.7","2,114"
