"Ethnicity","SEN","All","Boys","Girls"
"All","No identified SEN","48.3","46.0","50.4"
"All","All SEN","13.5","12.2","15.8"
"All","SEN Support","16.5","15.1","18.7"
"All","SEN with a statement or EHC plan","5.3","5.6","4.3"
"Asian","No identified SEN","54.3","52.8","55.8"
"Asian","All SEN","13.4","13.3","13.5"
"Asian","SEN Support","15.8","15.5","16.3"
"Asian","SEN with a statement or EHC plan","6.4","7.7","3.8"
"Black","No identified SEN","43.7","40.4","46.6"
"Black","All SEN","9.7","9.2","10.7"
"Black","SEN Support","11.7","11.5","12.1"
"Black","SEN with a statement or EHC plan","4.4","4.2","4.9"
"Chinese","No identified SEN","78.4","75.7","80.7"
"Chinese","All SEN","34.6","36.0","31.8"
"Chinese","SEN Support","46.5","51.9","38.2"
"Chinese","SEN with a statement or EHC plan","12.8","13.5","10.0"
"Mixed","No identified SEN","48.5","46.6","50.2"
"Mixed","All SEN","15.3","13.6","18.2"
"Mixed","SEN Support","18.9","17.0","21.6"
"Mixed","SEN with a statement or EHC plan","5.8","6.5","3.6"
"White","No identified SEN","47.6","45.3","49.8"
"White","All SEN","13.7","12.3","16.3"
"White","SEN Support","16.8","15.2","19.1"
"White","SEN with a statement or EHC plan","5.2","5.5","4.4"
