"Ethnicity","Type of School","%","Pupils"
"All","All state-funded schools","43.3","523,626"
"All","All state-funded mainstream schools","44.1","513,356"
"All","Academies and free schools","45.1","360,345"
"All","Converter academies","49.7","258,093"
"All","Free schools","47.9","6,037"
"All","Sponsored academies","32.9","92,197"
"All","Further education colleges with provision for 14- to 16-year-olds","8.4","1,209"
"All","Local authority maintained mainstream schools","42.1","151,242"
"All","State-funded special schools","0.3","10,270"
"All","Studio schools","18.9","1,061"
"All","University technical colleges","27.5","2,957"
"Asian","All state-funded schools","50.2","55,737"
"Asian","All state-funded mainstream schools","50.9","55,026"
"Asian","Academies and free schools","53.6","36,343"
"Asian","Converter academies","58.6","25,479"
"Asian","Free schools","61.3","1,291"
"Asian","Sponsored academies","39.8","9,231"
"Asian","Further education colleges with provision for 14- to 16-year-olds","0.0","5"
"Asian","Local authority maintained mainstream schools","45.6","18,640"
"Asian","State-funded special schools","0.4","711"
"Asian","Studio schools","22.4","76"
"Asian","University technical colleges","30.5","266"
"Black","All state-funded schools","38.8","28,949"
"Black","All state-funded mainstream schools","39.6","28,333"
"Black","Academies and free schools","41.2","18,236"
"Black","Converter academies","44.8","10,735"
"Black","Free schools","45.1","588"
"Black","Sponsored academies","35.5","6,670"
"Black","Further education colleges with provision for 14- to 16-year-olds","0.0","4"
"Black","Local authority maintained mainstream schools","36.7","10,056"
"Black","State-funded special schools","0.0","616"
"Black","Studio schools","29.4","34"
"Black","University technical colleges","24.4","209"
"Chinese","All state-funded schools","75.3","1,875"
"Chinese","All state-funded mainstream schools","76.1","1,853"
"Chinese","Academies and free schools","78.7","1,391"
"Chinese","Converter academies","81.7","1,105"
"Chinese","Free schools","73.1","26"
"Chinese","Sponsored academies","67.2","256"
"Chinese","Further education colleges with provision for 14- to 16-year-olds","N/A","0"
"Chinese","Local authority maintained mainstream schools","68.4","459"
"Chinese","State-funded special schools","0.0","22"
"Chinese","Studio schools","0.0","1"
"Chinese","University technical colleges","33.3","3"
"Mixed","All state-funded schools","43.7","24,646"
"Mixed","All state-funded mainstream schools","44.6","24,142"
"Mixed","Academies and free schools","45.8","17,034"
"Mixed","Converter academies","50.7","11,828"
"Mixed","Free schools","47.4","428"
"Mixed","Sponsored academies","34.3","4,549"
"Mixed","Further education colleges with provision for 14- to 16-year-olds","0.0","8"
"Mixed","Local authority maintained mainstream schools","41.7","7,051"
"Mixed","State-funded special schools","0.4","504"
"Mixed","Studio schools","19.6","51"
"Mixed","University technical colleges","21.3","178"
"White","All state-funded schools","42.6","396,680"
"White","All state-funded mainstream schools","43.5","388,496"
"White","Academies and free schools","44.1","277,452"
"White","Converter academies","48.7","202,901"
"White","Free schools","43.9","3,400"
"White","Sponsored academies","31.5","68,219"
"White","Further education colleges with provision for 14- to 16-year-olds","0.0","29"
"White","Local authority maintained mainstream schools","41.9","110,587"
"White","State-funded special schools","0.4","8,184"
"White","Studio schools","18.3","818"
"White","University technical colleges","27.7","2,114"
