"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Religious character","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"All state-funded mainstream schools","44.1","41.1","47.2","50.9","48.9","53.0","39.6","35.6","43.4","76.1","73.1","79.0","44.6","42.0","47.2","43.5","40.4","46.7"
"Church of England schools","45.7","43.2","48.2","53.4","52.5","54.3","39.3","35.3","42.6","75.7","69.2","81.7","44.8","46.5","43.3","45.7","42.8","48.7"
"Hindu schools","66.4","61.4","72.0","68.0","64.2","72.7","0.0","N/A","0.0","N/A","N/A","N/A","60.0","33.3","100.0","33.3","0.0","50.0"
"Jewish schools","69.3","69.0","69.6","69.6","68.2","70.8","41.4","37.5","46.2","100.0","100.0","N/A","55.6","50.0","60.0","68.6","67.1","69.7"
"Muslim schools","67.4","66.8","67.6","67.5","67.9","67.3","67.2","61.1","69.4","N/A","N/A","N/A","55.6","37.5","70.0","100.0","N/A","100.0"
"No religious character","43.5","40.5","46.7","49.8","48.0","51.8","38.5","34.9","42.1","75.6","72.0","78.8","44.0","41.0","47.0","42.9","39.7","46.2"
"Other Christian faith schools","49.0","48.2","50.0","69.0","67.4","71.1","40.3","36.1","46.2","84.1","88.6","76.0","58.4","61.4","54.2","46.6","45.7","47.5"
"Roman Catholic schools","47.0","43.8","50.0","53.9","50.1","58.2","43.6","38.7","47.6","77.9","76.7","79.2","46.3","43.0","49.0","46.6","43.7","49.4"
"Sikh schools","57.7","54.0","61.5","58.0","54.2","61.9","25.0","N/A","25.0","100.0","100.0","N/A","57.9","50.0","63.6","100.0","100.0","100.0"
