"Ethnicity","Religious character","All","Boys","Girls"
"All","All state-funded mainstream schools","44.1","41.1","47.2"
"All","Church of England schools","45.7","43.2","48.2"
"All","Hindu schools","66.4","61.4","72.0"
"All","Jewish schools","69.3","69.0","69.6"
"All","Muslim schools","67.4","66.8","67.6"
"All","No religious character","43.5","40.5","46.7"
"All","Other Christian faith schools","49.0","48.2","50.0"
"All","Roman Catholic schools","47.0","43.8","50.0"
"All","Sikh schools","57.7","54.0","61.5"
"Asian","All state-funded mainstream schools","50.9","48.9","53.0"
"Asian","Church of England schools","53.4","52.5","54.3"
"Asian","Hindu schools","68.0","64.2","72.7"
"Asian","Jewish schools","69.6","68.2","70.8"
"Asian","Muslim schools","67.5","67.9","67.3"
"Asian","No religious character","49.8","48.0","51.8"
"Asian","Other Christian faith schools","69.0","67.4","71.1"
"Asian","Roman Catholic schools","53.9","50.1","58.2"
"Asian","Sikh schools","58.0","54.2","61.9"
"Black","All state-funded mainstream schools","39.6","35.6","43.4"
"Black","Church of England schools","39.3","35.3","42.6"
"Black","Hindu schools","0.0","N/A","0.0"
"Black","Jewish schools","41.4","37.5","46.2"
"Black","Muslim schools","67.2","61.1","69.4"
"Black","No religious character","38.5","34.9","42.1"
"Black","Other Christian faith schools","40.3","36.1","46.2"
"Black","Roman Catholic schools","43.6","38.7","47.6"
"Black","Sikh schools","25.0","N/A","25.0"
"Chinese","All state-funded mainstream schools","76.1","73.1","79.0"
"Chinese","Church of England schools","75.7","69.2","81.7"
"Chinese","Hindu schools","N/A","N/A","N/A"
"Chinese","Jewish schools","100.0","100.0","N/A"
"Chinese","Muslim schools","N/A","N/A","N/A"
"Chinese","No religious character","75.6","72.0","78.8"
"Chinese","Other Christian faith schools","84.1","88.6","76.0"
"Chinese","Roman Catholic schools","77.9","76.7","79.2"
"Chinese","Sikh schools","100.0","100.0","N/A"
"Mixed","All state-funded mainstream schools","44.6","42.0","47.2"
"Mixed","Church of England schools","44.8","46.5","43.3"
"Mixed","Hindu schools","60.0","33.3","100.0"
"Mixed","Jewish schools","55.6","50.0","60.0"
"Mixed","Muslim schools","55.6","37.5","70.0"
"Mixed","No religious character","44.0","41.0","47.0"
"Mixed","Other Christian faith schools","58.4","61.4","54.2"
"Mixed","Roman Catholic schools","46.3","43.0","49.0"
"Mixed","Sikh schools","57.9","50.0","63.6"
"White","All state-funded mainstream schools","43.5","40.4","46.7"
"White","Church of England schools","45.7","42.8","48.7"
"White","Hindu schools","33.3","0.0","50.0"
"White","Jewish schools","68.6","67.1","69.7"
"White","Muslim schools","100.0","N/A","100.0"
"White","No religious character","42.9","39.7","46.2"
"White","Other Christian faith schools","46.6","45.7","47.5"
"White","Roman Catholic schools","46.6","43.7","49.4"
"White","Sikh schools","100.0","100.0","100.0"
