"","Free school meals","","No free school meals",""
"Ethnicity","%","Pupils","%","Pupils"
"All","21.6","66,365","46.4","457,261"
"Asian","35.2","8,610","53.0","47,127"
"Bangladeshi","38.9","2,256","52.4","7,128"
"Indian","43.1","957","63.4","13,618"
"Pakistani","30.6","4,364","42.3","18,476"
"Asian other","38.9","1,033","60.8","7,905"
"Black","27.7","5,912","41.6","23,037"
"Black African","33.7","3,639","46.9","14,719"
"Black Caribbean","15.7","1,531","30.1","5,402"
"Black other","22.4","742","35.9","2,916"
"Chinese","67.3","107","75.7","1,768"
"Mixed","24.4","4,396","47.9","20,250"
"Mixed White/Asian","27.8","709","58.7","4,828"
"Mixed White/Black African","28.1","558","44.2","2,378"
"Mixed White/Black Caribbean","18.8","1,614","35.1","5,479"
"Mixed other","27.5","1,515","51.4","7,565"
"White","17.2","44,327","45.8","352,353"
"White British","16.7","41,457","46.0","326,223"
"White Irish","24.5","188","59.9","1,458"
"Gypsy/Roma","2.9","344","6.4","763"
"Irish Traveller","6.0","67","15.9","44"
"White other","29.2","2,271","43.2","23,865"
"Other","35.9","1,980","46.2","6,593"
"Unknown","18.3","1,033","36.7","6,133"
