"Sex","Ethnicity","Unemployed (%)","Inactive (%)"
"Male","All","5.4","5.5"
"Male","Bangladeshi","7.7","3.6"
"Male","Chinese","2.8","0.8"
"Male","Indian","3.9","2.8"
"Male","Pakistani","6.5","6.9"
"Male","Asian other","3.7","4.2"
"Male","Black","5.8","6.7"
"Male","Mixed","5.8","6.2"
"Male","White","5.5","5.6"
"Male","Other","2.9","6.0"
"Female","All","3.8","8.4"
"Female","Bangladeshi","4.8","7.9"
"Female","Chinese","1.3","3.9"
"Female","Indian","3.5","4.3"
"Female","Pakistani","4.5","10.8"
"Female","Asian other","5.8","9.2"
"Female","Black","5.2","5.3"
"Female","Mixed","2.6","7.3"
"Female","White","3.7","8.6"
"Female","Other","1.6","8.8"
