"Employment Status","Ethnicity","%"
"Unemployed","All","4.6"
"Unemployed","Bangladeshi","6.2"
"Unemployed","Chinese","2.0"
"Unemployed","Indian","3.7"
"Unemployed","Pakistani","5.5"
"Unemployed","Asian other","4.7"
"Unemployed","Black","5.5"
"Unemployed","Mixed","4.3"
"Unemployed","White","4.6"
"Unemployed","Other","2.3"
"Inactive","All","6.9"
"Inactive","Bangladeshi","5.8"
"Inactive","Chinese","2.5"
"Inactive","Indian","3.5"
"Inactive","Pakistani","8.8"
"Inactive","Asian other","6.6"
"Inactive","Black","6.0"
"Inactive","Mixed","6.7"
"Inactive","White","7.0"
"Inactive","Other","7.4"
