"Ethnicity","Region","%","Number of people unemployed"
"All","All","4","1,360,800"
"All","East Midlands","5","107,700"
"All","East of England","4","111,000"
"All","London","5","241,600"
"All","North East","5","67,800"
"All","North West","4","143,600"
"All","Scotland","4","117,200"
"All","South East","3","159,700"
"All","South West","3","88,600"
"All","Wales","5","68,300"
"All","West Midlands","5","135,100"
"All","Yorkshire and The Humber","5","120,200"
"White","All","4","1,060,900"
"White","East Midlands","4","91,300"
"White","East of England","4","99,400"
"White","London","4","109,500"
"White","North East","5","63,300"
"White","North West","4","116,300"
"White","Scotland","4","105,100"
"White","South East","3","133,200"
"White","South West","3","81,900"
"White","Wales","4","63,500"
"White","West Midlands","4","96,200"
"White","Yorkshire and The Humber","4","101,200"
"Other than White","All","7","298,800"
"Other than White","East Midlands","6","16,400"
"Other than White","East of England","4","11,500"
"Other than White","London","8","131,400"
"Other than White","North East","9","4,400"
"Other than White","North West","8","27,300"
"Other than White","Scotland","11","12,100"
"Other than White","South East","6","26,300"
"Other than White","South West","5","6,600"
"Other than White","Wales","7","4,800"
"Other than White","West Midlands","8","39,000"
"Other than White","Yorkshire and The Humber","8","19,000"
