"Ethnicity","Highest qualification held",""
"All","All","3%"
"All","Level 4 and above","2%"
"All","Level 3","3%"
"All","Level 2","4%"
"All","Below Level 2","5%"
"All","Other qualifications","4%"
"All","No qualifications","5%"
"Asian","All","4%"
"Asian","Level 4 and above","3%"
"Asian","Level 3","5%"
"Asian","Level 2","6%"
"Asian","Below Level 2","6%"
"Asian","Other qualifications","3%"
"Asian","No qualifications","3%"
"Black","All","7%"
"Black","Level 4 and above","6%"
"Black","Level 3","7%"
"Black","Level 2","7%"
"Black","Below Level 2","10%"
"Black","Other qualifications","7%"
"Black","No qualifications","5%"
"Mixed","All","6%"
"Mixed","Level 4 and above","4%"
"Mixed","Level 3","10%"
"Mixed","Level 2","3%"
"Mixed","Below Level 2","?"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","?"
"White","All","3%"
"White","Level 4 and above","2%"
"White","Level 3","3%"
"White","Level 2","4%"
"White","Below Level 2","5%"
"White","Other qualifications","4%"
"White","No qualifications","5%"
"Other","All","5%"
"Other","Level 4 and above","5%"
"Other","Level 3","?"
"Other","Level 2","?"
"Other","Below Level 2","?"
"Other","Other qualifications","6%"
"Other","No qualifications","4%"
