"Ethnicity","Local Authority","Number leaving care who are adopted","% leaving care who are adopted","Number leaving care"
"White","Barking and Dagenham","33","10","317"
"White","Barnet","22","12","188"
"White","Barnsley","112","34","334"
"White","Bath and North East Somerset","31","18","173"
"White","Bedford","53","30","175"
"White","Bexley","22","11","197"
"White","Birmingham","141","18","778"
"White","Blackburn with Darwen","54","17","325"
"White","Blackpool","97","19","499"
"White","Bolton","98","24","414"
"White","Bournemouth, Christchurch and Poole","N/A","N/A","N/A"
"White","Bracknell Forest","16","11","149"
"White","Bradford","65","10","623"
"White","Brent","11","9","120"
"White","Brighton and Hove","73","20","364"
"White","Bristol, City of","50","11","463"
"White","Bromley","28","12","237"
"White","Buckinghamshire","49","13","378"
"White","Bury","28","11","255"
"White","Calderdale","34","17","198"
"White","Cambridgeshire","125","21","605"
"White","Camden","6","8","79"
"White","Central Bedfordshire","43","20","212"
"White","Cheshire East","48","13","365"
"White","Cheshire West & Chester","46","11","405"
"White","City of London","0","0","!"
"White","Cornwall","78","12","642"
"White","Coventry","68","15","462"
"White","Croydon","29","6","460"
"White","Cumbria","122","21","579"
"White","Darlington","35","14","248"
"White","Derby","64","15","439"
"White","Derbyshire","114","15","756"
"White","Devon","122","15","801"
"White","Doncaster","93","16","580"
"White","Dorset","N/A","N/A","N/A"
"White","Dudley","77","19","412"
"White","Durham","153","15","1,015"
"White","Ealing","15","11","140"
"White","East Riding of Yorkshire","44","16","272"
"White","East Sussex","81","18","439"
"White","Enfield","19","8","250"
"White","Essex","199","22","922"
"White","Gateshead","72","17","414"
"White","Gloucestershire","82","12","687"
"White","Greenwich","26","9","277"
"White","Hackney","12","8","158"
"White","Halton","44","21","211"
"White","Hammersmith and Fulham","!","!","110"
"White","Hampshire","179","13","1,358"
"White","Haringey","17","9","194"
"White","Harrow","14","11","124"
"White","Hartlepool","31","11","271"
"White","Havering","22","9","236"
"White","Herefordshire","45","20","228"
"White","Hertfordshire","109","15","728"
"White","Hillingdon","20","10","210"
"White","Hounslow","21","12","170"
"White","Isle of Wight","32","18","177"
"White","Isles of Scilly","0","0","0"
"White","Islington","11","6","192"
"White","Kensington and Chelsea","!","!","34"
"White","Kent","240","16","1,543"
"White","Kingston Upon Hull, City of","89","14","615"
"White","Kingston upon Thames","7","8","92"
"White","Kirklees","79","19","413"
"White","Knowsley","27","12","232"
"White","Lambeth","!","!","94"
"White","Lancashire","212","12","1,771"
"White","Leeds","143","19","762"
"White","Leicester","58","14","409"
"White","Leicestershire","80","19","428"
"White","Lewisham","24","13","184"
"White","Lincolnshire","111","15","747"
"White","Liverpool","102","14","753"
"White","Luton","30","12","242"
"White","Manchester","97","14","679"
"White","Medway","75","18","414"
"White","Merton","15","16","93"
"White","Middlesbrough","50","12","427"
"White","Milton Keynes","40","14","294"
"White","Newcastle upon Tyne","91","15","608"
"White","Newham","11","7","162"
"White","Norfolk","172","15","1,130"
"White","North East Lincolnshire","46","14","320"
"White","North Lincolnshire","36","19","193"
"White","North Somerset","39","17","224"
"White","North Tyneside","38","9","409"
"White","North Yorkshire","61","14","423"
"White","Northamptonshire","133","16","852"
"White","Northumberland","83","18","473"
"White","Nottingham","75","20","377"
"White","Nottinghamshire","111","14","771"
"White","Oldham","72","19","384"
"White","Oxfordshire","73","12","591"
"White","Peterborough","50","15","336"
"White","Plymouth","79","18","434"
"White","Portsmouth","66","21","317"
"White","Reading","38","21","183"
"White","Redbridge","8","7","123"
"White","Redcar and Cleveland","31","12","259"
"White","Richmond upon Thames","7","7","99"
"White","Rochdale","77","26","291"
"White","Rotherham","81","14","580"
"White","Rutland","6","19","31"
"White","Salford","48","12","400"
"White","Sandwell","74","22","331"
"White","Sefton","47","12","383"
"White","Sheffield","84","16","526"
"White","Shropshire","18","8","236"
"White","Slough","20","14","138"
"White","Solihull","23","10","226"
"White","Somerset","93","17","541"
"White","South Gloucestershire","9","4","215"
"White","South Tyneside","45","15","293"
"White","Southampton","118","25","471"
"White","Southend-on-Sea","67","28","241"
"White","Southwark","12","8","156"
"White","St. Helens","55","17","333"
"White","Staffordshire","117","15","758"
"White","Stockport","43","11","395"
"White","Stockton-on-Tees","54","16","335"
"White","Stoke-on-Trent","74","20","364"
"White","Suffolk","133","18","735"
"White","Sunderland","114","13","903"
"White","Surrey","74","10","729"
"White","Sutton","27","13","213"
"White","Swindon","49","14","346"
"White","Tameside","62","13","475"
"White","Telford and Wrekin","76","30","255"
"White","Thurrock","31","11","277"
"White","Torbay","56","17","327"
"White","Tower Hamlets","15","13","115"
"White","Trafford","22","8","266"
"White","Wakefield","82","18","458"
"White","Walsall","64","16","393"
"White","Waltham Forest","8","6","139"
"White","Wandsworth","14","9","151"
"White","Warrington","57","17","340"
"White","Warwickshire","91","15","601"
"White","West Berkshire","16","10","155"
"White","West Sussex","103","15","692"
"White","Westminster","!","!","49"
"White","Wigan","73","18","398"
"White","Wiltshire","71","20","359"
"White","Windsor and Maidenhead","9","8","111"
"White","Wirral","83","14","579"
"White","Wokingham","9","9","105"
"White","Wolverhampton","76","29","265"
"White","Worcestershire","124","21","583"
"White","York","25","16","158"
"Other than White","Barking and Dagenham","9","3","278"
"Other than White","Barnet","13","4","353"
"Other than White","Barnsley","7","30","23"
"Other than White","Bath and North East Somerset","!","!","42"
"Other than White","Bedford","17","12","147"
"Other than White","Bexley","6","3","177"
"Other than White","Birmingham","109","9","1,187"
"Other than White","Blackburn with Darwen","14","12","120"
"Other than White","Blackpool","!","!","26"
"Other than White","Bolton","13","11","123"
