"Ethnicity","expected standard","higher standard","average scaled score","progress score"
"All","75","28","105","0.0"
"Asian","75","27","105","1.9"
"Bangladeshi","76","25","105","2.0"
"Indian","81","36","107","2.6"
"Pakistani","70","21","104","1.1"
"Asian other","78","30","106","2.8"
"Black","74","24","105","0.3"
"Black African","75","26","105","0.9"
"Black Caribbean","70","20","103","-1.3"
"Black other","72","22","104","0.0"
"Chinese","83","42","108","4.7"
"Mixed","77","30","106","0.0"
"Mixed White/Asian","81","36","107","0.7"
"Mixed White/Black African","77","29","105","-0.1"
"Mixed White/Black Caribbean","72","24","104","-1.3"
"Mixed other","79","31","106","0.6"
"White","76","29","105","-0.3"
"White British","76","29","105","-0.5"
"White Irish","82","39","107","0.3"
"Gypsy/Roma","28","4","95","-0.7"
"Irish Traveller","37","7","98","-1.1"
"White other","69","25","104","2.2"
"Other","68","23","104","2.3"
"Unknown","63","24","104","-0.2"
