"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Numerator","Denominator",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","75","%","466713","619690",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","72","%","227080","316778",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","79","%","239633","302912",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","75","%","51052","67876",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","72","%","25066","34826",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","79","%","25986","33050",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","78","%","8832","11378",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","75","%","4401","5890",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","81","%","4431","5488",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","76","%","8287","10965",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","72","%","4037","5624",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","80","%","4250","5341",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","74","%","27517","37392",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","69","%","12985","18794",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","78","%","14532","18598",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","75","%","18905","25224",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","71","%","8918","12611",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","79","%","9987","12613",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","70","%","5031","7220",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","64","%","2341","3651",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","75","%","2690","3569",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","72","%","3581","4948",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","68","%","1726","2532",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","77","%","1855","2416",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","83","%","2123","2544",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","81","%","1019","1264",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","86","%","1104","1280",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","81","%","14800","18171",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","78","%","7333","9379",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","85","%","7467","8792",""
"% of pupils reaching the key stage 2 expected standard in reading by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","77","%","27421","35507",""
