"","All","","","Men","","","Women","",""
"Ethnicity","All (%)","Disabled (%)","Non-disabled (%)","All (%)","Disabled (%)","Non-disabled (%)","All (%)","Disabled (%)","Non-disabled (%)"
"All","4","8","4","4","10","4","4","7","4"
"Asian","6","11","5","5","9","4","8","13","7"
"Indian","4","9","4","4","11","3","5","8","5"
"Pakistani, Bangladeshi","8","13","7","6","8","6","13","22","11"
"Asian Other","6","10","6","6","10","5","7","11","6"
"Black","9","16","8","9","19","8","9","15","8"
"Mixed","7","16","6","8","18","6","7","14","6"
"White","4","8","3","4","9","3","4","6","3"
"White British","4","8","3","4","10","3","4","6","3"
"White Other","3","6","3","3","4","3","4","8","3"
"Other","8","15","7","7","20","5","8","8","8"
