"Measure","Year","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Value","Value_type","Numerator","Denominator"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","Other","White & Other","N/A","N/A","Ambulance","56","%","399","714"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","Other","White & Other","N/A","N/A","Community Provider Trust","69","%","1122","1617"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","Other","White & Other","North","Grouped region","N/A","74","%","5437","7376"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","Other","White & Other","N/A","N/A","Mental Health","71","%","6166","8670"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","Other","White & Other","South","Grouped region","N/A","74","%","7231","9731"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","Other","White & Other","Midlands","Grouped region","N/A","71","%","8580","12100"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","White","White & Other","N/A","N/A","Ambulance","71","%","9341","13080"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","All","White & Other","N/A","N/A","Ambulance","71","%","9740","13794"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","Other","White & Other","London","Grouped region","N/A","66","%","13116","19947"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","White","White & Other","N/A","N/A","Community Provider Trust","91","%","13794","15233"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","All","White & Other","N/A","N/A","Community Provider Trust","89","%","14916","16850"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","Other","White & Other","N/A","N/A","Acute","70","%","26677","38153"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","White","White & Other","London","Grouped region","N/A","83","%","26886","32280"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","Other","White & Other","England","Country","All","70","%","34364","49154"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","All","White & Other","London","Grouped region","N/A","77","%","40002","52227"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","White","White & Other","N/A","N/A","Mental Health","87","%","45397","52066"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","All","White & Other","N/A","N/A","Mental Health","85","%","51563","60736"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","White","White & Other","Midlands","Grouped region","N/A","86","%","63918","74507"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","White","White & Other","South","Grouped region","N/A","87","%","64162","73766"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","All","White & Other","South","Grouped region","N/A","86","%","71393","83497"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","White","White & Other","North","Grouped region","N/A","87","%","72326","82985"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","All","White & Other","Midlands","Grouped region","N/A","84","%","72498","86607"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","All","White & Other","North","Grouped region","N/A","86","%","77763","90361"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","White","White & Other","N/A","N/A","Acute","87","%","158760","183159"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","All","White & Other","N/A","N/A","Acute","84","%","185437","221312"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","White","White & Other","England","Country","All","86","%","227292","263538"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","N/A","N/A","All","White & Other","England","Country","All","84","%","261656","312692"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","Other","White & Other","N/A","N/A","Ambulance Trust","53","%","292","556"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","Other","White & Other","N/A","N/A","Community Provider Trust","73","%","1102","1504"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","Other","White & Other","North","Grouped region","N/A","74","%","5207","7018"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","Other","White & Other","N/A","N/A","Mental Health Trust","73","%","6107","8338"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","Other","White & Other","South","Grouped region","N/A","77","%","7062","9230"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","White","White & Other","N/A","N/A","Ambulance Trust","69","%","7884","11360"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","All","White & Other","N/A","N/A","Ambulance Trust","69","%","8176","11916"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","Other","White & Other","Midlands","Grouped region","N/A","73","%","8507","11625"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","Other","White & Other","London","Grouped region","N/A","68","%","12961","19179"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","White","White & Other","N/A","N/A","Community Provider Trust","90","%","15032","16638"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","All","White & Other","N/A","N/A","Community Provider Trust","89","%","16134","18142"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","Other","White & Other","N/A","N/A","Acute Trust","72","%","26236","36654"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","White","White & Other","London","Grouped region","N/A","84","%","26551","31610"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","Other","White & Other","England","Country","All","72","%","33737","47052"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","All","White & Other","London","Grouped region","N/A","78","%","39512","50789"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","White","White & Other","N/A","N/A","Mental Health Trust","88","%","44476","50785"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","All","White & Other","N/A","N/A","Mental Health Trust","86","%","50583","59123"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","White","White & Other","Midlands","Grouped region","N/A","86","%","64720","74971"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","White","White & Other","South","Grouped region","N/A","88","%","65659","74821"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","All","White & Other","South","Grouped region","N/A","87","%","72721","84051"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","All","White & Other","Midlands","Grouped region","N/A","85","%","73227","86596"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","White","White & Other","North","Grouped region","N/A","87","%","73398","84419"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","All","White & Other","North","Grouped region","N/A","86","%","78605","91437"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","White","White & Other","N/A","N/A","Acute Trust","87","%","162936","187038"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","All","White & Other","N/A","N/A","Acute Trust","85","%","189172","223692"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","White","White & Other","England","Country","All","87","%","230328","265821"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2017","N/A","N/A","All","White & Other","England","Country","All","84","%","264065","312873"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Manchester University NHS Foundation Trust","R0A","Other","White & Other","North","Grouped region","Acute","69","%","462","669"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Manchester University NHS Foundation Trust","R0A","White","White & Other","North","Grouped region","Acute","87","%","3346","3828"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Manchester University NHS Foundation Trust","R0A","All","White & Other","North","Grouped region","Acute","85","%","3808","4497"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Worcestershire Health and Care NHS Trust","R1A","Other","White & Other","Midlands","Grouped region","Community Provider Trust","64","%","30","47"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Worcestershire Health and Care NHS Trust","R1A","White","White & Other","Midlands","Grouped region","Community Provider Trust","89","%","723","811"
"Percentage of staff believing that trust provides equal opportunities for career progression or promotion","2018","Worcestershire Health and Care NHS Trust","R1A","All","White & Other","Midlands","Grouped region","Community Provider Trust","88","%","753","858"
