"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average trips per year by main mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","All modes","1065","1693912","1551557","82950","81145","               "
"Average trips per year by main mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bicycle","17","26786","24235","82950","81145","               "
"Average trips per year by main mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Bus in London","18","28535","22997","82950","81145","               "
"Average trips per year by main mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van driver","430","684686","634992","82950","81145","               "
"Average trips per year by main mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Car / van passenger","232","369272","350653","82950","81145","               "
"Average trips per year by main mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","London Underground","9","14778","10626","82950","81145","               "
"Average trips per year by main mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Motorcycle ","4","5905","5136","82950","81145","               "
"Average trips per year by main mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Non-local bus","1","1291","1264","82950","81145","               "
"Average trips per year by main mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other local bus","45","72298","66146","82950","81145","               "
"Average trips per year by main mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other private transport","8","12716","12303","82950","81145","               "
"Average trips per year by main mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Other public transport","3","4438","3769","82950","81145","               "
"Average trips per year by main mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Surface Rail","16","24842","21134","82950","81145","               "
"Average trips per year by main mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Taxi / minicab","11","17640","15837","82950","81145","               "
"Average trips per year by main mode of transport","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","Walk","271","430726","382465","82950","81145","               "
