"Measure","Measure_type","Ethnicity","Ethnicity_type","Time","Time_Type","Region","Age","Age_Type","Sex","Disability","Value","confidence_interval","Numerator","denominator","samp_size"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","16-24","16-64","All","All","50.8","0.6","3589700","7071600","28692"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","16-24","16-64","All","Disabled","34.7","1.7","256200","737900","3048"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","16-24","16-64","All","Non-disabled","52.9","0.6","3322100","6285400","25438"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","16-24","16-64","All","unknown","23.5","5.8","11400","48400","206"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","16-24","16-64","Female","All","50.3","0.8","1752200","3480200","14434"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","16-24","16-64","Female","Disabled","38.7","2.4","151100","390500","1617"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","16-24","16-64","Female","Non-disabled","52.1","0.9","1595900","3064800","12707"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","16-24","16-64","Female","unknown","21","7.6","5200","24900","110"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","16-24","16-64","Male","All","51.2","0.8","1837500","3591400","14258"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","16-24","16-64","Male","Disabled","30.3","2.4","105100","347400","1431"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","16-24","16-64","Male","Non-disabled","53.6","0.9","1726200","3220600","12731"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","16-24","16-64","Male","unknown","26.2","8.8","6100","23400","96"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","25-49","16-64","All","All","81.8","0.2","17188900","21013700","95413"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","25-49","16-64","All","Disabled","54.5","0.8","1664700","3053400","14590"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","25-49","16-64","All","Non-disabled","86.5","0.2","15438100","17837900","80230"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","25-49","16-64","All","unknown","70.3","3.7","86000","122400","593"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","25-49","16-64","Female","All","75.5","0.4","8023600","10622100","50955"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","25-49","16-64","Female","Disabled","53.1","1.1","920300","1732500","8594"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","25-49","16-64","Female","Non-disabled","80","0.4","7060200","8823500","42025"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","25-49","16-64","Female","unknown","65.2","5.1","43100","66100","336"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","25-49","16-64","Male","All","88.2","0.3","9165300","10391600","44458"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","25-49","16-64","Male","Disabled","56.4","1.3","744500","1320900","5996"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","25-49","16-64","Male","Non-disabled","92.9","0.3","8377900","9014400","38205"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","25-49","16-64","Male","unknown","76.3","5.2","42900","56300","257"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","50-64","16-64","All","All","68.5","0.4","7807200","11405400","62914"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","50-64","16-64","All","Disabled","41","0.7","1241800","3029600","17263"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","50-64","16-64","All","Non-disabled","78.5","0.4","6513800","8294600","45176"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","50-64","16-64","All","unknown","63.7","4.3","51600","81100","475"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","50-64","16-64","Female","All","63.1","0.5","3658900","5799500","32972"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","50-64","16-64","Female","Disabled","38.3","1","626100","1636800","9586"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","50-64","16-64","Female","Non-disabled","73","0.6","3004100","4115800","23110"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","50-64","16-64","Female","unknown","61.1","5.8","28600","46800","276"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","50-64","16-64","Male","All","74","0.5","4148300","5605900","29942"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","50-64","16-64","Male","Disabled","44.2","1.1","615600","1392800","7677"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","50-64","16-64","Male","Non-disabled","84","0.5","3509600","4178800","22066"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","50-64","16-64","Male","unknown","67.1","6.5","23000","34300","199"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","All","16-64","All","All","72.4","0.2","28585700","39490700","187019"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","All","16-64","All","Disabled","46.4","0.5","3162800","6821000","34901"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","All","16-64","All","Non-disabled","78","0.2","25273900","32417900","150844"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","All","16-64","All","unknown","59.2","2.7","149100","251800","1274"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","All","16-64","Female","All","67.5","0.3","13434700","19901800","98361"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","All","16-64","Female","Disabled","45.2","0.7","1697600","3759800","19797"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","All","16-64","Female","Non-disabled","72.9","0.3","11660200","16004100","77842"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","All","16-64","Female","unknown","55.8","3.6","77000","137900","722"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","All","16-64","Male","All","77.3","0.3","15151000","19588900","88658"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","All","16-64","Male","Disabled","47.9","0.8","1465200","3061100","15104"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","All","16-64","Male","Non-disabled","82.9","0.3","13613700","16413800","73002"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","All","All","16-64","Male","unknown","63.2","4","72100","114000","552"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","East Midlands","All","16-64","All","All","73.5","0.9","2129300","2895400","9463"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","East Midlands","All","16-64","All","Disabled","48.4","2.4","252700","522400","1733"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","East Midlands","All","16-64","All","Non-disabled","79.2","0.9","1866700","2357000","7675"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","East Midlands","All","16-64","All","unknown","61.4","12.9","9900","16100","55"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","East of England","All","16-64","All","All","75.7","0.8","2800700","3699500","12012"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","East of England","All","16-64","All","Disabled","54.2","2.2","324000","597300","2030"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","East of England","All","16-64","All","Non-disabled","80","0.8","2462700","3079500","9904"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","East of England","All","16-64","All","unknown","61.7","10.8","14000","22700","78"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","London","All","16-64","All","All","71.3","0.7","4128900","5789600","17947"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","London","All","16-64","All","Disabled","46.9","1.8","396000","843900","2809"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","London","All","16-64","All","Non-disabled","75.7","0.7","3705400","4898000","14978"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","London","All","16-64","All","unknown","57.8","7.7","27500","47700","160"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","North East","All","16-64","All","All","68.4","0.8","1129300","1651100","12767"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","North East","All","16-64","All","Disabled","40.9","1.8","143500","350500","2791"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","North East","All","16-64","All","Non-disabled","76","0.8","982200","1291800","9898"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","North East","All","16-64","All","unknown","42","11","3700","8800","78"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","North West","All","16-64","All","All","69.3","0.6","3102500","4478200","23093"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","North West","All","16-64","All","Disabled","39.4","1.4","351800","892800","4891"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","North West","All","16-64","All","Non-disabled","76.9","0.6","2735900","3559600","18063"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","North West","All","16-64","All","unknown","57.2","8.2","14700","25700","139"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","Scotland","All","16-64","All","All","72.6","0.6","2478000","3414600","24566"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","Scotland","All","16-64","All","Disabled","41.5","1.4","251400","606500","4504"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","Scotland","All","16-64","All","Non-disabled","79.4","0.6","2213500","2788900","19910"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","Scotland","All","16-64","All","unknown","68.4","7.4","13200","19200","152"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","South East","All","16-64","All","All","75.8","0.6","4147600","5470900","22615"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","South East","All","16-64","All","Disabled","53.6","1.6","440900","823000","3547"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","South East","All","16-64","All","Non-disabled","79.9","0.6","3683900","4612800","18913"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","South East","All","16-64","All","unknown","64.9","7.5","22800","35100","155"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","South West","All","16-64","All","All","76","0.7","2493600","3280900","14772"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","South West","All","16-64","All","Disabled","53.9","1.9","293800","545000","2610"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","South West","All","16-64","All","Non-disabled","80.6","0.7","2187800","2715100","12057"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","South West","All","16-64","All","unknown","57.9","9.4","12000","20700","105"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","Wales","All","16-64","All","All","69.5","0.6","1326900","1909300","20398"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","Wales","All","16-64","All","Disabled","43.1","1.5","169600","393800","4454"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","Wales","All","16-64","All","Non-disabled","76.5","0.7","1148600","1501100","15780"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","Wales","All","16-64","All","unknown","60","7.5","8700","14500","164"
"Employed","Percentage of individuals employed","All","All","Jan14-Dec14","year","West Midlands","All","16-64","All","All","70","0.8","2477300","3539900","14257"
