"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Age","Value","Value_type","Denominator"
"Percentage of students achieving 3 A grades or better at A level","All students","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","12.9","%","230827"
"Percentage of students achieving 3 A grades or better at A level","White","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","11","%","143814"
"Percentage of students achieving 3 A grades or better at A level","White British","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","10.9","%","133576"
"Percentage of students achieving 3 A grades or better at A level","White Irish","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","14.3","%","924"
"Percentage of students achieving 3 A grades or better at A level","Traveller of Irish heritage","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","28.6","%","7"
"Percentage of students achieving 3 A grades or better at A level","Gypsy/Roma","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","3.6","%","28"
"Percentage of students achieving 3 A grades or better at A level","White Other","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","11.4","%","9279"
"Percentage of students achieving 3 A grades or better at A level","Mixed","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","11.4","%","8927"
"Percentage of students achieving 3 A grades or better at A level","White and Black African","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","8.9","%","1038"
"Percentage of students achieving 3 A grades or better at A level","White and Black Caribbean","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","7.4","%","1939"
"Percentage of students achieving 3 A grades or better at A level","White and Asian","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","14","%","2528"
"Percentage of students achieving 3 A grades or better at A level","Asian Other","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","12.4","%","3422"
"Percentage of students achieving 3 A grades or better at A level","Asian","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","10.9","%","24002"
"Percentage of students achieving 3 A grades or better at A level","Bangladeshi","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","7.7","%","3694"
"Percentage of students achieving 3 A grades or better at A level","Indian","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","15.3","%","8244"
"Percentage of students achieving 3 A grades or better at A level","Pakistani","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","7.3","%","7502"
"Percentage of students achieving 3 A grades or better at A level","Any other Asian background","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","11.6","%","4562"
"Percentage of students achieving 3 A grades or better at A level","Black","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","5.1","%","10376"
"Percentage of students achieving 3 A grades or better at A level","Black African","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","5.6","%","7352"
"Percentage of students achieving 3 A grades or better at A level","Black Caribbean","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","3.5","%","1891"
"Percentage of students achieving 3 A grades or better at A level","Black Other","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","4.1","%","1133"
"Percentage of students achieving 3 A grades or better at A level","Chinese","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","22.5","%","1461"
"Percentage of students achieving 3 A grades or better at A level","Other","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","10.3","%","3527"
"Percentage of students achieving 3 A grades or better at A level","Unknown ethnicity","ONS 2001 16+1","2017/18","Academic Year","England","Country","16-18","23.5","%","38720"
"Percentage of students achieving 3 A grades or better at A level","All students","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","13.4","%","222084"
"Percentage of students achieving 3 A grades or better at A level","Asian","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","10.9","%","21164"
"Percentage of students achieving 3 A grades or better at A level","Asian Other","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","11.8","%","4030"
"Percentage of students achieving 3 A grades or better at A level","Bangladeshi","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","7.2","%","3229"
"Percentage of students achieving 3 A grades or better at A level","Black","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","5.3","%","9234"
"Percentage of students achieving 3 A grades or better at A level","Black African","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","5.7","%","6494"
"Percentage of students achieving 3 A grades or better at A level","Black Caribbean","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","3.6","%","1808"
"Percentage of students achieving 3 A grades or better at A level","Black Other","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","5.5","%","932"
"Percentage of students achieving 3 A grades or better at A level","Chinese","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","24.8","%","1405"
"Percentage of students achieving 3 A grades or better at A level","Gypsy/Roma","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","7.7","%","26"
"Percentage of students achieving 3 A grades or better at A level","Indian","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","15.3","%","7436"
"Percentage of students achieving 3 A grades or better at A level","Mixed","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","13","%","8267"
"Percentage of students achieving 3 A grades or better at A level","Mixed Other","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","14.1","%","3173"
"Percentage of students achieving 3 A grades or better at A level","Pakistani","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","7.3","%","6469"
"Percentage of students achieving 3 A grades or better at A level","Traveller of Irish heritage","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","0","%","13"
"Percentage of students achieving 3 A grades or better at A level","White","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","11.3","%","138097"
"Percentage of students achieving 3 A grades or better at A level","White and Asian","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","16.7","%","2291"
"Percentage of students achieving 3 A grades or better at A level","White and Black African","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","10.1","%","941"
"Percentage of students achieving 3 A grades or better at A level","White and Black Caribbean","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","8.2","%","1862"
"Percentage of students achieving 3 A grades or better at A level","White British","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","11.2","%","129231"
"Percentage of students achieving 3 A grades or better at A level","White Irish","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","13.7","%","904"
"Percentage of students achieving 3 A grades or better at A level","White Other","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","12.8","%","7923"
"Percentage of students achieving 3 A grades or better at A level","Other","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","9.9","%","3181"
"Percentage of students achieving 3 A grades or better at A level","Unknown","ONS 2001 16+1","2016/17","Academic Year","England","Country","16-18","23.7","%","40736"
