"","Reliably improved","No Reliable Change","Reliably deteriorated"
"Ethnicity","%","%","%"
"Asian","63.9","27.5","7.5"
"Bangladeshi","60.8","28.2","8.8"
"Indian","66.4","26.0","6.8"
"Pakistani","63.0","28.3","7.7"
"Asian other","62.0","28.7","8.1"
"Black","66.2","25.6","7.0"
"Black African","66.2","25.3","7.1"
"Black Caribbean","66.4","25.7","7.0"
"Black other","65.7","26.0","6.9"
"Mixed","64.7","27.6","6.7"
"Mixed White/Asian","63.4","29.2","6.3"
"Mixed White/Black African","65.6","27.2","6.7"
"Mixed White/Black Caribbean","64.7","27.4","7.0"
"Mixed other","65.1","27.1","6.7"
"White","68.0","25.4","5.5"
"White British","68.1","25.4","5.5"
"White Irish","65.5","27.2","6.4"
"White other","66.9","26.0","6.0"
"Other inc Chinese","64.0","27.5","7.4"
"Chinese","66.5","26.5","6.0"
"Any other","63.4","27.7","7.6"
