"Ethnicity","Geography","%","Pupils"
"All","All - England","43.4","540,006"
"All","Barking and Dagenham","42.6","2,353"
"All","Barnet","62.7","3,804"
"All","Barnsley","41.5","2,097"
"All","Bath and North East Somerset","45.5","2,134"
"All","Bedford","36.2","1,843"
"All","Bexley","49.4","3,115"
"All","Birmingham","42.5","13,034"
"All","Blackburn with Darwen","43.6","1,875"
"All","Blackpool","26.3","1,156"
"All","Bolton","41.2","3,325"
"All","Bournemouth, Christchurch and Poole","51.0","3,554"
"All","Bracknell Forest","44.1","1,112"
"All","Bradford","34.6","6,080"
"All","Brent","50.5","3,038"
"All","Brighton and Hove","47.4","2,221"
"All","Bristol, City of","38.6","3,378"
"All","Bromley","51.1","3,312"
"All","Buckinghamshire","59.9","5,789"
"All","Bury","37.3","2,132"
"All","Calderdale","46.8","2,547"
"All","Cambridgeshire","47.7","5,726"
"All","Camden","46.3","1,571"
"All","Central Bedfordshire","41.4","2,722"
"All","Cheshire East","50.0","3,727"
"All","Cheshire West and Chester","43.4","3,461"
"All","Cornwall","39.1","5,100"
"All","County Durham","38.2","4,796"
"All","Coventry","38.0","3,513"
"All","Croydon","40.5","3,640"
"All","Cumbria","40.7","4,930"
"All","Darlington","42.1","1,156"
"All","Derby","38.1","2,845"
"All","Derbyshire","43.6","7,249"
"All","Devon","41.8","6,817"
"All","Doncaster","38.3","3,003"
"All","Dorset","40.8","3,500"
"All","Dudley","36.5","3,299"
"All","Ealing","53.6","2,956"
"All","East Midlands","42.1","47,019"
"All","East Riding of Yorkshire","43.3","3,093"
"All","East Sussex","41.7","4,784"
"All","East of England","43.3","60,993"
"All","Enfield","43.2","3,606"
"All","Essex","40.5","14,485"
"All","Gateshead","42.4","1,842"
"All","Gloucestershire","47.8","6,390"
"All","Greenwich","41.4","2,364"
"All","Hackney","47.6","2,230"
"All","Halton","36.1","1,363"
"All","Hammersmith and Fulham","55.7","1,326"
"All","Hampshire","45.7","12,818"
"All","Haringey","43.1","2,336"
"All","Harrow","50.1","2,210"
"All","Hartlepool","37.4","994"
"All","Havering","48.5","2,829"
"All","Herefordshire, County of","40.1","1,710"
"All","Hertfordshire","51.7","12,874"
"All","Hillingdon","46.7","3,203"
"All","Hounslow","49.1","2,731"
"All","Inner London","45.9","26,861"
"All","Isle of Wight","33.8","1,173"
"All","Isles of Scilly","42.9","14"
"All","Islington","42.3","1,465"
"All","Kensington and Chelsea","55.7","867"
"All","Kent","45.6","15,833"
"All","Kingston upon Hull, City of","32.6","2,355"
"All","Kingston upon Thames","61.6","1,550"
"All","Kirklees","42.5","4,706"
"All","Knowsley","17.6","994"
"All","Lambeth","39.1","2,189"
"All","Lancashire","44.2","12,086"
"All","Leeds","41.6","7,621"
"All","Leicester","37.2","3,576"
"All","Leicestershire","43.9","7,154"
"All","Lewisham","37.4","2,187"
"All","Lincolnshire","42.5","7,652"
"All","Liverpool","36.1","4,723"
"All","Luton","37.6","2,594"
"All","Manchester","35.5","4,993"
"All","Medway","43.7","3,068"
"All","Merton","48.9","1,455"
"All","Middlesbrough","34.5","1,347"
"All","Milton Keynes","38.8","2,920"
"All","Newcastle upon Tyne","38.7","2,387"
"All","Newham","46.7","3,933"
"All","Norfolk","40.1","7,640"
"All","North East","39.6","25,455"
"All","North East Lincolnshire","33.7","1,606"
"All","North Lincolnshire","42.8","1,672"
"All","North Somerset","42.0","2,117"
"All","North Tyneside","40.9","2,007"
"All","North West","41.1","74,006"
"All","North Yorkshire","47.4","6,135"
"All","Northamptonshire","41.7","7,538"
"All","Northumberland","43.3","3,004"
"All","Nottingham","32.7","2,753"
"All","Nottinghamshire","45.4","7,746"
"All","Oldham","35.3","2,994"
"All","Outer London","50.6","52,840"
"All","Oxfordshire","46.0","6,153"
"All","Peterborough","32.1","2,330"
"All","Plymouth","37.6","2,546"
"All","Portsmouth","35.0","1,647"
"All","Reading","47.1","1,141"
"All","Redbridge","59.5","3,687"
"All","Redcar and Cleveland","40.2","1,539"
"All","Richmond upon Thames","55.6","1,586"
"All","Rochdale","34.6","2,350"
"All","Rotherham","38.0","3,140"
"All","Rutland","53.0","506"
"All","Salford","31.5","2,100"
"All","Sandwell","30.5","3,657"
"All","Sefton","35.9","2,935"
"All","Sheffield","38.8","5,224"
"All","Shropshire","40.9","2,925"
"All","Slough","57.1","1,856"
"All","Solihull","46.0","2,943"
"All","Somerset","39.4","4,935"
"All","South East","46.5","85,952"
"All","South Gloucestershire","39.4","2,575"
"All","South Tyneside","33.5","1,568"
"All","South West","42.7","51,455"
"All","Southampton","35.6","1,958"
"All","Southend-on-Sea","56.9","2,059"
"All","Southwark","45.5","2,509"
"All","St. Helens","37.6","1,757"
"All","Staffordshire","36.9","8,444"
"All","Stockport","46.3","2,657"
"All","Stockton-on-Tees","45.2","2,027"
"All","Stoke-on-Trent","35.5","2,376"
"All","Suffolk","39.0","6,972"
"All","Sunderland","37.4","2,788"
"All","Surrey","51.7","10,388"
"All","Sutton","64.3","2,796"
"All","Swindon","39.5","2,101"
"All","Tameside","39.9","2,486"
"All","Telford and Wrekin","40.5","1,947"
"All","Thurrock","38.2","1,748"
"All","Torbay","45.6","1,488"
"All","Tower Hamlets","45.8","2,808"
"All","Trafford","62.1","2,925"
"All","Wakefield","44.9","3,463"
"All","Walsall","35.9","3,304"
"All","Waltham Forest","42.7","2,605"
"All","Wandsworth","48.3","1,785"
"All","Warrington","49.3","2,297"
