"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Geography","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils"
"All - England","43.4","540,006","52.3","57,606","38.2","30,819","76.7","1,996","44.0","26,905","42.5","405,623"
"Barking and Dagenham","42.6","2,353","57.7","530","44.9","642","100.0","3","35.7","227","34.1","903"
"Barnet","62.7","3,804","81.2","536","50.4","532","88.6","44","62.6","398","62.4","1,821"
"Barnsley","41.5","2,097","42.9","7","27.8","18","100.0","1","44.4","36","41.7","2,021"
"Bath and North East Somerset","45.5","2,134","50.0","38","22.7","22","75.0","8","41.4","87","47.0","1,840"
"Bedford","36.2","1,843","34.7","271","27.0","122","66.7","3","30.4","148","37.9","1,253"
"Bexley","49.4","3,115","68.3","221","60.1","612","90.3","31","53.2","216","42.9","1,966"
"Birmingham","42.5","13,034","45.2","5,206","32.2","1,708","92.1","38","39.3","1,015","44.3","4,242"
"Blackburn with Darwen","43.6","1,875","50.4","889","36.8","19","66.7","3","44.4","54","37.0","880"
"Blackpool","26.3","1,156","55.6","27","20.0","5","33.3","3","15.6","32","25.9","1,083"
"Bolton","41.2","3,325","53.5","731","41.8","170","62.5","8","39.1","128","37.0","2,235"
"Bournemouth, Christchurch and Poole","51.0","3,554","64.8","88","41.7","24","77.8","18","53.9","165","51.1","3,081"
"Bracknell Forest","44.1","1,112","50.9","55","42.4","33","100.0","1","44.6","56","43.6","951"
"Bradford","34.6","6,080","35.0","2,774","29.9","97","83.3","6","33.1","248","33.9","2,813"
"Brent","50.5","3,038","56.6","876","40.5","703","75.0","4","48.1","216","46.0","572"
"Brighton and Hove","47.4","2,221","46.9","81","37.7","53","55.6","9","46.0","198","48.1","1,820"
"Bristol, City of","38.6","3,378","40.3","268","24.7","385","90.0","10","36.4","280","41.1","2,339"
"Bromley","51.1","3,312","79.1","206","47.6","338","83.3","36","55.7","323","48.3","2,314"
"Buckinghamshire","59.9","5,789","64.7","1,148","49.4","156","94.3","35","57.4","366","58.6","3,974"
"Bury","37.3","2,132","42.5","339","31.4","51","77.8","9","39.4","104","35.9","1,590"
"Calderdale","46.8","2,547","49.4","429","31.8","44","75.0","4","45.6","114","46.7","1,942"
"Cambridgeshire","47.7","5,726","61.9","194","36.9","65","74.1","27","49.4","243","47.1","5,044"
"Camden","46.3","1,571","46.8","278","38.8","402","88.9","9","49.7","195","52.1","541"
"Central Bedfordshire","41.4","2,722","58.0","50","27.4","62","80.0","10","44.5","146","41.2","2,397"
"Cheshire East","50.0","3,727","60.5","43","30.8","13","81.3","16","49.1","114","49.9","3,493"
"Cheshire West and Chester","43.4","3,461","52.2","46","12.5","16","37.5","8","47.9","71","43.4","3,285"
"Cornwall","39.1","5,100","40.0","15","25.0","8","50.0","4","46.8","94","39.1","4,901"
"County Durham","38.2","4,796","58.8","34","33.3","15","57.1","7","53.3","60","38.3","4,597"
"Coventry","38.0","3,513","52.6","683","33.7","365","88.9","9","31.2","221","34.7","2,162"
"Croydon","40.5","3,640","53.9","477","31.6","1,130","82.4","17","37.4","570","45.1","1,283"
"Cumbria","40.7","4,930","46.9","32","30.0","10","82.4","17","50.0","66","40.4","4,604"
"Darlington","42.1","1,156","36.8","19","0.0","3","0.0","3","52.0","25","42.4","1,089"
"Derby","38.1","2,845","47.5","528","34.7","95","75.0","8","30.2","179","36.8","1,953"
"Derbyshire","43.6","7,249","50.7","69","41.2","17","68.8","16","42.3","163","43.5","6,936"
"Devon","41.8","6,817","79.5","39","18.2","11","65.0","20","40.8","120","41.5","6,364"
"Doncaster","38.3","3,003","55.4","92","34.5","29","100.0","9","32.9","73","37.8","2,761"
"Dorset","40.8","3,500","48.6","37","42.9","7","50.0","8","48.3","89","40.7","3,318"
"Dudley","36.5","3,299","38.7","310","33.0","100","50.0","8","33.3","231","36.9","2,547"
"Ealing","53.6","2,956","58.8","906","45.5","560","100.0","7","53.9","204","55.5","815"
"East Midlands","42.1","47,019","51.5","4,087","34.0","1,440","67.5","123","39.3","2,028","41.6","38,424"
"East Riding of Yorkshire","43.3","3,093","80.0","10","0.0","3","50.0","2","47.2","53","43.2","3,000"
"East Sussex","41.7","4,784","62.8","86","41.9","31","60.0","10","44.6","204","41.4","4,356"
"East of England","43.3","60,993","54.7","3,873","41.8","2,134","78.4","245","44.2","2,895","42.3","50,485"
"Enfield","43.2","3,606","65.9","308","37.5","890","84.2","19","48.1","318","40.4","1,769"
"Essex","40.5","14,485","70.3","354","44.2","477","78.3","60","46.0","507","39.1","12,735"
"Gateshead","42.4","1,842","67.4","46","57.9","19","100.0","6","36.4","22","41.2","1,666"
"Gloucestershire","47.8","6,390","67.0","206","37.2","86","80.0","20","48.9","225","47.1","5,767"
"Greenwich","41.4","2,364","59.6","178","42.1","708","64.3","28","40.1","247","37.1","1,098"
"Hackney","47.6","2,230","56.1","280","38.0","849","80.0","10","46.0","200","57.1","749"
"Halton","36.1","1,363","50.0","6","NA","NA","100.0","1","40.0","20","35.6","1,316"
"Hammersmith and Fulham","55.7","1,326","60.8","120","40.7","305","80.0","5","52.9","140","64.3","594"
"Hampshire","45.7","12,818","60.6","327","33.3","105","61.9","42","50.3","346","45.0","11,776"
"Haringey","43.1","2,336","59.1","127","29.8","634","69.2","13","51.5","235","47.4","1,090"
"Harrow","50.1","2,210","62.3","939","31.3","326","54.5","11","45.0","191","46.6","575"
"Hartlepool","37.4","994","35.3","17","0.0","3","100.0","2","41.7","12","37.5","952"
"Havering","48.5","2,829","61.7","162","49.4","340","75.0","16","51.6","157","47.3","2,090"
"Herefordshire, County of","40.1","1,710","80.0","5","NA","NA","100.0","1","34.5","29","40.0","1,662"
"Hertfordshire","51.7","12,874","69.0","970","43.3","545","78.2","78","50.1","800","50.4","10,275"
"Hillingdon","46.7","3,203","60.0","760","38.8","379","77.8","9","51.7","325","40.9","1,436"
"Hounslow","49.1","2,731","58.1","833","43.5","352","25.0","4","45.8","227","49.8","877"
"Inner London","45.9","26,861","54.0","5,764","37.2","8,148","74.9","183","43.8","2,619","49.4","7,648"
"Isle of Wight","33.8","1,173","100.0","1","33.3","3","NA","NA","28.6","28","34.2","1,132"
"Isles of Scilly","42.9","14","NA","NA","NA","NA","NA","NA","0.0","1","46.2","13"
"Islington","42.3","1,465","54.4","171","36.0","414","85.7","7","44.7","188","41.6","551"
"Kensington and Chelsea","55.7","867","62.2","37","45.6","169","100.0","4","59.6","109","56.0","343"
"Kent","45.6","15,833","72.6","649","64.1","423","80.3","66","51.1","701","43.2","13,742"
"Kingston upon Hull, City of","32.6","2,355","65.0","40","30.0","50","0.0","2","44.9","69","32.8","2,071"
"Kingston upon Thames","61.6","1,550","77.2","404","35.5","76","89.5","19","57.9","140","54.9","802"
"Kirklees","42.5","4,706","44.7","1,272","26.3","95","63.6","11","33.8","269","43.1","2,994"
"Knowsley","17.6","994","40.0","5","55.6","9","50.0","2","17.6","17","17.0","954"
"Lambeth","39.1","2,189","61.5","91","35.0","1,058","66.7","18","39.0","267","43.2","567"
"Lancashire","44.2","12,086","44.1","1,366","38.6","44","81.0","42","48.0","319","44.1","10,198"
"Leeds","41.6","7,621","39.6","891","33.9","466","82.9","35","36.2","398","44.0","5,503"
"Leicester","37.2","3,576","46.7","1,736","27.4","405","80.0","10","29.8","215","27.3","1,108"
"Leicestershire","43.9","7,154","63.0","583","37.2","94","63.6","22","41.8","311","42.1","6,070"
"Lewisham","37.4","2,187","57.3","131","31.3","999","61.9","21","37.1","267","42.4","623"
"Lincolnshire","42.5","7,652","83.7","135","47.7","44","80.0","10","57.4","190","41.3","7,178"
"Liverpool","36.1","4,723","74.3","144","30.7","163","70.5","44","37.8","259","34.9","3,879"
"Luton","37.6","2,594","42.8","1,163","32.8","323","100.0","2","34.4","195","32.7","838"
"Manchester","35.5","4,993","44.7","1,179","32.5","952","72.5","40","33.4","395","31.4","2,069"
"Medway","43.7","3,068","68.7","182","56.5","177","83.3","12","43.9","173","40.9","2,479"
"Merton","48.9","1,455","54.6","249","34.2","263","80.0","5","50.5","196","51.7","686"
"Middlesbrough","34.5","1,347","42.0","157","50.0","26","NA","NA","33.3","60","32.5","1,066"
"Milton Keynes","38.8","2,920","49.1","273","29.3","392","83.3","12","43.4","228","38.2","1,940"
"Newcastle upon Tyne","38.7","2,387","46.2","249","27.2","92","85.7","14","39.5","76","37.7","1,891"
"Newham","46.7","3,933","55.7","1,852","38.1","978","71.4","14","37.2","226","36.7","622"
"Norfolk","40.1","7,640","63.8","94","40.7","54","80.8","26","40.6","219","39.6","7,116"
"North East","39.6","25,455","48.1","902","36.7","218","76.7","60","45.2","471","39.3","23,358"
"North East Lincolnshire","33.7","1,606","27.3","11","0.0","2","NA","NA","35.7","28","38.4","1,314"
"North Lincolnshire","42.8","1,672","47.7","65","44.4","9","66.7","3","48.1","27","42.4","1,523"
"North Somerset","42.0","2,117","50.0","24","30.8","13","66.7","6","51.7","58","41.6","1,992"
"North Tyneside","40.9","2,007","45.5","55","21.4","14","77.8","9","52.5","40","40.6","1,869"
"North West","41.1","74,006","47.2","7,488","35.5","2,003","75.2","319","41.9","2,623","40.5","59,824"
"North Yorkshire","47.4","6,135","60.8","130","56.5","23","85.7","7","50.7","140","47.0","5,773"
"Northamptonshire","41.7","7,538","57.7","338","41.5","364","47.6","21","37.4","385","41.2","6,316"
"Northumberland","43.3","3,004","48.7","39","50.0","6","72.7","11","54.4","57","42.8","2,875"
"Nottingham","32.7","2,753","42.1","494","28.9","308","37.5","8","31.4","290","30.4","1,544"
"Nottinghamshire","45.4","7,746","61.4","202","37.8","111","82.1","28","47.0","281","45.1","6,837"
"Oldham","35.3","2,994","33.4","964","33.0","94","57.1","7","32.3","130","36.9","1,726"
"Outer London","50.6","52,840","63.7","11,060","41.8","9,205","81.7","344","49.7","4,870","48.0","23,508"
"Oxfordshire","46.0","6,153","44.9","363","36.9","149","56.3","16","46.6","352","46.6","5,100"
"Peterborough","32.1","2,330","33.5","388","32.3","62","85.7","7","22.1","145","32.6","1,667"
"Plymouth","37.6","2,546","62.5","24","46.2","13","60.0","10","52.9","68","36.4","2,371"
"Portsmouth","35.0","1,647","57.3","96","33.3","48","70.0","10","26.5","68","33.4","1,337"
"Reading","47.1","1,141","60.8","283","31.1","90","100.0","13","39.8","108","43.5","612"
"Redbridge","59.5","3,687","66.7","1,961","42.2","486","77.8","18","56.4","266","54.3","866"
"Redcar and Cleveland","40.2","1,539","52.4","21","33.3","3","NA","NA","41.7","36","39.9","1,465"
"Richmond upon Thames","55.6","1,586","48.2","112","23.8","63","83.3","6","53.8","158","59.0","1,184"
"Rochdale","34.6","2,350","35.0","605","35.4","82","100.0","4","40.8","98","33.9","1,533"
"Rotherham","38.0","3,140","39.7","290","34.0","47","83.3","6","46.2","65","37.7","2,706"
"Rutland","53.0","506","50.0","2","0.0","2","NA","NA","35.7","14","54.4","482"
"Salford","31.5","2,100","56.1","57","38.6","101","0.0","1","38.0","121","29.7","1,752"
"Sandwell","30.5","3,657","38.8","1,052","22.9","319","83.3","6","27.6","268","27.4","1,888"
"Sefton","35.9","2,935","75.0","20","36.4","11","70.0","10","37.5","56","36.1","2,745"
"Sheffield","38.8","5,224","36.0","581","32.3","316","84.2","19","36.8","334","40.1","3,754"
"Shropshire","40.9","2,925","48.0","25","0.0","5","70.0","10","38.6","70","41.0","2,768"
"Slough","57.1","1,856","64.8","957","48.8","164","100.0","2","60.7","173","41.8","459"
"Solihull","46.0","2,943","52.7","374","33.7","92","71.4","7","41.7","230","45.7","2,170"
"Somerset","39.4","4,935","63.0","46","35.7","14","66.7","6","47.1","102","39.1","4,713"
"South East","46.5","85,952","59.6","6,176","43.6","2,330","74.5","325","48.1","4,358","45.2","70,927"
"South Gloucestershire","39.4","2,575","44.7","85","35.4","48","83.3","6","34.5","113","39.5","2,290"
"South Tyneside","33.5","1,568","50.8","65","50.0","2","NA","NA","39.1","23","34.0","1,397"
"South West","42.7","51,455","52.6","1,174","30.4","741","74.3","140","45.2","1,667","42.7","46,342"
"Southampton","35.6","1,958","49.1","212","45.3","53","50.0","12","38.5","117","32.8","1,535"
"Southend-on-Sea","56.9","2,059","81.5","189","73.5","162","92.9","14","56.6","99","52.2","1,544"
"Southwark","45.5","2,509","63.9","144","42.8","1,146","71.0","31","37.4","273","49.5","666"
"St. Helens","37.6","1,757","70.0","20","16.7","12","100.0","2","39.4","33","38.1","1,642"
"Staffordshire","36.9","8,444","43.4","279","26.6","79","83.3","12","31.7","227","36.8","7,757"
"Stockport","46.3","2,657","58.3","180","30.0","30","84.6","13","46.3","134","45.2","2,240"
"Stockton-on-Tees","45.2","2,027","46.7","105","62.5","16","100.0","4","51.2","41","44.7","1,853"
"Stoke-on-Trent","35.5","2,376","38.4","370","35.6","73","85.7","7","35.8","106","34.7","1,784"
"Suffolk","39.0","6,972","55.0","109","21.7","69","88.9","9","43.1","306","38.8","6,322"
"Sunderland","37.4","2,788","54.7","95","42.1","19","75.0","4","42.1","19","36.7","2,638"
"Surrey","51.7","10,388","55.5","647","40.2","179","72.9","48","50.5","596","51.6","8,642"
"Sutton","64.3","2,796","89.8","636","57.7","234","88.5","52","68.6","229","53.7","1,556"
"Swindon","39.5","2,101","39.8","221","38.9","54","83.3","6","47.5","99","38.6","1,672"
"Tameside","39.9","2,486","46.4","263","51.7","60","87.5","8","50.5","109","38.2","2,023"
"Telford and Wrekin","40.5","1,947","53.7","134","39.3","56","80.0","10","46.4","97","38.9","1,641"
"Thurrock","38.2","1,748","61.5","91","46.6","193","44.4","9","47.1","87","34.4","1,294"
"Torbay","45.6","1,488","91.7","12","0.0","3","83.3","6","50.0","32","47.7","1,308"
"Tower Hamlets","45.8","2,808","50.1","1,962","37.6","346","73.3","15","25.7","113","36.3","270"
