"Title","Vulnerable households living in social housing","","","","","",""
"Location","England","","","","","",""
"Time period","2017/18","","","","","",""
"Data source","Ministry of Housing, Communities and Local Government","","","","","",""
"Data source link","https://www.gov.uk/government/statistics/social-housing-lettings-in-england-april-2017-to-march-2018","","","","","",""
"Source","https://www.ethnicity-facts-figures.service.gov.uk/","","","","","",""
"Last updated","-","","","","","",""
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Reasonable Preference","Value","Numerator"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Hardship","6.8","76"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Hardship","17.4","20"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Asian/Asian British: Indian","ONS 18+1","Hardship","15.5","80"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Asian/Asian British: Other","ONS 18+1","Hardship","13.9","205"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Hardship","12.9","172"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Hardship","13.0","417"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Hardship","14.8","244"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Hardship","10.6","89"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Mixed: Other","ONS 18+1","Hardship","16.3","110"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Mixed: White & Asian","ONS 18+1","Hardship","16.1","49"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Mixed: White & Black African","ONS 18+1","Hardship","13.9","61"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Hardship","14.5","166"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Other Ethnic group: Arab","ONS 18+1","Hardship","..",".."
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Other Ethnic group: Other","ONS 18+1","Hardship","14.0","73"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Hardship","14.3","8277"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Hardship","..",".."
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","White: Irish","ONS 18+1","Hardship","14.5","60"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","White: Other","ONS 18+1","Hardship","11.9","346"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Homelessness","33.1","372"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Homelessness","41.7","48"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Asian/Asian British: Indian","ONS 18+1","Homelessness","41.9","216"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Asian/Asian British: Other","ONS 18+1","Homelessness","47.1","694"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Homelessness","47.0","628"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Homelessness","45.8","1467"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Homelessness","38.9","643"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","Homelessness","38.4","322"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Mixed: Other","ONS 18+1","Homelessness","43.7","294"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Mixed: White & Asian","ONS 18+1","Homelessness","47.7","145"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Mixed: White & Black African","ONS 18+1","Homelessness","39.4","173"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","Homelessness","44.7","513"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Other Ethnic group: Arab","ONS 18+1","Homelessness","48.8","202"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Other Ethnic group: Other","ONS 18+1","Homelessness","44.8","233"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","Homelessness","36.2","20882"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","Homelessness","48.0","47"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","White: Irish","ONS 18+1","Homelessness","39.7","164"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","White: Other","ONS 18+1","Homelessness","41.5","1202"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","Insanitary/Unsatisfactory Housing","48.4","544"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Asian/Asian British: Chinese","ONS 18+1","Insanitary/Unsatisfactory Housing","26.1","30"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Asian/Asian British: Indian","ONS 18+1","Insanitary/Unsatisfactory Housing","21.5","111"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Asian/Asian British: Other","ONS 18+1","Insanitary/Unsatisfactory Housing","21.8","321"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","Insanitary/Unsatisfactory Housing","23.4","312"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","Insanitary/Unsatisfactory Housing","26.8","858"
"Percentage of new lettings by reasonable preference type","2017/18","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","Insanitary/Unsatisfactory Housing","23.9","396"
