"","All","Asian","Black","Chinese","Mixed","White","Other"
"Geography","%","%","%","%","%","%","%"
"Barking and Dagenham","75","79","81","78","77","69","67"
"Barnet","79","81","78","91","82","79","74"
"Barnsley","72","73","63","50","72","72","78"
"Bath and North East Somerset","78","94","40","67","73","78","58"
"Bedford","73","71","87","90","71","73","46"
"Bexley","81","86","86","92","81","78","85"
"Birmingham","73","75","73","81","74","71","69"
"Blackburn with Darwen","75","76","85","90","81","74","66"
"Blackpool","73","78","50","67","81","73","55"
"Bolton","73","76","62","67","83","73","64"
"Bournemouth","78","81","95","80","77","78","65"
"Bracknell Forest","78","83","79","73","83","77","77"
"Bradford","71","74","65","100","73","70","59"
"Brent","75","79","76","71","80","74","68"
"Brighton and Hove","74","68","75","79","78","75","46"
"Bristol, City of","73","71","64","86","73","75","62"
"Bromley","81","88","75","85","82","81","73"
"Buckinghamshire","79","77","78","93","80","80","77"
"Bury","73","68","74","81","70","75","62"
"Calderdale","71","69","76","100","69","72","50"
"Cambridgeshire","74","80","64","92","79","74","75"
"Camden","77","76","75","80","79","79","71"
"Central Bedfordshire","79","80","80","75","79","80","70"
"Cheshire East","77","79","81","70","80","77","71"
"Cheshire West and Chester","74","76","76","88","77","74","58"
"City of London","!","!","!","!","!","!","!"
"Cornwall","72","78","100","69","76","72","65"
"County Durham","76","80","56","73","75","77","56"
"Coventry","72","78","73","75","73","70","61"
"Croydon","77","81","79","91","77","76","68"
"Cumbria","75","80","75","73","79","75","79"
"Darlington","76","83","90","75","84","76","50"
"Derby","72","73","83","83","78","71","67"
"Derbyshire","76","81","70","86","76","76","56"
"Devon","75","81","64","83","75","75","59"
"Doncaster","72","74","74","80","75","72","61"
"Dorset","76","78","50","100","80","76","75"
"Dudley","74","73","74","70","75","75","65"
"Ealing","75","79","71","84","78","79","67"
"East Riding of Yorkshire","76","86","40","67","84","76","55"
"East Sussex","77","82","71","76","81","77","65"
"Enfield","73","81","74","79","82","69","75"
"Essex","77","83","82","80","79","76","77"
"Gateshead","78","91","86","83","80","78","54"
"Gloucestershire","75","79","73","100","80","75","59"
"Greenwich","79","85","83","93","79","74","74"
"Hackney","81","87","81","89","81","80","79"
"Halton","73","50","100","N/A","83","73","33"
"Hammersmith and Fulham","80","85","74","100","80","82","76"
"Hampshire","81","83","78","94","83","81","80"
"Haringey","77","84","81","69","83","75","67"
"Harrow","79","83","77","87","80","74","65"
"Hartlepool","75","79","100","80","72","76","63"
"Havering","77","85","79","94","76","76","74"
"Herefordshire, County of","79","75","100","100","86","79","46"
"Hertfordshire","78","83","78","92","78","78","79"
"Hillingdon","76","81","76","91","78","73","72"
"Hounslow","80","85","76","88","85","78","77"
"Isle of Wight","70","89","0","100","69","70","0"
"Isles of Scilly","!","!","!","!","!","!","!"
"Islington","76","80","70","100","75","78","71"
"Kensington and Chelsea","81","83","76","60","85","83","74"
