"","Boys","","Girls",""
"Ethnicity","Expected standard","Higher standard","Expected standard","Higher standard"
"All","71","22","80","29"
"Asian","73","22","82","28"
"Bangladeshi","72","20","81","27"
"Indian","81","29","88","37"
"Pakistani","67","16","78","22"
"Asian other","75","24","82","29"
"Black","72","20","81","28"
"Black African","74","22","82","29"
"Black Caribbean","68","15","78","24"
"Black other","70","19","79","25"
"Chinese","81","34","87","42"
"Mixed","73","24","81","31"
"Mixed White/Asian","78","31","85","37"
"Mixed White/Black African","74","24","82","31"
"Mixed White/Black Caribbean","67","16","78","25"
"Mixed other","75","26","82","32"
"White","71","23","80","29"
"White British","72","23","80","30"
"White Irish","72","30","81","35"
"Gypsy/Roma","25","2","33","4"
"Irish Traveller","24","2","37","5"
"White other","67","19","75","24"
"Other","65","16","73","21"
"Unknown","55","17","62","21"
