"Measure","Time","Ethnicity","Value","Value_type","Denominator","Numerator","CI"
"Percentage self-employed in the labour force","2011","All","13.9","%","29085200","4052200","0.5"
"Percentage self-employed in the labour force","2011","Asian","14.6","%","1645900","240900","3.5"
"Percentage self-employed in the labour force","2011","Black","8.2","%","668300","54800","6.0"
"Percentage self-employed in the labour force","2011","Indian","11.6","%","751900","86900","5.3"
"Percentage self-employed in the labour force","2011","Mixed/Multiple ethnic groups","11.8","%","239700","28300","8.4"
"Percentage self-employed in the labour force","2011","Other Asian (inc. Chinese)","12.2","%","416700","51000","7.0"
"Percentage self-employed in the labour force","2011","Other ethnic group","18.1","%","391300","70800","7.4"
"Percentage self-employed in the labour force","2011","Pakistani/ Bangladeshi","21.6","%","477200","103000","6.0"
"Percentage self-employed in the labour force","2011","White","14.0","%","26148900","3660000","0.8"
"Percentage self-employed in the labour force","2011","White British","13.8","%","23973600","3298300","0.8"
"Percentage self-employed in the labour force","2011","White Other","16.6","%","2166500","359200","2.9"
"Percentage self-employed in the labour force","2012","All","14.4","%","29322100","4215700","0.5"
"Percentage self-employed in the labour force","2012","Asian","16.0","%","1690800","270300","3.4"
"Percentage self-employed in the labour force","2012","Black","10.1","%","691200","69700","5.8"
"Percentage self-employed in the labour force","2012","Indian","13.2","%","749900","98700","5.2"
"Percentage self-employed in the labour force","2012","Mixed/Multiple ethnic groups","11.8","%","247200","29100","7.7"
"Percentage self-employed in the labour force","2012","Other Asian (inc. Chinese)","12.8","%","438900","56100","7.0"
"Percentage self-employed in the labour force","2012","Other ethnic group","17.7","%","395100","70000","7.2"
"Percentage self-employed in the labour force","2012","Pakistani/ Bangladeshi","23.0","%","502000","115500","5.9"
"Percentage self-employed in the labour force","2012","White","14.4","%","26299300","3776700","0.7"
"Percentage self-employed in the labour force","2012","White British","14.1","%","24038300","3377900","0.8"
"Percentage self-employed in the labour force","2012","White Other","17.6","%","2259600","398600","2.8"
"Percentage self-employed in the labour force","2013","All","14.5","%","29726900","4300700","0.5"
"Percentage self-employed in the labour force","2013","Asian","15.8","%","1706200","268800","3.4"
"Percentage self-employed in the labour force","2013","Black","10.0","%","708900","71100","5.9"
"Percentage self-employed in the labour force","2013","Indian","13.7","%","749700","102500","5.1"
"Percentage self-employed in the labour force","2013","Mixed/Multiple ethnic groups","11.3","%","272800","30800","7.7"
"Percentage self-employed in the labour force","2013","Other Asian (inc. Chinese)","13.2","%","425700","56300","7.1"
"Percentage self-employed in the labour force","2013","Other ethnic group","17.1","%","402200","68900","7.0"
"Percentage self-employed in the labour force","2013","Pakistani/ Bangladeshi","20.7","%","530800","110100","5.9"
"Percentage self-employed in the labour force","2013","White","14.5","%","26641700","3861500","0.7"
"Percentage self-employed in the labour force","2013","White British","14.2","%","24292400","3452400","0.8"
"Percentage self-employed in the labour force","2013","White Other","17.4","%","2344400","408800","2.7"
"Percentage self-employed in the labour force","2014","All","14.8","%","30344300","4496100","0.5"
"Percentage self-employed in the labour force","2014","Asian","15.4","%","1838600","283300","3.3"
"Percentage self-employed in the labour force","2014","Black","10.4","%","755000","78800","5.7"
"Percentage self-employed in the labour force","2014","Indian","12.2","%","804000","98300","5.0"
"Percentage self-employed in the labour force","2014","Mixed/Multiple ethnic groups","14.9","%","293100","43500","7.4"
"Percentage self-employed in the labour force","2014","Other Asian (inc. Chinese)","13.8","%","454400","62800","6.9"
"Percentage self-employed in the labour force","2014","Other ethnic group","20.2","%","424700","85700","7.0"
"Percentage self-employed in the labour force","2014","Pakistani/ Bangladeshi","21.1","%","580200","122200","5.6"
"Percentage self-employed in the labour force","2014","White","14.8","%","27036900","4005200","0.7"
"Percentage self-employed in the labour force","2014","White British","14.6","%","24504500","3583400","0.8"
"Percentage self-employed in the labour force","2014","White Other","16.7","%","2528300","421500","2.6"
"Percentage self-employed in the labour force","2015","All","14.8","%","31052800","4598100","0.5"
