"Ethnicity","%","Number"
"All","100.0","27,950"
"Asian","5.7","1,600"
"Bangladeshi","0.6","180"
"Indian","2.6","720"
"Pakistani","1.5","430"
"Chinese","0.1","40"
"Other Asian","0.8","230"
"Black","12.8","3,590"
"Black African","6.4","1,790"
"Black Caribbean","4.2","1,180"
"Other Black","2.2","620"
"Mixed","3.9","1,100"
"Mixed White and Asian","0.8","220"
"Mixed White and Black African","0.5","140"
"Mixed White and Black Caribbean","1.6","460"
"Other Mixed","1.0","290"
"White","76.6","21,420"
"White British","70.4","19,690"
"White Irish","1.3","360"
"Other White","4.9","1,370"
"Other","0.9","240"
