"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Geography","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"All - England","16.8","12.8","20.9","22.8","17.7","28.2","15.3","10.3","20.2","46.9","40.6","52.7","18.9","15.2","22.6","15.7","12.0","19.6"
"Barking and Dagenham","13.4","8.6","18.4","18.0","10.2","25.9","16.8","11.9","22.0","100.0","N/A","100.0","9.4","1.8","15.7","8.9","6.0","12.1"
"Barnet","37.3","31.9","43.2","60.9","61.8","60.0","19.5","11.9","28.0","68.2","50.0","83.3","38.4","33.2","43.8","35.3","27.9","43.2"
"Barnsley","8.9","5.6","12.3","25.0","~0","50.0","~0","~0","~0","N/A","N/A","N/A","22.9","18.8","26.3","8.6","5.4","11.8"
"Bath and North East Somerset","19.7","10.9","28.3","34.8","10.0","53.8","16.7","16.7","16.7","60.0","~0","100.0","20.2","15.6","24.5","19.8","10.9","28.5"
"Bedford","11.7","8.8","15.0","11.2","7.7","15.1","11.0","6.1","16.7","~0","~0","N/A","8.6","4.6","13.8","12.0","9.7","14.5"
"Bexley","23.3","19.8","26.7","42.7","36.1","49.6","29.8","21.3","37.2","51.5","40.0","61.1","20.1","16.0","24.0","18.8","17.7","20.0"
"Birmingham","16.7","12.8","20.7","17.3","13.5","21.2","12.5","7.3","18.1","66.7","68.2","65.0","17.1","15.9","18.4","17.0","12.9","21.3"
"Blackburn with Darwen","15.8","11.6","20.4","27.1","18.9","36.0","7.7","~0","20.0","33.3","N/A","33.3","13.3","4.8","20.8","5.5","5.1","5.9"
"Blackpool","4.0","3.3","4.7","~0","~0","~0","~0","~0","~0","~0","~0","~0","~0","~0","~0","4.2","3.5","5.0"
"Bolton","14.6","9.6","20.0","23.9","12.9","35.8","21.2","19.2","23.3","60.0","N/A","60.0","12.8","11.1","14.5","11.3","7.8","15.0"
"Bournemouth","23.2","20.0","26.5","39.0","30.4","50.0","14.3","~0","25.0","57.1","50.0","62.5","16.2","14.6","18.2","23.0","20.0","25.9"
"Bracknell Forest","16.2","12.2","20.3","23.7","22.6","25.0","14.3","11.1","16.7","~0","N/A","~0","19.5","16.7","23.5","15.7","11.2","20.1"
"Bradford","12.6","9.5","15.8","14.1","10.6","17.5","12.5","13.7","11.3","33.3","100.0","~0","8.2","6.2","10.5","11.5","8.6","14.6"
"Brent","27.6","23.2","32.4","34.3","27.2","42.2","18.1","12.7","23.1","33.3","33.3","N/A","24.2","14.4","35.8","22.7","19.0","27.0"
"Brighton and Hove","17.2","15.1","19.4","19.3","17.9","20.7","13.8","11.5","15.6","38.5","33.3","42.9","19.9","16.5","23.4","16.7","14.7","18.9"
"Bristol, City of","13.4","9.1","17.4","16.5","11.3","21.9","7.0","3.5","10.3","23.1","~0","33.3","12.9","9.8","16.0","14.1","9.6","18.3"
"Bromley","27.3","21.2","33.4","56.0","60.0","52.7","25.8","13.5","35.3","60.6","53.8","65.0","24.9","23.0","26.6","26.2","20.0","32.7"
"Buckinghamshire","26.4","21.5","31.7","25.1","18.6","32.0","26.2","17.6","34.4","44.4","42.9","45.5","28.4","27.4","29.6","26.5","22.0","31.3"
"Bury","16.7","14.2","19.4","19.2","14.4","24.0","8.7","10.3","5.9","37.5","50.0","25.0","12.4","13.2","11.4","16.4","13.6","19.3"
"Calderdale","16.5","13.7","19.2","15.6","12.5","19.0","11.5","9.1","13.3","50.0","66.7","~0","21.9","22.5","21.2","16.4","13.4","19.4"
"Cambridgeshire","19.8","16.1","23.7","27.4","23.0","31.3","13.1","12.9","13.3","58.3","66.7","50.0","27.3","24.6","30.3","19.1","15.2","23.3"
"Camden","19.8","12.8","24.9","13.5","8.4","18.2","12.8","9.0","15.5","27.3","20.0","33.3","18.8","13.2","22.1","27.7","18.0","34.6"
"Central Bedfordshire","11.8","9.7","14.0","10.0","3.8","16.7","10.7","13.0","9.1","44.4","~0","80.0","7.9","7.4","8.3","11.9","9.9","13.9"
"Cheshire East","15.9","10.5","21.4","16.4","9.7","23.3","16.7","~0","33.3","37.5","25.0","50.0","12.9","12.0","14.3","15.8","10.4","21.4"
"Cheshire West and Chester","17.4","12.7","22.3","26.7","21.1","36.4","8.3","~0","16.7","30.0","16.7","50.0","22.0","10.3","33.3","17.1","12.8","21.8"
"City of London","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cornwall","11.9","8.3","15.6","12.5","11.1","14.3","20.0","~0","33.3","~0","~0","~0","19.5","15.6","24.3","11.7","8.1","15.4"
"County Durham","13.2","10.6","15.9","15.6","13.0","22.2","18.2","12.5","33.3","66.7","75.0","50.0","12.2","14.3","10.7","13.2","10.5","16.0"
