"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Type of School","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils"
"All state-funded schools","16.7","523,626","22.6","55,737","15.1","28,949","46.4","1,875","18.8","24,646","15.7","396,680"
"All state-funded mainstream schools","17.0","513,356","22.9","55,026","15.4","28,333","47.0","1,853","19.2","24,142","16.0","388,496"
"Academies and free schools","17.8","360,345","25.3","36,343","16.5","18,236","50.3","1,391","20.2","17,034","16.6","277,452"
"Converter academies","21.1","258,093","29.3","25,479","19.6","10,735","54.2","1,105","23.8","11,828","19.7","202,901"
"Free schools","23.9","6,037","35.9","1,291","23.0","588","46.2","26","24.1","428","19.4","3,400"
"Sponsored academies","8.9","92,197","13.7","9,231","11.4","6,670","34.4","256","11.6","4,549","7.6","68,219"
"Further education colleges with provision for 14- to 16-year-olds","0.3","1,209","0.0","5","0.0","4","N/A","0","0.0","8","0.0","29"
"Local authority maintained mainstream schools","15.2","151,242","18.2","18,640","13.5","10,056","37.0","459","16.7","7,051","14.6","110,587"
"State-funded special schools","0.0","10,270","0.0","711","0.0","616","0.0","22","0.0","504","0.0","8,184"
"Studio schools","2.2","1,061","3.9","76","2.9","34","0.0","1","0.0","51","2.0","818"
"University technical colleges","1.3","2,957","1.9","266","0.5","209","0.0","3","2.2","178","1.1","2,114"
