"Ethnicity","Religious character","All","Boys","Girls"
"All","All state-funded mainstream schools","17.0","13.1","21.0"
"All","Church of England schools","17.9","14.8","21.0"
"All","Hindu schools","33.6","35.1","32.0"
"All","Jewish schools","36.1","35.0","37.0"
"All","Muslim schools","40.3","30.3","44.1"
"All","No religious character","16.5","12.6","20.5"
"All","Other Christian faith schools","22.9","20.7","25.4"
"All","Roman Catholic schools","19.2","14.4","23.7"
"All","Sikh schools","35.4","30.7","40.2"
"Asian","All state-funded mainstream schools","22.9","17.8","28.3"
"Asian","Church of England schools","26.0","23.3","29.3"
"Asian","Hindu schools","35.1","37.7","31.8"
"Asian","Jewish schools","45.7","40.9","50.0"
"Asian","Muslim schools","41.5","31.1","45.4"
"Asian","No religious character","22.0","17.0","27.2"
"Asian","Other Christian faith schools","42.8","37.0","50.3"
"Asian","Roman Catholic schools","22.5","16.0","29.7"
"Asian","Sikh schools","34.6","30.6","38.8"
"Black","All state-funded mainstream schools","15.4","10.5","20.2"
"Black","Church of England schools","14.9","9.8","19.3"
"Black","Hindu schools","0.0","N/A","0.0"
"Black","Jewish schools","20.7","12.5","30.8"
"Black","Muslim schools","34.3","33.3","34.7"
"Black","No religious character","14.8","10.4","19.2"
"Black","Other Christian faith schools","15.3","11.1","21.2"
"Black","Roman Catholic schools","17.8","10.6","23.6"
"Black","Sikh schools","25.0","N/A","25.0"
"Chinese","All state-funded mainstream schools","47.0","40.7","52.7"
"Chinese","Church of England schools","52.9","52.3","53.5"
"Chinese","Hindu schools","N/A","N/A","N/A"
"Chinese","Jewish schools","0.0","0.0","N/A"
"Chinese","Muslim schools","N/A","N/A","N/A"
"Chinese","No religious character","46.5","38.4","53.6"
"Chinese","Other Christian faith schools","58.0","63.6","48.0"
"Chinese","Roman Catholic schools","41.4","39.7","43.1"
"Chinese","Sikh schools","0.0","0.0","N/A"
"Mixed","All state-funded mainstream schools","19.2","15.6","22.8"
"Mixed","Church of England schools","19.4","18.4","20.2"
"Mixed","Hindu schools","40.0","0.0","100.0"
"Mixed","Jewish schools","22.2","25.0","20.0"
"Mixed","Muslim schools","22.2","0.0","40.0"
"Mixed","No religious character","18.8","14.9","22.7"
"Mixed","Other Christian faith schools","33.2","33.5","32.8"
"Mixed","Roman Catholic schools","19.5","15.2","23.2"
"Mixed","Sikh schools","31.6","25.0","36.4"
"White","All state-funded mainstream schools","16.0","12.3","19.8"
"White","Church of England schools","17.0","13.8","20.2"
"White","Hindu schools","0.0","0.0","0.0"
"White","Jewish schools","33.5","30.9","35.3"
"White","Muslim schools","100.0","N/A","100.0"
"White","No religious character","15.5","11.8","19.3"
"White","Other Christian faith schools","20.2","18.2","22.3"
"White","Roman Catholic schools","18.7","14.5","22.8"
"White","Sikh schools","50.0","0.0","100.0"
