"Ethnicity","SEN","All","Boys","Girls"
"All","All SEN","3.1","2.3","4.5"
"All","No identified SEN","19.0","15.0","22.7"
"All","SEN Support","3.9","2.9","5.4"
"All","SEN with a statement or EHC plan","1.0","0.9","1.1"
"Asian","All SEN","4.1","3.2","5.4"
"Asian","No identified SEN","24.7","19.4","29.9"
"Asian","SEN Support","4.9","3.8","6.5"
"Asian","SEN with a statement or EHC plan","1.8","1.8","1.7"
"Black","All SEN","2.0","1.3","3.1"
"Black","No identified SEN","17.3","12.2","21.9"
"Black","SEN Support","2.4","1.6","3.5"
"Black","SEN with a statement or EHC plan","0.8","0.7","1.1"
"Chinese","All SEN","10.5","10.1","11.4"
"Chinese","No identified SEN","49.1","43.2","54.3"
"Chinese","SEN Support","15.1","15.4","14.7"
"Chinese","SEN with a statement or EHC plan","2.1","2.7","0.0"
"Mixed","All SEN","4.1","3.5","5.2"
"Mixed","No identified SEN","21.2","17.6","24.6"
"Mixed","SEN Support","5.1","4.3","6.2"
"Mixed","SEN with a statement or EHC plan","1.4","1.7","0.8"
"White","All SEN","3.0","2.2","4.5"
"White","No identified SEN","17.9","14.2","21.4"
"White","SEN Support","3.8","2.8","5.4"
"White","SEN with a statement or EHC plan","0.9","0.8","1.1"
