"Ethnicity","Police force area","Rate per 1,000"
"All","All - including BTP","12.4"
"All","Avon & Somerset","6.4"
"All","Bedfordshire","6.3"
"All","British Transport Police","N/A"
"All","Cambridgeshire","4.1"
"All","Cheshire","5.7"
"All","Cleveland","10.9"
"All","Cumbria","6.7"
"All","Derbyshire","2.1"
"All","Devon & Cornwall","4.8"
"All","Dorset","3.6"
"All","Durham","3.7"
"All","Dyfed-Powys","6.4"
"All","Essex","15.0"
"All","Gloucestershire","5.1"
"All","Greater Manchester","4.3"
"All","Gwent","7.9"
"All","Hampshire","6.7"
"All","Hertfordshire","8.5"
"All","Humberside","7.4"
"All","Kent","8.0"
"All","Lancashire","7.2"
"All","Leicestershire","6.8"
"All","Lincolnshire","4.7"
"All","London, City of","N/A"
"All","Merseyside","34.7"
"All","Metropolitan Police","38.1"
"All","Norfolk","8.6"
"All","North Wales","9.0"
"All","North Yorkshire","4.6"
"All","Northamptonshire","3.9"
"All","Northumbria","3.5"
"All","Nottinghamshire","4.4"
"All","South Wales","12.8"
"All","South Yorkshire","12.4"
"All","Staffordshire","5.1"
"All","Suffolk","7.2"
"All","Surrey","6.5"
"All","Sussex","5.4"
"All","Thames Valley","8.3"
"All","Warwickshire","4.4"
"All","West Mercia","4.8"
"All","West Midlands","8.6"
"All","West Yorkshire","9.1"
"All","Wiltshire","3.3"
"Asian","All - including BTP","17.8"
"Asian","Avon & Somerset","7.4"
"Asian","Bedfordshire","9.5"
"Asian","British Transport Police","N/A"
"Asian","Cambridgeshire","6.6"
"Asian","Cheshire","2.4"
"Asian","Cleveland","11.7"
"Asian","Cumbria","15.5"
"Asian","Derbyshire","5.1"
"Asian","Devon & Cornwall","3.4"
"Asian","Dorset","4.4"
"Asian","Durham","3.4"
"Asian","Dyfed-Powys","7.4"
"Asian","Essex","20.1"
"Asian","Gloucestershire","5.5"
"Asian","Greater Manchester","5.0"
"Asian","Gwent","19.4"
"Asian","Hampshire","7.0"
"Asian","Hertfordshire","10.3"
"Asian","Humberside","10.4"
"Asian","Kent","8.1"
"Asian","Lancashire","10.7"
"Asian","Leicestershire","4.2"
"Asian","Lincolnshire","10.4"
"Asian","London, City of","N/A"
"Asian","Merseyside","16.1"
"Asian","Metropolitan Police","29.4"
"Asian","Norfolk","7.8"
"Asian","North Wales","5.8"
"Asian","North Yorkshire","13.7"
"Asian","Northamptonshire","6.3"
"Asian","Northumbria","7.1"
"Asian","Nottinghamshire","5.9"
"Asian","South Wales","18.7"
"Asian","South Yorkshire","22.2"
"Asian","Staffordshire","12.1"
"Asian","Suffolk","5.1"
"Asian","Surrey","7.4"
"Asian","Sussex","5.7"
"Asian","Thames Valley","11.5"
"Asian","Warwickshire","8.2"
"Asian","West Mercia","19.7"
"Asian","West Midlands","13.7"
"Asian","West Yorkshire","18.6"
"Asian","Wiltshire","3.9"
"Black","All - including BTP","52.6"
"Black","Avon & Somerset","27.8"
"Black","Bedfordshire","11.9"
"Black","British Transport Police","N/A"
"Black","Cambridgeshire","18.9"
"Black","Cheshire","38.6"
"Black","Cleveland","26.3"
"Black","Cumbria","29.4"
"Black","Derbyshire","13.8"
"Black","Devon & Cornwall","39.0"
"Black","Dorset","55.5"
"Black","Durham","8.5"
"Black","Dyfed-Powys","26.9"
"Black","Essex","54.1"
"Black","Gloucestershire","28.7"
"Black","Greater Manchester","12.4"
"Black","Gwent","45.8"
"Black","Hampshire","45.7"
"Black","Hertfordshire","26.8"
"Black","Humberside","36.7"
"Black","Kent","39.6"
"Black","Lancashire","22.9"
"Black","Leicestershire","19.9"
"Black","Lincolnshire","41.8"
"Black","London, City of","N/A"
"Black","Merseyside","61.0"
"Black","Metropolitan Police","69.5"
"Black","Norfolk","51.9"
"Black","North Wales","20.0"
"Black","North Yorkshire","12.4"
"Black","Northamptonshire","13.8"
"Black","Northumbria","11.1"
"Black","Nottinghamshire","14.0"
"Black","South Wales","64.1"
"Black","South Yorkshire","29.0"
"Black","Staffordshire","30.1"
"Black","Suffolk","43.2"
"Black","Surrey","35.2"
"Black","Sussex","47.8"
"Black","Thames Valley","20.9"
"Black","Warwickshire","42.1"
"Black","West Mercia","52.9"
"Black","West Midlands","20.3"
"Black","West Yorkshire","19.0"
"Black","Wiltshire","18.6"
"Mixed","All - including BTP","17.5"
"Mixed","Avon & Somerset","9.4"
"Mixed","Bedfordshire","7.1"
"Mixed","British Transport Police","N/A"
"Mixed","Cambridgeshire","6.9"
"Mixed","Cheshire","6.2"
"Mixed","Cleveland","13.9"
"Mixed","Cumbria","7.2"
"Mixed","Derbyshire","5.6"
"Mixed","Devon & Cornwall","6.7"
"Mixed","Dorset","9.9"
"Mixed","Durham","3.1"
"Mixed","Dyfed-Powys","10.7"
"Mixed","Essex","24.4"
"Mixed","Gloucestershire","15.9"
"Mixed","Greater Manchester","4.4"
"Mixed","Gwent","21.1"
"Mixed","Hampshire","13.8"
"Mixed","Hertfordshire","13.9"
"Mixed","Humberside","12.3"
"Mixed","Kent","15.4"
"Mixed","Lancashire","6.8"
"Mixed","Leicestershire","6.4"
"Mixed","Lincolnshire","10.2"
"Mixed","London, City of","N/A"
"Mixed","Merseyside","29.2"
"Mixed","Metropolitan Police","26.3"
"Mixed","Norfolk","13.7"
"Mixed","North Wales","7.3"
"Mixed","North Yorkshire","10.5"
"Mixed","Northamptonshire","7.3"
"Mixed","Northumbria","3.1"
"Mixed","Nottinghamshire","6.6"
"Mixed","South Wales","21.7"
"Mixed","South Yorkshire","13.8"
"Mixed","Staffordshire","12.6"
"Mixed","Suffolk","15.0"
"Mixed","Surrey","9.1"
"Mixed","Sussex","6.4"
"Mixed","Thames Valley","14.4"
"Mixed","Warwickshire","12.3"
"Mixed","West Mercia","11.0"
"Mixed","West Midlands","18.8"
"Mixed","West Yorkshire","15.7"
"Mixed","Wiltshire","4.6"
"White","All - including BTP","7.5"
"White","Avon & Somerset","4.1"
"White","Bedfordshire","3.6"
"White","British Transport Police","N/A"
"White","Cambridgeshire","2.7"
"White","Cheshire","4.6"
"White","Cleveland","8.8"
"White","Cumbria","6.0"
"White","Derbyshire","1.5"
"White","Devon & Cornwall","3.5"
"White","Dorset","2.8"
"White","Durham","3.6"
"White","Dyfed-Powys","5.9"
"White","Essex","11.2"
"White","Gloucestershire","4.3"
"White","Greater Manchester","2.3"
"White","Gwent","6.2"
"White","Hampshire","5.3"
"White","Hertfordshire","5.9"
"White","Humberside","6.1"
"White","Kent","6.2"
"White","Lancashire","5.0"
"White","Leicestershire","4.1"
"White","Lincolnshire","3.9"
"White","London, City of","N/A"
"White","Merseyside","30.5"
"White","Metropolitan Police","20.4"
"White","Norfolk","7.2"
"White","North Wales","8.3"
"White","North Yorkshire","3.9"
"White","Northamptonshire","2.9"
"White","Northumbria","3.3"
"White","Nottinghamshire","2.9"
"White","South Wales","10.5"
"White","South Yorkshire","9.3"
"White","Staffordshire","4.0"
"White","Suffolk","5.5"
"White","Surrey","5.1"
"White","Sussex","4.3"
"White","Thames Valley","5.0"
"White","Warwickshire","3.2"
"White","West Mercia","3.8"
"White","West Midlands","5.2"
"White","West Yorkshire","5.7"
"White","Wiltshire","2.7"
"Other","All - including BTP","20.4"
"Other","Avon & Somerset","9.8"
"Other","Bedfordshire","8.5"
"Other","British Transport Police","N/A"
"Other","Cambridgeshire","11.5"
"Other","Cheshire","16.9"
"Other","Cleveland","24.1"
"Other","Cumbria","13.3"
"Other","Derbyshire","4.2"
"Other","Devon & Cornwall","7.2"
"Other","Dorset","12.7"
"Other","Durham","6.5"
"Other","Dyfed-Powys","0.0"
"Other","Essex","19.9"
"Other","Gloucestershire","14.6"
"Other","Greater Manchester","4.6"
"Other","Gwent","25.1"
"Other","Hampshire","17.7"
"Other","Hertfordshire","20.9"
