"","All","Asian","Black","Mixed","White","Other"
"Police force area","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000"
"All - including BTP","12.4","17.8","52.6","17.5","7.5","20.4"
"Avon & Somerset","6.4","7.4","27.8","9.4","4.1","9.8"
"Bedfordshire","6.3","9.5","11.9","7.1","3.6","8.5"
"British Transport Police","N/A","N/A","N/A","N/A","N/A","N/A"
"Cambridgeshire","4.1","6.6","18.9","6.9","2.7","11.5"
"Cheshire","5.7","2.4","38.6","6.2","4.6","16.9"
"Cleveland","10.9","11.7","26.3","13.9","8.8","24.1"
"Cumbria","6.7","15.5","29.4","7.2","6.0","13.3"
"Derbyshire","2.1","5.1","13.8","5.6","1.5","4.2"
"Devon & Cornwall","4.8","3.4","39.0","6.7","3.5","7.2"
"Dorset","3.6","4.4","55.5","9.9","2.8","12.7"
"Durham","3.7","3.4","8.5","3.1","3.6","6.5"
"Dyfed-Powys","6.4","7.4","26.9","10.7","5.9","0.0"
"Essex","15.0","20.1","54.1","24.4","11.2","19.9"
"Gloucestershire","5.1","5.5","28.7","15.9","4.3","14.6"
"Greater Manchester","4.3","5.0","12.4","4.4","2.3","4.6"
"Gwent","7.9","19.4","45.8","21.1","6.2","25.1"
"Hampshire","6.7","7.0","45.7","13.8","5.3","17.7"
"Hertfordshire","8.5","10.3","26.8","13.9","5.9","20.9"
"Humberside","7.4","10.4","36.7","12.3","6.1","6.2"
"Kent","8.0","8.1","39.6","15.4","6.2","12.5"
"Lancashire","7.2","10.7","22.9","6.8","5.0","4.4"
"Leicestershire","6.8","4.2","19.9","6.4","4.1","4.4"
"Lincolnshire","4.7","10.4","41.8","10.2","3.9","26.3"
"London, City of","N/A","N/A","N/A","N/A","N/A","N/A"
"Merseyside","34.7","16.1","61.0","29.2","30.5","29.9"
"Metropolitan Police","38.1","29.4","69.5","26.3","20.4","30.5"
"Norfolk","8.6","7.8","51.9","13.7","7.2","25.7"
"North Wales","9.0","5.8","20.0","7.3","8.3","8.8"
"North Yorkshire","4.6","13.7","12.4","10.5","3.9","9.3"
"Northamptonshire","3.9","6.3","13.8","7.3","2.9","7.3"
"Northumbria","3.5","7.1","11.1","3.1","3.3","1.3"
"Nottinghamshire","4.4","5.9","14.0","6.6","2.9","5.4"
"South Wales","12.8","18.7","64.1","21.7","10.5","29.2"
"South Yorkshire","12.4","22.2","29.0","13.8","9.3","10.3"
"Staffordshire","5.1","12.1","30.1","12.6","4.0","18.7"
"Suffolk","7.2","5.1","43.2","15.0","5.5","25.5"
"Surrey","6.5","7.4","35.2","9.1","5.1","6.7"
"Sussex","5.4","5.7","47.8","6.4","4.3","10.2"
"Thames Valley","8.3","11.5","20.9","14.4","5.0","7.2"
"Warwickshire","4.4","8.2","42.1","12.3","3.2","7.8"
"West Mercia","4.8","19.7","52.9","11.0","3.8","13.7"
"West Midlands","8.6","13.7","20.3","18.8","5.2","0.6"
"West Yorkshire","9.1","18.6","19.0","15.7","5.7","7.6"
"Wiltshire","3.3","3.9","18.6","4.6","2.7","1.6"
