"Measure","Ethnicity","Ethnicity_Type","Time","Time_type","Geography"," Count ","Value","Value_type"
"Percentage of looked after children","All","ONS 18+1","2015","at any time during the year ending 31 March","England","99,410","100","%"
"Percentage of looked after children","Any other","ONS 18+1","2015","at any time during the year ending 31 March","England","2,460","2","%"
"Percentage of looked after children","Asian","ONS 18+1","2015","at any time during the year ending 31 March","England","4,240","4","%"
"Percentage of looked after children","Asian other","ONS 18+1","2015","at any time during the year ending 31 March","England","1,670","2","%"
"Percentage of looked after children","Bangladeshi","ONS 18+1","2015","at any time during the year ending 31 March","England","730","1","%"
"Percentage of looked after children","Black","ONS 18+1","2015","at any time during the year ending 31 March","England","7,810","8","%"
"Percentage of looked after children","Black African","ONS 18+1","2015","at any time during the year ending 31 March","England","4,200","4","%"
"Percentage of looked after children","Black Caribbean","ONS 18+1","2015","at any time during the year ending 31 March","England","2,220","2","%"
"Percentage of looked after children","Black other","ONS 18+1","2015","at any time during the year ending 31 March","England","1,390","1","%"
"Percentage of looked after children","Chinese","ONS 18+1","2015","at any time during the year ending 31 March","England","120","~0","%"
"Percentage of looked after children","Gypsy/Roma","ONS 18+1","2015","at any time during the year ending 31 March","England","390","~0","%"
"Percentage of looked after children","Indian","ONS 18+1","2015","at any time during the year ending 31 March","England","470","~0","%"
"Percentage of looked after children","Irish Traveller","ONS 18+1","2015","at any time during the year ending 31 March","England","140","~0","%"
"Percentage of looked after children","Mixed","ONS 18+1","2015","at any time during the year ending 31 March","England","9,140","9","%"
"Percentage of looked after children","Mixed other","ONS 18+1","2015","at any time during the year ending 31 March","England","3,070","3","%"
"Percentage of looked after children","Other","ONS 18+1","2015","at any time during the year ending 31 March","England","2,580","3","%"
"Percentage of looked after children","Pakistani","ONS 18+1","2015","at any time during the year ending 31 March","England","1,370","1","%"
"Percentage of looked after children","Unknown","ONS 18+1","2015","at any time during the year ending 31 March","England","670","1","%"
"Percentage of looked after children","White","ONS 18+1","2015","at any time during the year ending 31 March","England","74,980","75","%"
"Percentage of looked after children","White British","ONS 18+1","2015","at any time during the year ending 31 March","England","70,000","70","%"
"Percentage of looked after children","White Irish","ONS 18+1","2015","at any time during the year ending 31 March","England","410","~0","%"
"Percentage of looked after children","White other","ONS 18+1","2015","at any time during the year ending 31 March","England","4,040","4","%"
"Percentage of looked after children","White/Asian","ONS 18+1","2015","at any time during the year ending 31 March","England","1,690","2","%"
"Percentage of looked after children","White/Black African","ONS 18+1","2015","at any time during the year ending 31 March","England","1,000","1","%"
"Percentage of looked after children","White/Black Caribbean","ONS 18+1","2015","at any time during the year ending 31 March","England","3,370","3","%"
"Percentage of looked after children who were adopted","All","ONS 5+1","2015","at any time during the year ending 31 March","England","5,360","100","%"
"Percentage of looked after children who were adopted","Asian","ONS 5+1","2015","at any time during the year ending 31 March","England","90","2","%"
"Percentage of looked after children who were adopted","Black","ONS 5+1","2015","at any time during the year ending 31 March","England","120","2","%"
"Percentage of looked after children who were adopted","Mixed","ONS 5+1","2015","at any time during the year ending 31 March","England","580","11","%"
"Percentage of looked after children who were adopted","Other","ONS 5+1","2015","at any time during the year ending 31 March","England","50","1","%"
"Percentage of looked after children who were adopted","Unknown","ONS 5+1","2015","at any time during the year ending 31 March","England","100","2","%"
"Percentage of looked after children who were adopted","White","ONS 5+1","2015","at any time during the year ending 31 March","England","4,430","83","%"
"Percentage of looked after children who were adopted","All","ONS 5+1","2016","at any time during the year ending 31 March","England","4,710","100","%"
"Percentage of looked after children who were adopted","Asian","ONS 5+1","2016","at any time during the year ending 31 March","England","90","2","%"
"Percentage of looked after children who were adopted","Black","ONS 5+1","2016","at any time during the year ending 31 March","England","120","2","%"
"Percentage of looked after children who were adopted","Mixed","ONS 5+1","2016","at any time during the year ending 31 March","England","500","11","%"
"Percentage of looked after children who were adopted","Other","ONS 5+1","2016","at any time during the year ending 31 March","England","40","1","%"
"Percentage of looked after children who were adopted","Unknown","ONS 5+1","2016","at any time during the year ending 31 March","England","70","2","%"
"Percentage of looked after children who were adopted","White","ONS 5+1","2016","at any time during the year ending 31 March","England","3,890","83","%"
"Percentage of looked after children who were adopted","All","ONS 5+1","2017","at any time during the year ending 31 March","England","4,370","100","%"
"Percentage of looked after children who were adopted","Asian","ONS 5+1","2017","at any time during the year ending 31 March","England","60","1","%"
"Percentage of looked after children who were adopted","Black","ONS 5+1","2017","at any time during the year ending 31 March","England","90","2","%"
"Percentage of looked after children who were adopted","Mixed","ONS 5+1","2017","at any time during the year ending 31 March","England","460","11","%"
"Percentage of looked after children who were adopted","Other","ONS 5+1","2017","at any time during the year ending 31 March","England","40","1","%"
"Percentage of looked after children who were adopted","Unknown","ONS 5+1","2017","at any time during the year ending 31 March","England","60","1","%"
"Percentage of looked after children who were adopted","White","ONS 5+1","2017","at any time during the year ending 31 March","England","3,660","84","%"
"Percentage of looked after children who were adopted","All","ONS 5+1","2018","at any time during the year ending 31 March","England","3,850","100","%"
"Percentage of looked after children who were adopted","Asian","ONS 5+1","2018","at any time during the year ending 31 March","England","50","1","%"
"Percentage of looked after children who were adopted","Black","ONS 5+1","2018","at any time during the year ending 31 March","England","70","2","%"
"Percentage of looked after children who were adopted","Mixed","ONS 5+1","2018","at any time during the year ending 31 March","England","380","10","%"
"Percentage of looked after children who were adopted","Other","ONS 5+1","2018","at any time during the year ending 31 March","England","50","1","%"
"Percentage of looked after children who were adopted","Unknown","ONS 5+1","2018","at any time during the year ending 31 March","England","80","2","%"
"Percentage of looked after children who were adopted","White","ONS 5+1","2018","at any time during the year ending 31 March","England","3,230","84","%"
"Percentage of looked after children who were adopted","All","ONS 5+1","2019","at any time during the year ending 31 March","England","3,570","100","%"
"Percentage of looked after children who were adopted","Asian","ONS 5+1","2019","at any time during the year ending 31 March","England","50","1","%"
"Percentage of looked after children who were adopted","Black","ONS 5+1","2019","at any time during the year ending 31 March","England","60","2","%"
"Percentage of looked after children who were adopted","Mixed","ONS 5+1","2019","at any time during the year ending 31 March","England","390","11","%"
"Percentage of looked after children who were adopted","Other","ONS 5+1","2019","at any time during the year ending 31 March","England","40","1","%"
"Percentage of looked after children who were adopted","Unknown","ONS 5+1","2019","at any time during the year ending 31 March","England","70","2","%"
"Percentage of looked after children who were adopted","White","ONS 5+1","2019","at any time during the year ending 31 March","England","2,960","83","%"
"Percentage of looked after children","All","ONS 18+1","2016","at any time during the year ending 31 March","England","100,920","100","%"
"Percentage of looked after children","Any other","ONS 18+1","2016","at any time during the year ending 31 March","England","3,290","3","%"
