"Year","Ethnicity","%","Number"
"2015","All","100","5,360"
"2015","Asian","2","90"
"2015","Black","2","120"
"2015","Mixed","11","580"
"2015","White","83","4,430"
"2015","Other inc Chinese","1","50"
"2015","Unknown","2","100"
"2016","All","100","4,710"
"2016","Asian","2","90"
"2016","Black","2","120"
"2016","Mixed","11","500"
"2016","White","83","3,890"
"2016","Other inc Chinese","1","40"
"2016","Unknown","2","70"
"2017","All","100","4,370"
"2017","Asian","1","60"
"2017","Black","2","90"
"2017","Mixed","11","460"
"2017","White","84","3,660"
"2017","Other inc Chinese","1","40"
"2017","Unknown","1","60"
"2018","All","100","3,850"
"2018","Asian","1","50"
"2018","Black","2","70"
"2018","Mixed","10","380"
"2018","White","84","3,230"
"2018","Other inc Chinese","1","50"
"2018","Unknown","2","80"
"2019","All","100","3,570"
"2019","Asian","1","50"
"2019","Black","2","60"
"2019","Mixed","11","390"
"2019","White","83","2,960"
"2019","Other inc Chinese","1","40"
"2019","Unknown","2","70"
