"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Age Bracket","Value","Value_type","Unweighted respondents","Lower CI","Upper CI"
"Health related quality of life for older people -average status score","2012/13","Financial year","English/Welsh/Scottish/Northern Irish/British","ONS 2011 18+1","65+ yrs","0.729419116","average status score","269782","0.728491517","0.730346715"
"Health related quality of life for older people -average status score","2012/13","Financial year","Irish","ONS 2011 18+1","65+ yrs","0.720181383","average status score","4383","0.712275608","0.728087158"
"Health related quality of life for older people -average status score","2012/13","Financial year","Gypsy or Irish traveller","ONS 2011 18+1","65+ yrs","0.572741935","average status score","31","0.443517231","0.70196664"
"Health related quality of life for older people -average status score","2012/13","Financial year","Any other white background","ONS 2011 18+1","65+ yrs","0.71212694","average status score","6893","0.705859211","0.71839467"
"Health related quality of life for older people -average status score","2012/13","Financial year","White and Black Caribbean","ONS 2011 18+1","65+ yrs","0.704169811","average status score","159","0.666373559","0.741966063"
"Health related quality of life for older people -average status score","2012/13","Financial year","White and Black African","ONS 2011 18+1","65+ yrs","0.66744","average status score","75","0.593322427","0.741557573"
"Health related quality of life for older people -average status score","2012/13","Financial year","White and Asian","ONS 2011 18+1","65+ yrs","0.746678571","average status score","168","0.70570223","0.787654912"
"Health related quality of life for older people -average status score","2012/13","Financial year","Any other mixed/multiple ethnic background","ONS 2011 18+1","65+ yrs","0.69340625","average status score","224","0.657853731","0.728958769"
"Health related quality of life for older people -average status score","2012/13","Financial year","Indian","ONS 2011 18+1","65+ yrs","0.66187014","average status score","3781","0.652279953","0.671460328"
"Health related quality of life for older people -average status score","2012/13","Financial year","Pakistani","ONS 2011 18+1","65+ yrs","0.577379794","average status score","1356","0.559732621","0.595026966"
"Health related quality of life for older people -average status score","2012/13","Financial year","Bangladeshi","ONS 2011 18+1","65+ yrs","0.589384615","average status score","273","0.550985643","0.627783588"
"Health related quality of life for older people -average status score","2012/13","Financial year","Any other Asian background","ONS 2011 18+1","65+ yrs","0.78440038","average status score","527","0.763725173","0.805075586"
"Health related quality of life for older people -average status score","2012/13","Financial year","Caribbean","ONS 2011 18+1","65+ yrs","0.704827949","average status score","1424","0.690121976","0.719533923"
"Health related quality of life for older people -average status score","2012/13","Financial year","African","ONS 2011 18+1","65+ yrs","0.724692112","average status score","786","0.70683311","0.742551113"
"Health related quality of life for older people -average status score","2012/13","Financial year","Any other Black/African/Caribbean background","ONS 2011 18+1","65+ yrs","0.68056682","average status score","1953","0.668228971","0.69290467"
"Health related quality of life for older people -average status score","2012/13","Financial year","Chinese","ONS 2011 18+1","65+ yrs","0.705369863","average status score","511","0.68211776","0.728621966"
"Health related quality of life for older people -average status score","2012/13","Financial year","Arab","ONS 2011 18+1","65+ yrs","0.686828221","average status score","163","0.641665054","0.731991388"
"Health related quality of life for older people -average status score","2012/13","Financial year","Any other ethnic group","ONS 2011 18+1","65+ yrs","0.670735778","average status score","3463","0.66075244","0.680719117"
"Health related quality of life for older people -average status score","2012/13","Financial year","All ethnicity","ONS 2011 18+1","65+ yrs","0.725959348","average status score","298610","0.725063432","0.726855265"
"Health related quality of life for older people -average status score","2013/14","Financial year","English/Welsh/Scottish/Northern Irish/British","ONS 2011 18+1","65+ yrs","0.730061509","average status score","296677","0.729183123","0.730939895"
"Health related quality of life for older people -average status score","2013/14","Financial year","Irish","ONS 2011 18+1","65+ yrs","0.724865385","average status score","5121","0.717613688","0.732117081"
"Health related quality of life for older people -average status score","2013/14","Financial year","Gypsy or Irish traveller","ONS 2011 18+1","65+ yrs","0.542774194","average status score","40","0.433462588","0.652085799"
"Health related quality of life for older people -average status score","2013/14","Financial year","Any other white background","ONS 2011 18+1","65+ yrs","0.719775417","average status score","7564","0.713948657","0.725602178"
"Health related quality of life for older people -average status score","2013/14","Financial year","White and Black Caribbean","ONS 2011 18+1","65+ yrs","0.733394366","average status score","205","0.700935491","0.765853242"
"Health related quality of life for older people -average status score","2013/14","Financial year","White and Black African","ONS 2011 18+1","65+ yrs","0.762891892","average status score","93","0.706391255","0.819392529"
"Health related quality of life for older people -average status score","2013/14","Financial year","White and Asian","ONS 2011 18+1","65+ yrs","0.712093923","average status score","202","0.673527082","0.750660763"
"Health related quality of life for older people -average status score","2013/14","Financial year","Any other mixed/multiple ethnic background","ONS 2011 18+1","65+ yrs","0.711736842","average status score","310","0.684041525","0.739432159"
"Health related quality of life for older people -average status score","2013/14","Financial year","Indian","ONS 2011 18+1","65+ yrs","0.672519769","average status score","4198","0.663664547","0.681374992"
"Health related quality of life for older people -average status score","2013/14","Financial year","Pakistani","ONS 2011 18+1","65+ yrs","0.601757551","average status score","1417","0.585612333","0.617902769"
"Health related quality of life for older people -average status score","2013/14","Financial year","Bangladeshi","ONS 2011 18+1","65+ yrs","0.574369637","average status score","339","0.539398459","0.609340814"
"Health related quality of life for older people -average status score","2013/14","Financial year","Any other Asian background","ONS 2011 18+1","65+ yrs","0.78478424","average status score","584","0.765153143","0.804415338"
"Health related quality of life for older people -average status score","2013/14","Financial year","Caribbean","ONS 2011 18+1","65+ yrs","0.716201937","average status score","1570","0.702568458","0.729835417"
"Health related quality of life for older people -average status score","2013/14","Financial year","African","ONS 2011 18+1","65+ yrs","0.736358816","average status score","948","0.720116443","0.75260119"
"Health related quality of life for older people -average status score","2013/14","Financial year","Any other Black/African/Caribbean background","ONS 2011 18+1","65+ yrs","0.677298895","average status score","2360","0.665800204","0.688797586"
"Health related quality of life for older people -average status score","2013/14","Financial year","Chinese","ONS 2011 18+1","65+ yrs","0.675055866","average status score","726","0.654276124","0.695835608"
"Health related quality of life for older people -average status score","2013/14","Financial year","Arab","ONS 2011 18+1","65+ yrs","0.605738854","average status score","172","0.553374774","0.658102933"
"Health related quality of life for older people -average status score","2013/14","Financial year","Any other ethnic group","ONS 2011 18+1","65+ yrs","0.668892473","average status score","4831","0.660496356","0.67728859"
"Health related quality of life for older people -average status score","2013/14","Financial year","All ethnicity","ONS 2011 18+1","65+ yrs","0.726990791","average status score","330546","0.72614606","0.727835522"
"Health related quality of life for older people -average status score","2014/15","Financial year","English/Welsh/Scottish/Northern Irish/British","ONS 2011 18+1","65+ yrs","0.737591297","average status score","296447","0.736718769","0.738463825"
"Health related quality of life for older people -average status score","2014/15","Financial year","Irish","ONS 2011 18+1","65+ yrs","0.729162685","average status score","5149","0.722019427","0.736305943"
"Health related quality of life for older people -average status score","2014/15","Financial year","Gypsy or Irish traveller","ONS 2011 18+1","65+ yrs","0.540428571","average status score","35","0.384456673","0.69640047"
"Health related quality of life for older people -average status score","2014/15","Financial year","Any other white background","ONS 2011 18+1","65+ yrs","0.71873494","average status score","7490","0.712776025","0.724693855"
"Health related quality of life for older people -average status score","2014/15","Financial year","White and Black Caribbean","ONS 2011 18+1","65+ yrs","0.713022346","average status score","232","0.677947444","0.748097249"
