"Ethnicity","Geography","Rate per 1,000"
"All","All","12"
"All","Avon and Somerset","10"
"All","Bedfordshire","12"
"All","Cambridgeshire","12"
"All","Cheshire","11"
"All","Cleveland","19"
"All","Cumbria","15"
"All","Derbyshire","11"
"All","Devon and Cornwall","7"
"All","Dorset","10"
"All","Durham","14"
"All","Dyfed-Powys","8"
"All","Essex","9"
"All","Gloucestershire","8"
"All","Greater Manchester","10"
"All","Gwent","9"
"All","Hampshire","10"
"All","Hertfordshire","11"
"All","Humberside","12"
"All","Kent","15"
"All","Lancashire","N/A"
"All","Leicestershire","11"
"All","Lincolnshire","12"
"All","London, City of","N/A"
"All","Merseyside","12"
"All","Metropolitan Police","15"
"All","Norfolk","12"
"All","North Wales","18"
"All","North Yorkshire","12"
"All","Northamptonshire","12"
"All","Northumbria","14"
"All","Nottinghamshire","12"
"All","South Wales","16"
"All","South Yorkshire","10"
"All","Staffordshire","11"
"All","Suffolk","9"
"All","Surrey","8"
"All","Sussex","10"
"All","Thames Valley","14"
"All","Warwickshire","9"
"All","West Mercia","9"
"All","West Midlands","15"
"All","West Yorkshire","16"
"All","Wiltshire","10"
"Asian","All","12"
"Asian","Avon and Somerset","11"
"Asian","Bedfordshire","13"
"Asian","Cambridgeshire","14"
"Asian","Cheshire","12"
"Asian","Cleveland","18"
"Asian","Cumbria","27"
"Asian","Derbyshire","16"
"Asian","Devon and Cornwall","14"
"Asian","Dorset","11"
"Asian","Durham","17"
"Asian","Dyfed-Powys","11"
"Asian","Essex","9"
"Asian","Gloucestershire","11"
"Asian","Greater Manchester","10"
"Asian","Gwent","14"
"Asian","Hampshire","9"
"Asian","Hertfordshire","10"
"Asian","Humberside","14"
"Asian","Kent","14"
"Asian","Lancashire","N/A"
"Asian","Leicestershire","9"
"Asian","Lincolnshire","18"
"Asian","London, City of","N/A"
"Asian","Merseyside","13"
"Asian","Metropolitan Police","11"
"Asian","Norfolk","3"
"Asian","North Wales","12"
"Asian","North Yorkshire","9"
"Asian","Northamptonshire","14"
"Asian","Northumbria","11"
"Asian","Nottinghamshire","11"
"Asian","South Wales","13"
"Asian","South Yorkshire","9"
"Asian","Staffordshire","23"
"Asian","Suffolk","5"
"Asian","Surrey","10"
"Asian","Sussex","11"
"Asian","Thames Valley","16"
"Asian","Warwickshire","8"
"Asian","West Mercia","15"
"Asian","West Midlands","12"
"Asian","West Yorkshire","18"
"Asian","Wiltshire","11"
"Black","All","35"
"Black","Avon and Somerset","43"
"Black","Bedfordshire","33"
"Black","Cambridgeshire","53"
"Black","Cheshire","74"
"Black","Cleveland","50"
"Black","Cumbria","104"
"Black","Derbyshire","43"
"Black","Devon and Cornwall","63"
"Black","Dorset","108"
"Black","Durham","41"
"Black","Dyfed-Powys","51"
"Black","Essex","29"
"Black","Gloucestershire","67"
"Black","Greater Manchester","24"
"Black","Gwent","37"
"Black","Hampshire","59"
"Black","Hertfordshire","38"
"Black","Humberside","58"
"Black","Kent","60"
"Black","Lancashire","N/A"
"Black","Leicestershire","43"
"Black","Lincolnshire","72"
"Black","London, City of","N/A"
"Black","Merseyside","38"
"Black","Metropolitan Police","32"
"Black","Norfolk","26"
"Black","North Wales","89"
"Black","North Yorkshire","30"
"Black","Northamptonshire","42"
"Black","Northumbria","35"
"Black","Nottinghamshire","37"
"Black","South Wales","50"
"Black","South Yorkshire","21"
"Black","Staffordshire","58"
"Black","Suffolk","20"
"Black","Surrey","51"
"Black","Sussex","67"
"Black","Thames Valley","43"
"Black","Warwickshire","44"
"Black","West Mercia","53"
"Black","West Midlands","31"
"Black","West Yorkshire","35"
"Black","Wiltshire","55"
"Mixed","All","19"
"Mixed","Avon and Somerset","19"
"Mixed","Bedfordshire","22"
"Mixed","Cambridgeshire","21"
"Mixed","Cheshire","10"
"Mixed","Cleveland","20"
"Mixed","Cumbria","19"
"Mixed","Derbyshire","18"
"Mixed","Devon and Cornwall","8"
"Mixed","Dorset","15"
"Mixed","Durham","10"
"Mixed","Dyfed-Powys","10"
"Mixed","Essex","22"
"Mixed","Gloucestershire","23"
"Mixed","Greater Manchester","16"
"Mixed","Gwent","12"
"Mixed","Hampshire","16"
"Mixed","Hertfordshire","19"
"Mixed","Humberside","14"
"Mixed","Kent","18"
"Mixed","Lancashire","N/A"
"Mixed","Leicestershire","15"
"Mixed","Lincolnshire","23"
"Mixed","London, City of","N/A"
"Mixed","Merseyside","14"
"Mixed","Metropolitan Police","20"
"Mixed","Norfolk","4"
"Mixed","North Wales","10"
"Mixed","North Yorkshire","15"
"Mixed","Northamptonshire","20"
"Mixed","Northumbria","6"
"Mixed","Nottinghamshire","16"
"Mixed","South Wales","20"
"Mixed","South Yorkshire","7"
"Mixed","Staffordshire","30"
"Mixed","Suffolk","5"
"Mixed","Surrey","13"
"Mixed","Sussex","14"
"Mixed","Thames Valley","31"
"Mixed","Warwickshire","19"
"Mixed","West Mercia","12"
"Mixed","West Midlands","24"
"Mixed","West Yorkshire","28"
"Mixed","Wiltshire","21"
"White","All","10"
