"Ethnicity","Time","Rate per 1,000","Number of arrests"
"All","2006/07","26","1,474,843"
"All","2007/08","26","1,475,266"
"All","2008/09","26","1,462,139"
"All","2009/10","25","1,385,322"
"All","2010/11","24","1,353,740"
"All","2011/12","22","1,225,123"
"All","2012/13","19","1,068,823"
"All","2013/14","18","1,021,356"
"All","2014/15","17","941,692"
"All","2015/16","16","879,570"
"All","2016/17","14","762,419"
"Asian","2006/07","18","69,591"
"Asian","2007/08","20","74,755"
"Asian","2008/09","21","78,422"
"Asian","2009/10","20","78,124"
"Asian","2010/11","21","79,540"
"Asian","2011/12","19","72,361"
"Asian","2012/13","17","65,277"
"Asian","2013/14","17","64,304"
"Asian","2014/15","16","60,660"
"Asian","2015/16","15","59,096"
"Asian","2016/17","14","51,612"
"Black","2006/07","56","105,145"
"Black","2007/08","59","109,206"
"Black","2008/09","60","111,271"
"Black","2009/10","60","110,977"
"Black","2010/11","61","113,085"
"Black","2011/12","55","102,326"
"Black","2012/13","47","88,540"
"Black","2013/14","46","86,245"
"Black","2014/15","45","83,344"
"Black","2015/16","44","81,895"
"Black","2016/17","38","70,944"
"Mixed","2006/07","33","40,882"
"Mixed","2007/08","33","40,726"
"Mixed","2008/09","33","40,256"
"Mixed","2009/10","33","40,133"
"Mixed","2010/11","33","40,779"
"Mixed","2011/12","31","37,516"
"Mixed","2012/13","27","32,587"
"Mixed","2013/14","25","31,126"
"Mixed","2014/15","24","29,524"
"Mixed","2015/16","23","28,542"
"Mixed","2016/17","20","24,836"
"White","2006/07","24","1,133,468"
"White","2007/08","24","1,170,527"
"White","2008/09","24","1,178,536"
"White","2009/10","23","1,103,206"
"White","2010/11","22","1,075,562"
"White","2011/12","20","972,938"
"White","2012/13","18","844,957"
"White","2013/14","17","799,754"
"White","2014/15","15","730,376"
"White","2015/16","13","648,979"
"White","2016/17","11","552,620"
"Other inc Chinese","2006/07","20","19,408"
"Other inc Chinese","2007/08","22","21,103"
"Other inc Chinese","2008/09","22","20,931"
"Other inc Chinese","2009/10","21","20,249"
"Other inc Chinese","2010/11","20","19,556"
"Other inc Chinese","2011/12","18","17,289"
"Other inc Chinese","2012/13","16","15,398"
"Other inc Chinese","2013/14","15","14,712"
"Other inc Chinese","2014/15","15","13,876"
"Other inc Chinese","2015/16","15","14,249"
"Other inc Chinese","2016/17","13","12,016"
