"","All","","Asian","","Black","","Mixed","","White","","Other inc Chinese",""
"Time","Rate per 1,000","Number of arrests","Rate per 1,000","Number of arrests","Rate per 1,000","Number of arrests","Rate per 1,000","Number of arrests","Rate per 1,000","Number of arrests","Rate per 1,000","Number of arrests"
"2006/07","26","1,474,843","18","69,591","56","105,145","33","40,882","24","1,133,468","20","19,408"
"2007/08","26","1,475,266","20","74,755","59","109,206","33","40,726","24","1,170,527","22","21,103"
"2008/09","26","1,462,139","21","78,422","60","111,271","33","40,256","24","1,178,536","22","20,931"
"2009/10","25","1,385,322","20","78,124","60","110,977","33","40,133","23","1,103,206","21","20,249"
"2010/11","24","1,353,740","21","79,540","61","113,085","33","40,779","22","1,075,562","20","19,556"
"2011/12","22","1,225,123","19","72,361","55","102,326","31","37,516","20","972,938","18","17,289"
"2012/13","19","1,068,823","17","65,277","47","88,540","27","32,587","18","844,957","16","15,398"
"2013/14","18","1,021,356","17","64,304","46","86,245","25","31,126","17","799,754","15","14,712"
"2014/15","17","941,692","16","60,660","45","83,344","24","29,524","15","730,376","15","13,876"
"2015/16","16","879,570","15","59,096","44","81,895","23","28,542","13","648,979","15","14,249"
"2016/17","14","762,419","14","51,612","38","70,944","20","24,836","11","552,620","13","12,016"
