"NS SEC","Ethnicity","%","Number of respondents"
"Full-time student or unclassified","All","21","12,806"
"Full-time student or unclassified","Asian","24","1,026"
"Full-time student or unclassified","Black","23","448"
"Full-time student or unclassified","Chinese","22","155"
"Full-time student or unclassified","Mixed","17","332"
"Full-time student or unclassified","White British","18","8,721"
"Full-time student or unclassified","White other","17","679"
"Full-time student or unclassified","Other","24","201"
"Intermediate occupations and lower supervisory","All","24","42,837"
"Intermediate occupations and lower supervisory","Asian","35","1,334"
"Intermediate occupations and lower supervisory","Black","32","495"
"Intermediate occupations and lower supervisory","Chinese","43","189"
"Intermediate occupations and lower supervisory","Mixed","19","356"
"Intermediate occupations and lower supervisory","White British","23","37,095"
"Intermediate occupations and lower supervisory","White other","26","1,972"
"Intermediate occupations and lower supervisory","Other","25","232"
"Long-term unemployed","All","38","3,572"
"Long-term unemployed","Asian","43","478"
"Long-term unemployed","Black","42","151"
"Long-term unemployed","Chinese","?","?"
"Long-term unemployed","Mixed","?","?"
"Long-term unemployed","White British","35","2,416"
"Long-term unemployed","White other","33","152"
"Long-term unemployed","Other","48","89"
"Managerial and professional occupations","All","16","90,455"
"Managerial and professional occupations","Asian","26","3,468"
"Managerial and professional occupations","Black","23","1,178"
"Managerial and professional occupations","Chinese","19","526"
"Managerial and professional occupations","Mixed","14","1,042"
"Managerial and professional occupations","White British","15","75,262"
"Managerial and professional occupations","White other","17","5,519"
"Managerial and professional occupations","Other","23","626"
"Routine and manual occupations","All","31","17,677"
"Routine and manual occupations","Asian","38","748"
"Routine and manual occupations","Black","35","292"
"Routine and manual occupations","Chinese","?","?"
"Routine and manual occupations","Mixed","20","195"
"Routine and manual occupations","White British","30","14,695"
"Routine and manual occupations","White other","32","1,021"
"Routine and manual occupations","Other","41","138"
