"Ethnicity","Time","%","Participants"
"Asian","2002/03","6.1","288,230"
"Asian","2003/04","6.0","328,880"
"Asian","2004/05","6.3","349,790"
"Asian","2005/06","6.8","331,740"
"Asian","2006/07","7.1","297,530"
"Asian","2007/08","7.3","318,370"
"Asian","2008/09","7.7","373,890"
"Asian","2009/10","7.8","359,290"
"Asian","2010/11","8.2","349,980"
"Asian","2011/12","8.2","346,860"
"Asian","2012/13","7.9","340,210"
"Asian","2013/14","7.8","306,900"
"Asian","2014/15","8.1","289,230"
"Asian","2015/16","8.3","271,500"
"Asian","2016/17","8.6","271,760"
"Asian","2017/18","9.0","276,510"
"Black","2002/03","4.2","198,310"
"Black","2003/04","4.2","228,550"
"Black","2004/05","4.6","257,440"
"Black","2005/06","5.1","250,040"
"Black","2006/07","5.5","230,010"
"Black","2007/08","5.7","246,680"
"Black","2008/09","5.7","274,370"
"Black","2009/10","5.7","266,330"
"Black","2010/11","6.1","258,100"
"Black","2011/12","6.4","267,800"
"Black","2012/13","6.3","272,870"
"Black","2013/14","6.2","242,300"
"Black","2014/15","6.4","228,440"
"Black","2015/16","6.3","206,750"
"Black","2016/17","6.6","206,600"
"Black","2017/18","6.6","202,730"
"Mixed","2002/03","1.1","50,220"
"Mixed","2003/04","1.2","66,730"
"Mixed","2004/05","1.4","78,290"
"Mixed","2005/06","1.6","78,360"
"Mixed","2006/07","1.8","77,000"
"Mixed","2007/08","1.9","83,390"
"Mixed","2008/09","1.9","93,630"
"Mixed","2009/10","2.1","95,980"
"Mixed","2010/11","2.2","95,430"
"Mixed","2011/12","2.5","103,840"
"Mixed","2012/13","2.6","111,700"
"Mixed","2013/14","2.7","106,660"
"Mixed","2014/15","2.9","102,010"
"Mixed","2015/16","2.9","95,240"
"Mixed","2016/17","3.0","94,650"
"Mixed","2017/18","3.1","95,450"
"White","2002/03","79.8","3,754,600"
"White","2003/04","81.5","4,433,090"
"White","2004/05","81.4","4,529,830"
"White","2005/06","81.1","3,968,180"
"White","2006/07","80.5","3,382,000"
"White","2007/08","80.2","3,496,730"
"White","2008/09","80.1","3,873,920"
"White","2009/10","80.2","3,716,760"
"White","2010/11","79.6","3,393,000"
"White","2011/12","79.3","3,342,040"
"White","2012/13","79.2","3,420,430"
"White","2013/14","79.1","3,095,990"
"White","2014/15","78.9","2,821,900"
"White","2015/16","78.2","2,559,790"
"White","2016/17","77.7","2,448,260"
"White","2017/18","76.8","2,350,680"
"Other","2002/03","1.9","90,410"
"Other","2003/04","1.8","99,110"
"Other","2004/05","1.9","107,760"
"Other","2005/06","2.0","95,650"
"Other","2006/07","2.0","84,790"
"Other","2007/08","1.9","82,010"
"Other","2008/09","1.9","89,640"
"Other","2009/10","1.9","90,010"
"Other","2010/11","1.9","81,280"
"Other","2011/12","1.9","78,230"
"Other","2012/13","1.9","80,140"
"Other","2013/14","1.9","74,580"
"Other","2014/15","2.0","71,980"
"Other","2015/16","2.1","68,330"
"Other","2016/17","2.3","72,720"
"Other","2017/18","2.5","77,630"
"Unknown","2002/03","6.8","321,540"
"Unknown","2003/04","5.2","281,060"
"Unknown","2004/05","4.3","240,040"
"Unknown","2005/06","3.5","169,950"
"Unknown","2006/07","3.1","131,450"
"Unknown","2007/08","3.1","133,570"
"Unknown","2008/09","2.7","131,650"
"Unknown","2009/10","2.3","107,140"
"Unknown","2010/11","2.0","87,070"
"Unknown","2011/12","1.8","77,840"
"Unknown","2012/13","2.2","94,920"
"Unknown","2013/14","2.2","87,090"
"Unknown","2014/15","1.8","63,300"
"Unknown","2015/16","2.2","73,290"
"Unknown","2016/17","1.8","58,120"
"Unknown","2017/18","1.9","59,000"
