"","All","Asian","Indian","Pakistani, Bangladeshi","Other Asian","Black","Mixed","White","White British","White Irish","White Other","Other"
"Industry","%","%","%","%","%","%","%","%","%","%","%","%"
"Agriculture, forestry and fishing","0.8","0.1","!","0.2","!","0.1","0.7","0.9","1.0","1.3","0.5","!"
"Energy and water","1.8","1.0","0.9","1.0","1.2","1.5","0.8","1.9","1.9","2.2","1.4","0.8"
"Manufacturing","8.5","6.5","8.3","5.3","4.7","4.9","5.8","8.9","8.8","7.2","10.2","6.4"
"Construction","6.5","2.7","2.8","3.1","2.1","3.5","5.6","6.9","7.0","6.9","6.4","4.0"
"Distribution, hotels and restaurants","16.4","18.6","12.6","25.9","20.3","12.3","17.8","16.3","16.3","10.5","17.5","17.7"
"Transport and communication","9.7","15.3","18.9","14.4","10.2","10.3","9.9","9.1","8.7","11.5","13.8","13.9"
"Banking and finance","18.3","20.3","21.2","16.3","23.4","16.2","21.6","18.1","17.9","18.4","20.6","18.4"
"Public admin, education and health","32.2","31.9","32.3","31.3","31.9","47.2","32.8","31.7","32.3","38.2","24.4","32.7"
"Other services","5.8","3.6","2.9","2.4","6.0","4.0","4.9","6.0","6.1","3.8","5.2","6.1"
