"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","FSM","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","England","Country","E92000001","All","All","83","%","664904","550312"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","England","Country","E92000001","All","FSM","69","%","91163","62704"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","85","%","573741","487608"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","England","Country","E92000001","Boys","All","80","%","340877","273754"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","65","%","46828","30417"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","83","%","294049","243337"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","England","Country","E92000001","Girls","All","85","%","324027","276558"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","73","%","44335","32287"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","87","%","279692","244271"
"Percentage of pupils reaching the expected standard in key stage 1 science","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","All","82","%","70705","57929"
"Percentage of pupils reaching the expected standard in key stage 1 science","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","74","%","7593","5599"
"Percentage of pupils reaching the expected standard in key stage 1 science","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","83","%","63112","52330"
"Percentage of pupils reaching the expected standard in key stage 1 science","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","79","%","36135","28457"
