"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","Hartlepool","Local authority","E06000001","Girls","86","%","590","506"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","Hartlepool","Local authority","E06000001","Boys","77","%","618","477"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","Hartlepool","Local authority","E06000001","All","81","%","1208","983"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","Middlesbrough","Local authority","E06000002","Girls","79","%","1023","804"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","Middlesbrough","Local authority","E06000002","Boys","72","%","1033","743"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","Middlesbrough","Local authority","E06000002","All","75","%","2056","1547"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","Redcar and Cleveland","Local authority","E06000003","Girls","88","%","829","728"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","Redcar and Cleveland","Local authority","E06000003","Boys","81","%","876","712"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","Redcar and Cleveland","Local authority","E06000003","All","84","%","1705","1440"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","Stockton-on-Tees","Local authority","E06000004","Girls","88","%","1227","1077"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","Stockton-on-Tees","Local authority","E06000004","Boys","82","%","1356","1115"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","Stockton-on-Tees","Local authority","E06000004","All","85","%","2583","2192"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","Darlington","Local authority","E06000005","Girls","85","%","644","549"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","Darlington","Local authority","E06000005","Boys","80","%","672","539"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","Darlington","Local authority","E06000005","All","83","%","1316","1088"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","County Durham","Local authority","E06000047","Girls","86","%","2843","2451"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","County Durham","Local authority","E06000047","Boys","81","%","2991","2412"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","County Durham","Local authority","E06000047","All","83","%","5834","4863"
"Percentage of pupils reaching the expected standard in key stage 1 science","All","All","2017-18","Academic Year","Northumberland","Local authority","E06000057","Girls","90","%","1651","1484"
