"","All","Asian","Black","Mixed","White","Other inc Chinese"
"Police force area","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000","Rate per 1,000"
"All - including BTP","5","8","29","9","3","5"
"Avon & Somerset","4","3","21","7","3","1"
"Bedfordshire","2","3","6","4","2","2"
"British Transport Police","N/A","N/A","N/A","N/A","N/A","N/A"
"Cambridgeshire","1","1","6","2","1","1"
"Cheshire","2","1","13","3","2","1"
"Cleveland","2","3","5","1","1","2"
"Cumbria","3","7","21","2","3","-"
"Derbyshire","1","2","6","2","1","1"
"Devon & Cornwall","3","4","24","3","2","3"
"Dorset","3","3","44","4","3","2"
"Durham","2","3","4","2","2","1"
"Dyfed-Powys","4","4","7","4","4","1"
"Essex","2","3","13","4","1","1"
"Gloucestershire","3","4","33","8","2","3"
"Greater Manchester","1","1","3","2","1","1"
"Gwent","2","3","3","-","1","1"
"Hampshire","4","4","42","8","3","2"
"Hertfordshire","6","7","23","8","4","5"
"Humberside","1","2","5","4","1","1"
"Kent","3","5","34","8","3","9"
"Lancashire","2","3","8","3","2","1"
"Leicestershire","2","1","6","2","1","1"
"Lincolnshire","3","2","17","6","3","4"
"London, City of","N/A","N/A","N/A","N/A","N/A","N/A"
"Merseyside","7","5","18","7","7","3"
"Metropolitan Police","16","13","40","15","9","9"
"Norfolk","3","3","29","7","2","1"
"North Wales","2","2","7","3","2","2"
"North Yorkshire","2","8","11","3","2","2"
"Northamptonshire","2","3","10","5","1","4"
"Northumbria","2","4","9","2","2","0"
"Nottinghamshire","2","2","9","4","1","2"
"South Wales","5","8","29","9","4","2"
"South Yorkshire","1","3","5","2","1","0"
"Staffordshire","3","8","23","7","2","3"
"Suffolk","2","3","18","6","1","0"
"Surrey","5","6","28","8","4","2"
"Sussex","3","7","38","5","3","3"
"Thames Valley","3","4","10","6","2","2"
"Warwickshire","3","4","33","9","3","2"
"West Mercia","4","15","46","9","3","1"
"West Midlands","4","6","13","8","3","1"
"West Yorkshire","4","5","6","4","2","1"
"Wiltshire","1","2","12","3","1","0"
