"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Numerator","Denominator","Lower 95% C.I.","Upper 95% C.I."
"Key stage 2 progress in writing by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0","Numeric","16711.36","588302","0","0"
"Key stage 2 progress in writing by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","-0.8","Numeric","-227310.65","300297","-0.8","-0.7"
"Key stage 2 progress in writing by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","0.8","Numeric","244022.01","288005","0.8","0.9"
"Key stage 2 progress in writing by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0.9","Numeric","56813.13","61844","0.9","1"
"Key stage 2 progress in writing by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","0.3","Numeric","10947.16","31672","0.3","0.4"
"Key stage 2 progress in writing by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","1.5","Numeric","45865.97","30172","1.5","1.6"
"Key stage 2 progress in writing by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","1.1","Numeric","10717.46","10033","1","1.2"
"Key stage 2 progress in writing by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","0.5","Numeric","2354.02","5174","0.3","0.6"
"Key stage 2 progress in writing by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","1.7","Numeric","8363.44","4859","1.6","1.9"
"Key stage 2 progress in writing by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","1.6","Numeric","15569.33","10041","1.4","1.7"
"Key stage 2 progress in writing by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","1","Numeric","5099.46","5122","0.8","1.2"
"Key stage 2 progress in writing by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","2.1","Numeric","10469.87","4919","2","2.3"
"Key stage 2 progress in writing by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0.6","Numeric","19786.57","33833","0.5","0.6"
"Key stage 2 progress in writing by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","-0.1","Numeric","-1687.54","16948","-0.2","0"
"Key stage 2 progress in writing by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","1.3","Numeric","21474.11","16885","1.2","1.4"
"Key stage 2 progress in writing by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0.9","Numeric","19895.43","22525","0.8","1"
"Key stage 2 progress in writing by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","0.3","Numeric","3338.21","11225","0.2","0.4"
"Key stage 2 progress in writing by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","1.5","Numeric","16557.22","11300","1.4","1.6"
"Key stage 2 progress in writing by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","-0.4","Numeric","-2708.46","6964","-0.5","-0.3"
"Key stage 2 progress in writing by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","-1.3","Numeric","-4510.62","3514","-1.5","-1.1"
"Key stage 2 progress in writing by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","0.5","Numeric","1802.16","3450","0.3","0.7"
"Key stage 2 progress in writing by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","0.6","Numeric","2599.6","4344","0.4","0.8"
"Key stage 2 progress in writing by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","-0.2","Numeric","-515.13","2209","-0.5","0"
"Key stage 2 progress in writing by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","1.5","Numeric","3114.73","2135","1.2","1.7"
"Key stage 2 progress in writing by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","2","Numeric","4667.43","2282","1.8","2.3"
"Key stage 2 progress in writing by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","1.2","Numeric","1410.96","1136","0.9","1.6"
"Key stage 2 progress in writing by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","2.8","Numeric","3256.47","1146","2.5","3.2"
