"","Boys","","","Girls","",""
"Ethnicity","Expected","Higher","Progress score","Expected","Higher","Progress score"
"All","72","15","-0.8","84","25","0.8"
"Asian","77","16","0.3","86","27","1.5"
"Bangladeshi","78","16","1.0","87","27","2.1"
"Indian","83","23","0.4","90","35","1.5"
"Pakistani","72","11","0.0","82","19","1.2"
"Asian other","79","19","0.5","87","31","1.7"
"Black","72","14","-0.1","84","23","1.3"
"Black African","75","15","0.3","85","24","1.5"
"Black Caribbean","64","9","-1.3","82","18","0.5"
"Black other","69","11","-0.2","84","22","1.5"
"Chinese","85","31","1.2","93","48","2.8"
"Mixed","73","16","-0.6","86","27","1.0"
"Mixed White/Asian","79","22","-0.1","89","33","1.2"
"Mixed White/Black African","74","14","-0.4","86","26","1.2"
"Mixed White/Black Caribbean","66","10","-1.6","82","20","0.4"
"Mixed other","75","18","-0.2","87","30","1.4"
"White","72","14","-1.0","84","25","0.7"
"White British","72","15","-1.1","85","25","0.5"
"White Irish","73","19","-0.9","85","30","1.0"
"Gypsy/Roma","26","2","-1.1","38","2","0.6"
"Irish Traveller","32","2","-1.8","42","4","-0.5"
"White other","69","13","0.8","80","23","2.4"
"Other","69","14","0.8","78","21","1.9"
"Unknown","58","12","-0.9","70","20","0.9"
