"Classification of first degree","Ethnicity","% of each ethnicity","Number of students"
"1st class","Asian","22.7","7,845"
"1st class","Black","14.0","2,970"
"1st class","Mixed","26.3","3,330"
"1st class","White","30.9","76,575"
"1st class","Other","21.8","940"
"1st class","Unknown","18.4","1,030"
"Upper 2nd class","Asian","47.9","16,555"
"Upper 2nd class","Black","43.5","9,245"
"Upper 2nd class","Mixed","50.9","6,430"
"Upper 2nd class","White","50.0","124,000"
"Upper 2nd class","Other","46.1","1,990"
"Upper 2nd class","Unknown","35.3","1,970"
"Lower 2nd/3rd class/pass","Asian","29.5","10,190"
"Lower 2nd/3rd class/pass","Black","42.5","9,035"
"Lower 2nd/3rd class/pass","Mixed","22.8","2,885"
"Lower 2nd/3rd class/pass","White","19.1","47,345"
"Lower 2nd/3rd class/pass","Other","32.2","1,390"
"Lower 2nd/3rd class/pass","Unknown","46.3","2,585"
"Unclassified","Asian","N/A","2,705"
"Unclassified","Black","N/A","720"
"Unclassified","Mixed","N/A","535"
"Unclassified","White","N/A","14,490"
"Unclassified","Other","N/A","300"
"Unclassified","Unknown","N/A","570"
