"Measure","Ethnic Group","Academic year","Classification of first degree","Count","Value"
"% of ethnic group with each classification of degree","Asian","2012/13","First class honours","3905","13.5"
"% of ethnic group with each classification of degree","Asian","2012/13","Upper second class honours","13445","46.3"
"% of ethnic group with each classification of degree","Asian","2012/13","Lower second, third or passs","11680","40.2"
"% of ethnic group with each classification of degree","Asian","2012/13","Unclassified","2555","N/A"
"% of ethnic group with each classification of degree","Black","2012/13","First class honours","1335","7.5"
"% of ethnic group with each classification of degree","Black","2012/13","Upper second class honours","7005","39.3"
"% of ethnic group with each classification of degree","Black","2012/13","Lower second, third or passs","9470","53.2"
"% of ethnic group with each classification of degree","Black","2012/13","Unclassified","715","N/A"
"% of ethnic group with each classification of degree","Mixed","2012/13","First class honours","1625","16.4"
"% of ethnic group with each classification of degree","Mixed","2012/13","Upper second class honours","5035","50.7"
"% of ethnic group with each classification of degree","Mixed","2012/13","Lower second, third or passs","3260","32.9"
"% of ethnic group with each classification of degree","Mixed","2012/13","Unclassified","475","N/A"
"% of ethnic group with each classification of degree","Other","2012/13","First class honours","410","13.3"
"% of ethnic group with each classification of degree","Other","2012/13","Upper second class honours","1415","46.2"
"% of ethnic group with each classification of degree","Other","2012/13","Lower second, third or passs","1235","40.5"
"% of ethnic group with each classification of degree","Other","2012/13","Unclassified","235","N/A"
"% of ethnic group with each classification of degree","Total","2012/13","First class honours","58405","18.8"
"% of ethnic group with each classification of degree","Total","2012/13","Upper second class honours","159430","51.3"
"% of ethnic group with each classification of degree","Total","2012/13","Lower second, third or passs","92855","29.9"
"% of ethnic group with each classification of degree","Total","2012/13","Unclassified","20490","N/A"
"% of ethnic group with each classification of degree","Unknown","2012/13","First class honours","1070","14.4"
"% of ethnic group with each classification of degree","Unknown","2012/13","Upper second class honours","2785","37.5"
"% of ethnic group with each classification of degree","Unknown","2012/13","Lower second, third or passs","3565","48"
"% of ethnic group with each classification of degree","Unknown","2012/13","Unclassified","1245","N/A"
"% of ethnic group with each classification of degree","White","2012/13","First class honours","51130","20.4"
"% of ethnic group with each classification of degree","White","2012/13","Upper second class honours","132535","52.8"
"% of ethnic group with each classification of degree","White","2012/13","Lower second, third or passs","67205","26.8"
"% of ethnic group with each classification of degree","White","2012/13","Unclassified","16505","N/A"
"% of ethnic group with each classification of degree","Asian","2013/14","First class honours","4580","15"
"% of ethnic group with each classification of degree","Asian","2013/14","Upper second class honours","14650","48.1"
"% of ethnic group with each classification of degree","Asian","2013/14","Lower second, third or passs","11240","36.9"
"% of ethnic group with each classification of degree","Asian","2013/14","Unclassified","2605","N/A"
"% of ethnic group with each classification of degree","Black","2013/14","First class honours","1645","8.8"
"% of ethnic group with each classification of degree","Black","2013/14","Upper second class honours","7670","40.8"
"% of ethnic group with each classification of degree","Black","2013/14","Lower second, third or passs","9490","50.5"
"% of ethnic group with each classification of degree","Black","2013/14","Unclassified","730","N/A"
"% of ethnic group with each classification of degree","Mixed","2013/14","First class honours","1985","18.1"
"% of ethnic group with each classification of degree","Mixed","2013/14","Upper second class honours","5785","52.7"
"% of ethnic group with each classification of degree","Mixed","2013/14","Lower second, third or passs","3215","29.3"
"% of ethnic group with each classification of degree","Mixed","2013/14","Unclassified","520","N/A"
"% of ethnic group with each classification of degree","Other","2013/14","First class honours","480","15"
"% of ethnic group with each classification of degree","Other","2013/14","Upper second class honours","1515","47.5"
"% of ethnic group with each classification of degree","Other","2013/14","Lower second, third or passs","1195","37.5"
"% of ethnic group with each classification of degree","Other","2013/14","Unclassified","245","N/A"
"% of ethnic group with each classification of degree","Total","2013/14","First class honours","67075","21"
"% of ethnic group with each classification of degree","Total","2013/14","Upper second class honours","168625","51.9"
"% of ethnic group with each classification of degree","Total","2013/14","Lower second, third or passs","88715","27.1"
"% of ethnic group with each classification of degree","Total","2013/14","Unclassified","21855","N/A"
"% of ethnic group with each classification of degree","Unknown","2013/14","First class honours","1110","14.8"
"% of ethnic group with each classification of degree","Unknown","2013/14","Upper second class honours","2835","37.7"
