"Region","Ethnicity","%"
"East Midlands","Asian",""
"East Midlands","Bangladeshi","29"
"East Midlands","Chinese","28"
"East Midlands","Indian","33"
"East Midlands","Pakistani","31"
"East Midlands","Asian other","33"
"East Midlands","Black",""
"East Midlands","Black African","33"
"East Midlands","Black Caribbean","35"
"East Midlands","Black other","35"
"East Midlands","Mixed",""
"East Midlands","Mixed White/Asian","36"
"East Midlands","Mixed White/Black African","35"
"East Midlands","Mixed White/Black Caribbean","36"
"East Midlands","Mixed other","34"
"East Midlands","White",""
"East Midlands","White British","34"
"East Midlands","White Irish","35"
"East Midlands","White Gypsy/Traveller","31"
"East Midlands","White other","28"
"East Midlands","Other",""
"East Midlands","Arab","31"
"East Midlands","Any other","35"
"East of England","Asian",""
"East of England","Bangladeshi","34"
"East of England","Chinese","33"
"East of England","Indian","37"
"East of England","Pakistani","33"
"East of England","Asian other","34"
"East of England","Black",""
"East of England","Black African","37"
"East of England","Black Caribbean","42"
"East of England","Black other","38"
"East of England","Mixed",""
"East of England","Mixed White/Asian","38"
"East of England","Mixed White/Black African","38"
"East of England","Mixed White/Black Caribbean","38"
"East of England","Mixed other","36"
"East of England","White",""
"East of England","White British","37"
"East of England","White Irish","38"
"East of England","White Gypsy/Traveller","41"
"East of England","White other","34"
"East of England","Other",""
"East of England","Arab","36"
"East of England","Any other","35"
"London","Asian",""
"London","Bangladeshi","40"
"London","Chinese","46"
"London","Indian","47"
"London","Pakistani","42"
"London","Asian other","43"
"London","Black",""
"London","Black African","42"
"London","Black Caribbean","45"
"London","Black other","46"
"London","Mixed",""
"London","Mixed White/Asian","49"
"London","Mixed White/Black African","45"
"London","Mixed White/Black Caribbean","47"
"London","Mixed other","44"
"London","White",""
"London","White British","46"
"London","White Irish","49"
"London","White Gypsy/Traveller","45"
"London","White other","43"
"London","Other",""
"London","Arab","42"
"London","Any other","43"
"North East","Asian",""
"North East","Bangladeshi","24"
"North East","Chinese","26"
"North East","Indian","26"
"North East","Pakistani","31"
"North East","Asian other","34"
"North East","Black",""
"North East","Black African","31"
"North East","Black Caribbean","35"
"North East","Black other","33"
"North East","Mixed",""
"North East","Mixed White/Asian","39"
"North East","Mixed White/Black African","36"
"North East","Mixed White/Black Caribbean","29"
"North East","Mixed other","32"
"North East","White",""
"North East","White British","33"
"North East","White Irish","40"
