"","Asian","","Black","","Mixed","","White","","Other","","Unknown",""
"Time","%","Participants","%","Participants","%","Participants","%","Participants","%","Participants","%","Participants"
"2002/03","6.1","288,230","4.2","198,310","1.1","50,220","79.8","3,754,600","1.9","90,410","6.8","321,540"
"2003/04","6.0","328,880","4.2","228,550","1.2","66,730","81.5","4,433,090","1.8","99,110","5.2","281,060"
"2004/05","6.3","349,790","4.6","257,440","1.4","78,290","81.4","4,529,830","1.9","107,760","4.3","240,040"
"2005/06","6.8","331,740","5.1","250,040","1.6","78,360","81.1","3,968,180","2.0","95,650","3.5","169,950"
"2006/07","7.1","297,530","5.5","230,010","1.8","77,000","80.5","3,382,000","2.0","84,790","3.1","131,450"
"2007/08","7.3","318,370","5.7","246,680","1.9","83,390","80.2","3,496,730","1.9","82,010","3.1","133,570"
"2008/09","7.7","373,890","5.7","274,370","1.9","93,630","80.1","3,873,920","1.9","89,640","2.7","131,650"
"2009/10","7.8","359,290","5.7","266,330","2.1","95,980","80.2","3,716,760","1.9","90,010","2.3","107,140"
"2010/11","8.2","349,980","6.1","258,100","2.2","95,430","79.6","3,393,000","1.9","81,280","2.0","87,070"
"2011/12","8.2","346,860","6.4","267,800","2.5","103,840","79.3","3,342,040","1.9","78,230","1.8","77,840"
"2012/13","7.9","340,210","6.3","272,870","2.6","111,700","79.2","3,420,430","1.9","80,140","2.2","94,920"
"2013/14","7.8","306,900","6.2","242,300","2.7","106,660","79.1","3,095,990","1.9","74,580","2.2","87,090"
"2014/15","8.1","289,230","6.4","228,440","2.9","102,010","78.9","2,821,900","2.0","71,980","1.8","63,300"
"2015/16","8.3","271,500","6.3","206,750","2.9","95,240","78.2","2,559,790","2.1","68,330","2.2","73,290"
"2016/17","8.6","271,760","6.6","206,600","3.0","94,650","77.7","2,448,260","2.3","72,720","1.8","58,120"
"2017/18","9.0","276,510","6.6","202,730","3.1","95,450","76.8","2,350,680","2.5","77,630","1.9","59,000"
