"Income source","Ethnicity","%"
"All other sources","All","28"
"All other sources","Bangladeshi","36"
"All other sources","Chinese","30"
"All other sources","Indian","15"
"All other sources","Pakistani","28"
"All other sources","Asian other","24"
"All other sources","Black","28"
"All other sources","Mixed","22"
"All other sources","White British","30"
"All other sources","White other","14"
"All other sources","Other","27"
"Self-employed income","All","9"
"Self-employed income","Bangladeshi","9"
"Self-employed income","Chinese","6"
"Self-employed income","Indian","8"
"Self-employed income","Pakistani","16"
"Self-employed income","Asian other","10"
"Self-employed income","Black","6"
"Self-employed income","Mixed","7"
"Self-employed income","White British","8"
"Self-employed income","White other","11"
"Self-employed income","Other","10"
"Wages and salaries","All","63"
"Wages and salaries","Bangladeshi","55"
"Wages and salaries","Chinese","64"
"Wages and salaries","Indian","77"
"Wages and salaries","Pakistani","56"
"Wages and salaries","Asian other","66"
"Wages and salaries","Black","66"
"Wages and salaries","Mixed","71"
"Wages and salaries","White British","62"
"Wages and salaries","White other","75"
"Wages and salaries","Other","63"
