"Measure","Source","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Value_type","Denominator"
"Gross household income by ethnic group of the head of the household","Wages/salary","2009/10-2011/12","All","ONS 5+2","K02000001","64","%","71324"
"Gross household income by ethnic group of the head of the household","Self-employment","2009/10-2011/12","All","ONS 5+2","K02000001","8","%","71324"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","All","ONS 5+2","K02000001","2","%","71324"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","All","ONS 5+2","K02000001","2","%","71324"
"Gross household income by ethnic group of the head of the household","State pension","2009/10-2011/12","All","ONS 5+2","K02000001","7","%","71324"
"Gross household income by ethnic group of the head of the household","Private pension","2009/10-2011/12","All","ONS 5+2","K02000001","7","%","71324"
"Gross household income by ethnic group of the head of the household","Disability benefit","2009/10-2011/12","All","ONS 5+2","K02000001","1","%","71324"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","All","ONS 5+2","K02000001","6","%","71324"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","All","ONS 5+2","K02000001","3","%","71324"
"Gross household income by ethnic group of the head of the household","Wages/salary","2009/10-2011/12","White","ONS 5+2","K02000001","64","%","66117"
"Gross household income by ethnic group of the head of the household","Self-employment","2009/10-2011/12","White","ONS 5+2","K02000001","8","%","66117"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","White","ONS 5+2","K02000001","2","%","66117"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","White","ONS 5+2","K02000001","2","%","66117"
"Gross household income by ethnic group of the head of the household","State pension","2009/10-2011/12","White","ONS 5+2","K02000001","7","%","66117"
"Gross household income by ethnic group of the head of the household","Private pension","2009/10-2011/12","White","ONS 5+2","K02000001","8","%","66117"
"Gross household income by ethnic group of the head of the household","Disability benefit","2009/10-2011/12","White","ONS 5+2","K02000001","1","%","66117"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","White","ONS 5+2","K02000001","5","%","66117"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","White","ONS 5+2","K02000001","2","%","66117"
"Gross household income by ethnic group of the head of the household","Wages/salary","2009/10-2011/12","White British","ONS 5+2","K02000001","63","%","63385"
"Gross household income by ethnic group of the head of the household","Self-employment","2009/10-2011/12","White British","ONS 5+2","K02000001","8","%","63385"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","White British","ONS 5+2","K02000001","2","%","63385"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","White British","ONS 5+2","K02000001","2","%","63385"
"Gross household income by ethnic group of the head of the household","State pension","2009/10-2011/12","White British","ONS 5+2","K02000001","8","%","63385"
"Gross household income by ethnic group of the head of the household","Private pension","2009/10-2011/12","White British","ONS 5+2","K02000001","8","%","63385"
"Gross household income by ethnic group of the head of the household","Disability benefit","2009/10-2011/12","White British","ONS 5+2","K02000001","2","%","63385"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","White British","ONS 5+2","K02000001","6","%","63385"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","White British","ONS 5+2","K02000001","2","%","63385"
"Gross household income by ethnic group of the head of the household","Wages/salary","2009/10-2011/12","White other","ONS 5+2","K02000001","71","%","2732"
"Gross household income by ethnic group of the head of the household","Self-employment","2009/10-2011/12","White other","ONS 5+2","K02000001","12","%","2732"
"Gross household income by ethnic group of the head of the household","Investments","2009/10-2011/12","White other","ONS 5+2","K02000001","1","%","2732"
"Gross household income by ethnic group of the head of the household","Tax credits","2009/10-2011/12","White other","ONS 5+2","K02000001","2","%","2732"
"Gross household income by ethnic group of the head of the household","State pension","2009/10-2011/12","White other","ONS 5+2","K02000001","3","%","2732"
"Gross household income by ethnic group of the head of the household","Private pension","2009/10-2011/12","White other","ONS 5+2","K02000001","3","%","2732"
"Gross household income by ethnic group of the head of the household","Disability benefit","2009/10-2011/12","White other","ONS 5+2","K02000001","1","%","2732"
"Gross household income by ethnic group of the head of the household","Other benefits","2009/10-2011/12","White other","ONS 5+2","K02000001","5","%","2732"
"Gross household income by ethnic group of the head of the household","Other","2009/10-2011/12","White other","ONS 5+2","K02000001","3","%","2732"
