"Outcome","Ethnicity","Men (%)","Women (%)"
"Reliably improved","Asian","62.8","64.5"
"Reliably improved","Bangladeshi","56.6","63.4"
"Reliably improved","Indian","66.5","66.4"
"Reliably improved","Pakistani","63.0","63.0"
"Reliably improved","Asian other","59.0","63.6"
"Reliably improved","Black","64.6","66.9"
"Reliably improved","Black African","64.6","66.9"
"Reliably improved","Black Caribbean","65.0","67.0"
"Reliably improved","Black other","63.4","66.6"
"Reliably improved","Mixed","63.9","65.1"
"Reliably improved","Mixed White/Asian","64.2","63.1"
"Reliably improved","Mixed White/Black African","61.4","67.4"
"Reliably improved","Mixed White/Black Caribbean","63.7","65.1"
"Reliably improved","Mixed other","64.5","65.4"
"Reliably improved","White","67.3","68.4"
"Reliably improved","White British","67.5","68.5"
"Reliably improved","White Irish","65.3","65.7"
"Reliably improved","White other","65.0","67.5"
"Reliably improved","Other inc Chinese","63.8","64.1"
"Reliably improved","Chinese","71.5","64.8"
"Reliably improved","Any other","62.5","63.9"
"No Reliable Change","Asian","28.3","27.1"
"No Reliable Change","Bangladeshi","30.4","27.0"
"No Reliable Change","Indian","26.2","25.9"
"No Reliable Change","Pakistani","28.1","28.4"
"No Reliable Change","Asian other","31.1","27.4"
"No Reliable Change","Black","27.2","25.0"
"No Reliable Change","Black African","27.2","24.5"
"No Reliable Change","Black Caribbean","26.5","25.3"
"No Reliable Change","Black other","28.9","24.8"
"No Reliable Change","Mixed","28.0","27.4"
"No Reliable Change","Mixed White/Asian","27.6","29.9"
"No Reliable Change","Mixed White/Black African","30.3","25.9"
"No Reliable Change","Mixed White/Black Caribbean","28.5","27.0"
"No Reliable Change","Mixed other","27.2","27.0"
"No Reliable Change","White","26.0","25.1"
"No Reliable Change","White British","25.9","25.1"
"No Reliable Change","White Irish","27.6","26.9"
"No Reliable Change","White other","27.5","25.5"
"No Reliable Change","Other inc Chinese","27.6","27.4"
"No Reliable Change","Chinese","22.6","27.9"
"No Reliable Change","Any other","28.4","27.3"
"Reliably deteriorated","Asian","7.8","7.4"
"Reliably deteriorated","Bangladeshi","10.1","8.0"
"Reliably deteriorated","Indian","6.6","6.8"
"Reliably deteriorated","Pakistani","7.9","7.6"
"Reliably deteriorated","Asian other","8.5","7.8"
"Reliably deteriorated","Black","6.9","7.0"
"Reliably deteriorated","Black African","6.7","7.2"
"Reliably deteriorated","Black Caribbean","7.4","6.8"
"Reliably deteriorated","Black other","6.2","7.2"
"Reliably deteriorated","Mixed","6.8","6.7"
"Reliably deteriorated","Mixed White/Asian","7.3","5.9"
"Reliably deteriorated","Mixed White/Black African","8.0","6.1"
"Reliably deteriorated","Mixed White/Black Caribbean","6.2","7.3"
"Reliably deteriorated","Mixed other","6.7","6.7"
"Reliably deteriorated","White","5.5","5.6"
"Reliably deteriorated","White British","5.5","5.5"
"Reliably deteriorated","White Irish","6.1","6.7"
"Reliably deteriorated","White other","6.1","6.0"
"Reliably deteriorated","Other inc Chinese","7.4","7.4"
"Reliably deteriorated","Chinese","5.1","6.3"
"Reliably deteriorated","Any other","7.7","7.6"
